locus_syn1	locus_syn3a	gene_name	gene_product	rna_type	relTPM_syn1	rank_syn1_TPM	relTPM_syn3a	rank_syn3a_TPM	TPM_fold_change	TPM_abs_change	relIPM_syn1	rank_syn1_iPM	relIPM_syn3a	rank_syn3a_iPM	iPM_fold_change	iPM_abs_change	PTR_syn1	PTR_syn3a	PTR_fold_change	sense_covering_ops
MMSYN1_0001	JCVISYN3A_0001	dnaA	chromosomal replication initiator protein DnaA	mRNA	0.17139634155271063	436.0	0.1744027049111409	233.0	1.0175404173227682	0.0030063633584302696	0.16322461923431827	372.0	0.3316180757256936	205.0	2.0316670198485003	0.1683934564913753	0.9523226561059399	1.9014503008692136	1.996645032729001	OP_00001
MMSYN1_0002	JCVISYN3A_0002	dnaN	DNA polymerase III_ beta subunit	mRNA	0.08454384317699404	550.0	0.1471305305734131	246.0	1.7402867558953137	0.06258668739641907	1.1670341751594653	122.0	1.1963480306756142	96.0	1.025118249439562	0.029313855516148957	13.803893119884064	8.131201770380876	0.5890513422382373	OP_00001
MMSYN1_0003	JCVISYN3A_0003	rnmV	ribonuclease M5	mRNA	0.02300534435717975	678.0	0.05449686454689752	337.0	2.368878452796972	0.031491520189717764	0.21682005563288603	331.0	0.21664893015129844	253.0	0.9992107488346127	-0.00017112548158759733	9.424768969616338	3.9754384394878395	0.42180752146857886	OP_00002
MMSYN1_0004	JCVISYN3A_0004	ksgA	dimethyladenosine transferase	mRNA	0.009379079252298023	742.0	0.040673171696914534	371.0	4.336584711868062	0.03129409244461651	0.16324799993594108	371.0	0.07567201645506146	352.0	0.4635402362341673	-0.08757598348087962	17.40554648751291	1.8604896863944824	0.10689062177560671	OP_00002
MMSYN1_0005	JCVISYN3A_0005		hypothetical purine NTPase	mRNA	0.7107783583576175	205.0	0.18975519068375116	220.0	0.26696816026055575	-0.5210231676738664	0.2959455330094393	281.0	0.13521043930573517	297.0	0.4568760944988569	-0.16073509370370415	0.4163682384664542	0.7125519930101881	1.7113504998234794	OP_00003
MMSYN1_0006	JCVISYN3A_0006	gyrB	DNA gyrase_ B subunit	mRNA	0.6099428709311752	228.0	0.4799528932084955	128.0	0.7868817164397229	-0.12998997772267967	0.7332449446055781	165.0	0.4328880977238551	179.0	0.5903731091616474	-0.300356846881723	1.2021534795318825	0.9019387190896774	0.7502691914520695	OP_00004
MMSYN1_0007	JCVISYN3A_0007	gyrA	DNA gyrase_ A subunit	mRNA	1.1348251715872442	148.0	0.6774554040051143	107.0	0.5969689613577912	-0.4573697675821299	1.0035239504367526	133.0	0.7790460560763113	126.0	0.7763103767849843	-0.2244778943604413	0.884298282732974	1.1499591729146943	1.3004200000939505	OP_00004
MMSYN1_0008	JCVISYN3A_0008	rnsD; uptD	ribose/Galactose ABC transporter_ permease component II	mRNA	0.4549894663908195	271.0	0.336873325976876	154.0	0.7403980770128731	-0.11811614041394347	0.03846144518533092	561.0	0.05417226660477143	378.0	1.4084823475492432	0.01571082141944051	0.08453260575552299	0.16080901165944486	1.9023311800481	OP_00005
MMSYN1_0009	JCVISYN3A_0009	rnsC; uptD	ABC transporter_ permease protein	mRNA	0.10437297755506295	529.0	0.08196089432068156	294.0	0.7852692932655132	-0.02241208323438139	0.09778400416387494	455.0	0.10869815927581407	317.0	1.111614933395939	0.010914155111939133	0.9368708879871522	1.3262197805031244	1.4155843644074375	OP_00006
MMSYN1_0010	JCVISYN3A_0010	rnsA; uptA	ribose/Galactose ABC transporter_ ATP-binding component	mRNA	0.2635288099472841	358.0	0.23156036550715836	198.0	0.878690893619864	-0.031968444440125754	0.11040002147772371	440.0	0.12975674734332024	300.0	1.1753326277160399	0.01935672586559653	0.41892960963094683	0.5603581902245226	1.3375950931665257	OP_00006
MMSYN1_0011	JCVISYN3A_0011	rnsB; uptB	ribose/galactose ABC transporter_ substrate-binding component	mRNA	0.30827099795865387	334.0	0.16384208654533045	240.0	0.5314871902653178	-0.14442891141332342	0.13066445525012307	411.0	0.19193458038771383	265.0	1.4689119548258558	0.06127012513759075	0.4238623033479398	1.171460791514096	2.7637767790651298	OP_00006
MMSYN1_0012	JCVISYN3A_0012	metRS	methionine--tRNA ligase	mRNA	0.38123337343483554	300.0	0.08192230978318059	295.0	0.21488756098417397	-0.29931106365165494	0.660175719454996	181.0	0.5693318321807401	155.0	0.8623943828936158	-0.09084388727425585	1.7316839643574389	6.949655517374453	4.013235475073076	OP_00007
MMSYN1_0013			mycoides cluster lipoprotein_ LppA/P72 family	mRNA	0.030719533187552488	653.0					0.1134235046885555	437.0					3.692227482627065			OP_00008
MMSYN1_0014			mycoides cluster lipoprotein_ LppA/P72 family	mRNA	0.05715435884527247	596.0					0.09368509318294549	462.0					1.6391592010780585			OP_00008,OP_00009
MMSYN1_0015			mycoides cluster lipoprotein_ LppA/P72 family	mRNA	0.1349630609561071	482.0					0.11982380112677597	431.0					0.887826641437432			OP_00009
