locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name,gene_product,TPM_mean_syn1,TPM_mean_syn3a,TPM_fold_change,TPM_log10FC,sense_covering_ops,antisense_covering_ops,coverage_type
67,MMSYN1_0067,JCVISYN3A_0067,rrfA,,28894.8836,124.6074,0.004312438206188171,-2.3652771149688183,OP_00039,,sense_only
532,MMSYN1_0532,JCVISYN3A_0532,rrfB,,26088.7496,184.3469,0.007066145477512652,-2.1508174255721886,OP_00286,,sense_only
137,MMSYN1_0137,JCVISYN3A_0137,rpmE,50S ribosomal protein L31,20770.1604,885.861,0.04265065762323145,-1.3700742681321263,OP_00077,,sense_only
280,MMSYN1_0280,JCVISYN3A_0280,tRNA-Ser,,197.9383,8.8661,0.044792240814435606,-1.3487972106296244,OP_00157,,sense_only
668,MMSYN1_0668,JCVISYN3A_0668,rplB,50S ribosomal protein L2,4519.9558,260.8968,0.05772109541425162,-1.2386654355852882,OP_00358,,sense_only
708,MMSYN1_0708,JCVISYN3A_0708,thiB,Thiamine ABC transporter substrate-binding protein,4134.758,260.8678,0.06309143122765588,-1.2000296205220076,OP_00375,,sense_only
227,MMSYN1_0227,JCVISYN3A_0227,pdhC,Branched-chain alpha-keto acid dehydrogenase subunit E2,5708.2993,367.3511,0.06435386105280079,-1.191425391516051,OP_00126,,sense_only
228,MMSYN1_0228,JCVISYN3A_0228,lpdA,Dihydrolipoyl dehydrogenase,6618.2572,428.1716,0.06469552135266064,-1.1891257829966617,OP_00126,,sense_only
510,MMSYN1_0510,JCVISYN3A_0510,tRNA-Thr,,12179.7102,851.0636,0.06987552134040102,-1.155674938827671,OP_00277,,sense_only
851,MMSYN1_0851,JCVISYN3A_0851,,Uncharacterized lipoprotein,2191.8631,161.4273,0.07364844090855857,-1.132836442466655,OP_00438,,sense_only
150,MMSYN1_0150,JCVISYN3A_0150,,Translation elongation factor G,3376.6183,278.5659,0.08249848672560946,-1.0835540176651655,OP_00082,,sense_only
913,MMSYN1_0913,JCVISYN3A_0913,tetM,Tetracycline resistance ribosomal protection protein,7224.2305,602.2846,0.08337006965655373,-1.0789898356452918,OP_00013,,sense_only
667,MMSYN1_0667,JCVISYN3A_0667,rpsS,30S ribosomal protein S19,4752.3296,439.2086,0.09241964193729324,-1.0342357184072182,OP_00358,,sense_only
148,MMSYN1_0148,JCVISYN3A_0148,rpsL,30S ribosomal protein S12,4634.8353,443.82,0.09575744795073948,-1.0188274369090868,OP_00082,,sense_only
