locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name,gene_product,TPM_mean_syn1,TPM_mean_syn3a,TPM_fold_change,TPM_log10FC,sense_covering_ops,antisense_covering_ops,coverage_type
250,MMSYN1_0250,JCVISYN3A_0250,,Uncharacterized protein,0.578,1621.3097,2805.034083044983,3.447938142593405,OP_00140,,sense_only
270,MMSYN1_0270,JCVISYN3A_0270,tsaE%3B yjeE,tRNA (N6-adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase,0.5532,564.3021,1020.0688720173536,3.0086294950240053,OP_00149,,sense_only
249,MMSYN1_0249,JCVISYN3A_0249,,Uncharacterized protein,1.0875,1046.0681,961.9017011494253,2.98313069279703,OP_00139,,sense_only
332,MMSYN1_0332,JCVISYN3A_0332,,Uncharacterized protein,1.4355,601.6005,419.08777429467085,2.6223049917004473,OP_00184,,sense_only
290,MMSYN1_0290,JCVISYN3A_0290,truB,tRNA pseudouridine(55) synthase,1.4116,515.5871,365.2501416831964,2.5625903930723672,OP_00161,,sense_only
442,MMSYN1_0442,JCVISYN3A_0442,iscU,Iron-sulfur cluster assembly scaffold protein,0.3612,129.1921,357.6746954595792,2.5534882160477506,OP_00245,,sense_only
447,MMSYN1_0447,JCVISYN3A_0447,dut,dUTP diphosphatase,28.3345,8746.481,308.6866187862853,2.4895178037184604,OP_00248,,sense_only
906,MMSYN1_0906,JCVISYN3A_0906,,Uncharacterized protein,2.3793,723.5993,304.12276720043707,2.4830489334601604,OP_00479,,sense_only
777,MMSYN1_0777,JCVISYN3A_0777,,Uncharacterized protein,6.191,1598.6644,258.2239379744791,2.411996499930155,OP_00405,,sense_only
443,MMSYN1_0443,JCVISYN3A_0443,yggN,5-Formyltetrahydrofolate cyclo-ligase,0.3681,85.3497,231.86552567237163,2.365236181483013,OP_00246,,sense_only
907,MMSYN1_0907,JCVISYN3A_0907,,Uncharacterized hydrolase,2.059,446.5382,216.87139388052452,2.3362022707825116,OP_00479,,sense_only
511,MMSYN1_0511,JCVISYN3A_0511,,Uncharacterized protein,11.4383,2285.3309,199.79637708400725,2.3005876088815085,OP_00277,,sense_only
409,MMSYN1_0409,JCVISYN3A_0409,,Uncharacterized protein,0.6937,137.3438,197.9873144010379,2.2966373646952545,OP_00228,,sense_only
478,MMSYN1_0478,JCVISYN3A_0478,,Uncharacterized protein,1.1238,204.5368,182.00462715785727,2.260082429323423,,OP_00261,antisense_only
116,MMSYN1_0116,JCVISYN3A_0116,,Uncharacterized protein,1.5729,285.4415,181.47466463220803,2.2588160024936244,,OP_00066,antisense_only
291,MMSYN1_0291,JCVISYN3A_0291,ribF,FAD synthetase,3.3647,589.9451,175.33364044342736,2.2438652501342804,OP_00161,,sense_only
609,MMSYN1_0609,JCVISYN3A_0609,dnaB,Chromosome replication initiation protein,1.5327,267.8052,174.72773536895676,2.242361848094754,OP_00335,,sense_only
592,MMSYN1_0592,JCVISYN3A_0592,,Uncharacterized protein,1.0329,159.9135,154.81992448446124,2.1898268512876315,OP_00326,,sense_only
40,MMSYN1_0040,JCVISYN3A_0040,tilS,tRNA lysidine(34) synthetase,4.5371,676.9595,149.2053293954288,2.1737843357753253,OP_00028,OP_00027,both
416,MMSYN1_0416,JCVISYN3A_0416,,Uncharacterized protein,7.2245,977.8025,135.34535261955844,2.1314433479060626,OP_00233,,sense_only
