locus_syn1,locus_syn3a,gene_name,subunit,gene_product_syn1,gene_product_syn3a,is_rprotein,pairing,in_rPtn_operon,operon_syn1,stoich_per_ribosome,TPM_syn1,TPM_syn3a,TPM_syn3a_own,mRNApool_pct_syn1_full,mRNApool_pct_syn1_retained,mRNApool_pct_syn3a,mRNApool_pct_FC_retained,iPM_syn1,iPM_syn3a,copies_syn1,copies_syn3a,copies_FC,copies_change,proteome_pct_syn1_full,proteome_pct_syn1_retained,proteome_pct_syn3a,proteome_pct_FC_retained,protein_over_mRNA_shareFC,ribosomes_implied_syn1,ribosomes_implied_syn3a,locus_num,note
MMSYN1_0025,JCVISYN3A_0025,rpsR,30S,ribosomal protein S18,30S ribosomal protein S18,True,both,False,OP_00019,1,1441.31,2292.77,1630.58,0.223806,0.286119,0.229172,0.800967,2744.04,3369.04,350.817,338.12,0.963809,-12.6964,0.274434,0.352971,0.33697,0.954667,1.19189,350.817,338.12,25,
MMSYN1_0027,JCVISYN3A_0027,rpsF,30S,30S ribosomal protein S6,30S ribosomal protein S6,True,both,False,OP_00019,1,1879.58,1938.56,1455.75,0.29186,0.373121,0.193767,0.519315,2948.03,5196.5,376.897,521.525,1.38373,144.628,0.294836,0.379212,0.51975,1.37061,2.63926,376.897,521.525,27,
MMSYN1_0082,JCVISYN3A_0082,rpsT,30S,ribosomal protein S20,30S ribosomal protein S20,True,both,False,OP_00043,1,1115.37,238.583,144.193,0.173194,0.221415,0.0238474,0.107705,355.441,1090.41,45.4421,109.435,2.40822,63.9925,0.035548,0.0457212,0.109062,2.38538,22.1474,45.4421,109.435,82,
MMSYN1_0137,JCVISYN3A_0137,rpmE,50S,ribosomal protein L31,50S ribosomal protein L31,True,both,False,OP_00073,1,20770.2,585.243,354.601,3.22517,4.12314,0.0584975,0.0141876,734.596,1631.85,93.9159,163.774,1.74383,69.8577,0.0734677,0.0944926,0.163216,1.72729,121.747,93.9159,163.774,137,
MMSYN1_0148,JCVISYN3A_0148,rpsL,30S,ribosomal protein S12,30S ribosomal protein S12,True,both,False,OP_00076,1,4634.84,16353.5,10399.1,0.719694,0.920074,1.6346,1.7766,3658.8,3751.41,467.766,376.495,0.804878,-91.2717,0.36592,0.470639,0.375213,0.797243,0.448747,467.766,376.495,148,
MMSYN1_0149,JCVISYN3A_0149,rpsG,30S,ribosomal protein S7,30S ribosomal protein S7,True,both,False,OP_00076,1,1665.83,5764.35,4261.4,0.258669,0.330689,0.576171,1.74233,7445.33,15666.1,951.864,1572.26,1.65177,620.397,0.744615,0.957709,1.56691,1.6361,0.939029,951.864,1572.26,149,
MMSYN1_0198,JCVISYN3A_0198,rplT,50S,ribosomal protein L20,50S ribosomal protein L20,True,both,False,OP_00109,1,2255.26,1380.71,990.636,0.350194,0.447697,0.138008,0.308262,7250.98,6326.51,927.016,634.934,0.684922,-292.082,0.725178,0.932709,0.632774,0.678426,2.20081,927.016,634.934,198,
MMSYN1_0199,JCVISYN3A_0199,rpmI,50S,ribosomal protein L35,50S ribosomal protein L35,True,both,False,OP_00109,1,3155.8,3673.85,2726.38,0.49003,0.626466,0.367217,0.586173,,,,,,,,,,,,,,199,
MMSYN1_0238,JCVISYN3A_0238,rpsD,30S,ribosomal protein S4,30S ribosomal protein S4,True,both,False,OP_00124,1,1993.92,2735.15,1708.71,0.309615,0.395819,0.27339,0.690693,9097.5,11973.3,1163.09,1201.65,1.03315,38.5594,0.90985,1.17023,1.19756,1.02335,1.48163,1163.09,1201.65,238,
MMSYN1_0294,JCVISYN3A_0294,rpsO,30S,ribosomal protein S15,30S ribosomal protein S15,True,both,False,OP_00158,1,2273.82,944.198,485.525,0.353077,0.451382,0.0943765,0.209083,193.636,394.742,24.7558,39.6167,1.6003,14.8608,0.0193658,0.0249079,0.0394819,1.58512,7.58126,24.7558,39.6167,294,
