operon_id	category	strand	gene_deletion_pattern	n_retained_sense_genes	n_pairs	n_pairs_strict	n_pairs_loose	operon_verdict
OP_00001	pristine	+	intact	2	1	0	1	preserved_loose
OP_00002	pristine	+	intact	2	1	0	1	preserved_loose
OP_00003	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00004	pristine	+	intact	2	1	0	1	preserved_loose
OP_00005	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00006	pristine	-	intact	3	2	0	2	preserved_loose
OP_00038	pristine	-	intact	2	1	0	1	preserved_loose
OP_00039	pristine	-	intact	3	2	0	0	split
OP_00040	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00043	intra_operon	-	intra_deleted	4	3	0	2	split
OP_00044	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00060	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00064	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00065	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00078	pristine	+	intact	4	3	0	3	preserved_loose
OP_00079	pristine	+	intact	3	2	0	2	preserved_loose
OP_00080	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00081	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00094	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00095	pristine	+	intact	2	1	0	1	preserved_loose
OP_00096	pristine	+	intact	2	1	0	1	preserved_loose
OP_00113	pristine	-	intact	4	3	1	2	split
OP_00123	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00130	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00138	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00139	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00146	intra_operon	-	intra_deleted	4	3	0	2	split
OP_00160	pristine	-	intact	2	1	0	1	preserved_loose
OP_00165	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00166	pristine	-	intact	7	6	1	5	split
OP_00167	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00194	pristine	+	intact	2	1	0	1	preserved_loose
OP_00196	intra_operon	+	leading_deleted	3	2	1	2	preserved_loose
OP_00198	pristine	-	intact	0	0	0	0	untestable_<2_retained
OP_00199	intra_operon	+	intra_deleted	4	3	0	2	split
OP_00205	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00206	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00207	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00208	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00209	pristine	+	intact	3	2	0	2	preserved_loose
OP_00210	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00217	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00218	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00224	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00225	pristine	+	intact	3	2	0	1	split
OP_00226	pristine	+	intact	5	4	0	3	split
OP_00227	pristine	+	intact	4	3	0	3	preserved_loose
OP_00228	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00229	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00230	pristine	+	intact	3	2	0	2	preserved_loose
OP_00231	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00232	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00235	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00236	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00237	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00238	pristine	+	intact	2	1	0	1	preserved_loose
OP_00239	pristine	+	intact	5	4	0	3	split
OP_00240	pristine	+	intact	3	2	0	2	preserved_loose
OP_00243	pristine	-	intact	3	2	0	1	split
OP_00244	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00245	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00246	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00247	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00248	intra_operon	+	intra_deleted	3	2	1	2	preserved_loose
OP_00273	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00276	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00277	pristine	-	intact	6	5	4	4	split
OP_00278	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00281	pristine	-	intact	3	2	0	2	preserved_loose
OP_00282	pristine	-	intact	5	4	1	3	split
OP_00283	pristine	-	intact	2	1	0	1	preserved_loose
OP_00287	pristine	-	intact	6	5	0	3	split
OP_00288	pristine	+	intact	0	0	0	0	untestable_<2_retained
OP_00289	pristine	-	intact	2	1	0	1	preserved_loose
OP_00290	pristine	-	intact	3	2	0	2	preserved_loose
OP_00331	pristine	+	intact	5	3	0	2	split
OP_00332	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00333	pristine	-	intact	2	1	0	1	preserved_loose
OP_00334	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00335	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00336	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00337	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00338	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00339	pristine	-	intact	3	2	0	1	split
OP_00340	pristine	+	intact	2	1	0	0	split
OP_00341	pristine	-	intact	4	3	3	3	preserved_strict
OP_00342	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00343	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00351	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00352	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00353	pristine	-	intact	3	2	1	1	split
OP_00354	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00355	pristine	-	intact	3	2	0	2	preserved_loose
OP_00356	pristine	-	intact	2	1	0	1	preserved_loose
OP_00357	pristine	-	intact	8	7	1	6	split
OP_00367	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00368	pristine	-	intact	4	3	0	3	preserved_loose
OP_00369	pristine	-	intact	4	3	0	3	preserved_loose
OP_00402	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00403	pristine	-	intact	0	0	0	0	untestable_<2_retained
OP_00404	pristine	+	intact	3	2	0	2	preserved_loose
OP_00405	pristine	+	intact	3	2	1	2	preserved_loose
OP_00411	pristine	-	intact	6	5	2	5	preserved_loose
OP_00412	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00424	pristine	-	intact	2	1	0	1	preserved_loose
OP_00425	pristine	-	intact	3	2	0	2	preserved_loose
OP_00426	pristine	-	intact	2	1	0	0	split
OP_00427	pristine	+	intact	2	1	0	1	preserved_loose
OP_00430	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00431	pristine	+	intact	1	0	0	0	untestable_<2_retained
OP_00432	pristine	+	intact	7	6	0	5	split
OP_00451	intra_operon	-	intra_deleted	5	4	1	3	split
OP_00452	pristine	-	intact	1	0	0	0	untestable_<2_retained
OP_00453	pristine	-	intact	2	1	0	1	preserved_loose
OP_00480	pristine	-	intact	3	2	0	2	preserved_loose
