locus_syn1,locus_syn3a,gene_name,gene_product,rna_type,TPM_mean_syn1,rank_syn1_TPM,TPM_mean_syn3A_ONT,rank_syn3a_TPM_ONT,TPM_fold_change_ONT,TPM_mean_syn3a_Illumina,rank_syn3a_TPM_Illumina,TPM_fold_change_Illumina,iPM_mean_syn1,rank_syn1_iPM,iPM_mean_syn3a,rank_syn3a_iPM,iPM_fold_change,sense_covering_ops
MMSYN1_0001,JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,mRNA,198.60526251762528,436.0,1451.6168224140206,148.0,7.309055178158718,383.30264815635365,233.0,1.9299722640649433,226.36150591633165,372.0,743.3940997054075,205.0,3.2841012286787965,OP_00001
MMSYN1_0002,JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,mRNA,97.96505582502206,550.0,1029.8343365767903,201.0,10.512262029597617,323.36380345805077,246.0,3.3008076271157267,1618.4544622259898,122.0,2681.874518607637,96.0,1.657058991279273,OP_00001
MMSYN1_0003,JCVISYN3A_0003,rnmV,Ribonuclease M5,mRNA,26.657409452120223,678.0,486.8938960980144,325.0,18.26486166904297,119.77332867450005,337.0,4.493059570909422,300.688183781064,331.0,485.665734684455,253.0,1.6151806452031257,OP_00002
MMSYN1_0004,JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,mRNA,10.86799449860721,742.0,309.52945667908904,385.0,28.480825668319657,89.39158614706491,371.0,8.225214519433269,226.3939305030977,371.0,169.63529633419392,352.0,0.7492925978944159,OP_00002
MMSYN1_0005,JCVISYN3A_0005,,Uncharacterized protein,mRNA,823.6133932301477,205.0,1152.5881475232206,181.0,1.3994286117699708,417.04437512912347,220.0,0.5063593896810102,410.4201733505604,281.0,303.1036308213878,297.0,0.7385203031004323,OP_00003
MMSYN1_0006,JCVISYN3A_0006,gyrB,DNA gyrase subunit B,mRNA,706.7704182284765,228.0,187.8010676655027,426.0,0.26571721569251155,1054.8415235351551,128.0,1.4924811456867713,1016.8712945697506,165.0,970.4128973560604,179.0,0.9543124115492441,"OP_00004,OP_00004"
MMSYN1_0007,JCVISYN3A_0007,gyrA,DNA gyrase subunit A,mRNA,1314.9770238554393,148.0,478.0989481146868,330.0,0.3635796971668199,1488.9129758354159,107.0,1.1322729970368655,1391.6968758117885,133.0,1746.401308850688,126.0,1.2548719043663856,"OP_00004,OP_00004"
MMSYN1_0008,JCVISYN3A_0008,rnsD%3B uptD,Nucleoside ABC transporter permease,mRNA,527.2183851573807,271.0,931.3587978685141,217.0,1.766552199408776,740.3809362129144,154.0,1.4043154735430978,53.33871013276322,561.0,121.43892721628012,378.0,2.2767503547425765,OP_00005
MMSYN1_0009,JCVISYN3A_0009,rnsC%3B uptD,Nucleoside ABC transporter permease,mRNA,120.94203656438347,529.0,358.1949439209302,372.0,2.961707559226069,180.1338336718276,294.0,1.489422857336567,135.60781787022083,455.0,243.67058423353012,317.0,1.7968771126951348,OP_00006
MMSYN1_0010,JCVISYN3A_0010,rnsA%3B uptA,Nucleoside ABC transporter ATP-binding protein,mRNA,305.36362682188195,358.0,217.0527175785205,414.0,0.7108008240455139,508.92388023551285,198.0,1.6666159147119615,153.10383465510108,440.0,290.87799318810136,300.0,1.8998739897231565,OP_00006
MMSYN1_0011,JCVISYN3A_0011,rnsB%3B uptB,Nucleoside ABC transporter substrate-binding protein,mRNA,357.2085723738747,334.0,499.80989613060734,318.0,1.3992102507760593,360.0924979018252,240.0,1.0080735059318007,181.20675054352515,411.0,430.2631401422268,265.0,2.374432182309231,OP_00006
MMSYN1_0012,JCVISYN3A_0012,metRS,Methionine--tRNA ligase,mRNA,441.75361927559163,300.0,1376.6950939440612,159.0,3.1164319518233503,180.0490324905068,295.0,0.40757794533921343,915.5381751003092,181.0,1276.2812277088406,155.0,1.3940229500195416,OP_00007
MMSYN1_0013,,,mycoides cluster lipoprotein_ LppA/P72 family,mRNA,35.59621458580821,653.0,,,,,,,157.2968308827972,437.0,,,,OP_00008
MMSYN1_0014,,,mycoides cluster lipoprotein_ LppA/P72 family,mRNA,66.2275305275463,596.0,,,,,,,129.92340784302868,462.0,,,,"OP_00008,OP_00009"
MMSYN1_0015,,,mycoides cluster lipoprotein_ LppA/P72 family,mRNA,156.38825139757483,482.0,,,,,,,166.17282487722466,431.0,,,,OP_00009
MMSYN1_0016,,,mycoides cluster lipoprotein_ LppA/P72 family,mRNA,277.65388991273846,375.0,,,,,,,553.7855312075866,250.0,,,,OP_00009
MMSYN1_0019,,,mannitol-1-phosphate 5-dehydrogenase,mRNA,37.56919269838577,649.0,,,,,,,,,,,,OP_00014
