locus_syn3a,gene_name,gene_product,TPM_mean_syn1,rank_syn1_TPM,TPM_mean_syn3a,rank_syn3a_TPM,TPM_fold_change,iPM_mean_syn1,rank_syn1_iPM,iPM_mean_syn3a,rank_syn3a_iPM,iPM_fold_change,sense_covering_ops
JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,127.902,471.0,982.0217,170.0,7.677922941001705,226.36150591633165,372.0,743.3940997054075,205.0,3.2841012286787965,OP_00001
JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,63.0896,586.0,696.685,226.0,11.04278676675712,1618.4544622259898,122.0,2681.874518607637,96.0,1.657058991279273,OP_00001
JCVISYN3A_0003,rnmV,Ribonuclease M5,17.1674,716.0,329.3847,354.0,19.18663862902944,300.688183781064,331.0,485.665734684455,253.0,1.6151806452031257,OP_00002
JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,6.999,782.0,209.3973,416.0,29.918174024860697,226.3939305030977,371.0,169.63529633419392,352.0,0.7492925978944159,OP_00002
JCVISYN3A_0005,,Uncharacterized protein,530.4079,233.0,779.7282,205.0,1.47005389625607,410.4201733505604,281.0,303.1036308213878,297.0,0.7385203031004323,OP_00003
JCVISYN3A_0006,gyrB,DNA gyrase subunit B,455.1609,257.0,127.0478,461.0,0.2791272273167576,1016.8712945697506,165.0,970.4128973560604,179.0,0.954312411549244,"OP_00004,OP_00004"
JCVISYN3A_0007,gyrA,DNA gyrase subunit A,846.8466,174.0,323.4349,359.0,0.3819285570727922,1391.6968758117885,133.0,1746.401308850688,126.0,1.2548719043663856,"OP_00004,OP_00004"
JCVISYN3A_0008,rnsD%3B uptD,Nucleoside ABC transporter permease,339.5292,301.0,630.0661,243.0,1.855705194133524,53.33871013276322,561.0,121.43892721628012,378.0,2.2767503547425765,OP_00005
JCVISYN3A_0009,rnsC%3B uptD,Nucleoside ABC transporter permease,77.8868,565.0,242.3196,403.0,3.1111767334131075,135.60781787022083,455.0,243.6705842335301,317.0,1.7968771126951348,OP_00006
JCVISYN3A_0010,rnsA%3B uptA,Nucleoside ABC transporter ATP-binding protein,196.6545,391.0,146.8366,448.0,0.7466729721414969,153.10383465510108,440.0,290.87799318810136,300.0,1.8998739897231565,OP_00006
JCVISYN3A_0011,rnsB%3B uptB,Nucleoside ABC transporter substrate-binding protein,230.0427,366.0,338.1224,347.0,1.4698245151878326,181.20675054352515,411.0,430.2631401422268,265.0,2.374432182309231,OP_00006
JCVISYN3A_0012,metRS,Methionine--tRNA ligase,284.4898,331.0,931.337,181.0,3.273709637392975,915.5381751003092,181.0,1276.2812277088406,155.0,1.3940229500195416,OP_00007
JCVISYN3A_0025,rpsR,30S ribosomal protein S18,1441.3138,133.0,3934.3492,40.0,2.7296964755350297,2744.0353162291726,88.0,3369.0443631850144,77.0,1.2277700448165962,OP_00018
JCVISYN3A_0026,priB,Single-stranded DNA-binding protein,1518.1848,126.0,5565.3743,29.0,3.6658082072748983,816.4578846394112,198.0,1767.8185910678587,123.0,2.165229369851228,OP_00018
JCVISYN3A_0027,rpsF,30S ribosomal protein S6,1879.5833,112.0,10551.1276,13.0,5.613546151426223,2948.03315464822,85.0,5196.4970716421,52.0,1.7626996709479623,OP_00018
JCVISYN3A_0029,,Uncharacterized FMN-dependent NADH-azoreductase,669.2409,197.0,8696.7164,17.0,12.994896755413484,6415.616437674886,40.0,9088.995627108898,25.0,1.4166987249635024,OP_00019
JCVISYN3A_0030,,Uncharacterized ABC transporter ATP-binding protein,635.5396,204.0,2181.4203,86.0,3.4323908376441064,1111.334596123154,157.0,2624.6309097102835,99.0,2.361692796090577,OP_00020
JCVISYN3A_0033,,Uncharacterized protein,34.8793,653.0,232.9201,407.0,6.677889177821802,222.54681507749945,376.0,185.8542246645046,345.0,0.8351241719625732,OP_00022
JCVISYN3A_0034,,Uncharacterized efflux ABC transporter permease,93.7255,532.0,113.7587,468.0,1.2137433249222465,163.34599762877136,435.0,40.51702413441074,417.0,0.2480441805895474,OP_00023
JCVISYN3A_0039,ftsH,Membrane anchored AAA+ protease,669.9786,196.0,758.969,209.0,1.13282573503094,2330.7286975227303,100.0,2592.6766281329888,101.0,1.1123888554204855,OP_00026
JCVISYN3A_0040,tilS,tRNA lysidine(34) synthetase,4.5371,817.0,676.9595,234.0,149.2053293954288,92.06940165981196,516.0,236.04062232962303,320.0,2.5637249517681413,OP_00028
JCVISYN3A_0042,,Uncharacterized transcriptional regulator,166.2349,428.0,1767.5674,103.0,10.63295012058238,710.7273761964622,217.0,2333.2158905901883,108.0,3.2828563648084823,OP_00028
JCVISYN3A_0043,yabD,Uncharacterized methyltransferase,33.9565,657.0,250.9509,397.0,7.390364142358606,78.5186383342028,528.0,240.90782454495505,318.0,3.068161008085329,OP_00028
JCVISYN3A_0044,holA,DNA polymerase III subunit delta,3.7492,827.0,159.9043,444.0,42.65024538568228,185.90512808532307,407.0,211.6985198789405,334.0,1.138744918223984,OP_00028
