locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name_syn1,gene_name_syn3a,iPM_mean_syn1,rank_syn1,iPM_mean_syn3a,rank_syn3a,iPM_fold_change,iPM_log10FC,ptn_copy_number,copy_number_2026,ptn_localization,localization,sense_covering_ops,antisense_covering_ops,coverage_type
1,MMSYN1_0001,JCVISYN3A_0001,dnaA_1,dnaA,240.12463996784524,367,743.3940997054075,205,3.0958676285988576,0.4907823830838252,30.461802576199705,74.60771967949213,cytoplasmic,cytoplasm,OP_00001,,sense_only
2,MMSYN1_0002,JCVISYN3A_0002,dnaN,dnaN,1495.814232793001,126,2681.874518607637,96,1.7929195081932139,0.25356079266748033,189.7564442204332,269.1554081195192,cytoplasmic,cytoplasm,OP_00001,,sense_only
3,MMSYN1_0003,JCVISYN3A_0003,rnmV,rnmV,292.4101579627899,336,485.665734684455,253,1.6609058251193087,0.22034500825481443,37.094654277589534,48.74186250016163,cytoplasmic,cytoplasm,OP_00002,,sense_only
4,MMSYN1_0004,JCVISYN3A_0004,ksgA,ksgA,263.56430927405125,350,169.63529633419392,352,0.643620135068474,-0.1913703778540103,33.43531907560047,17.0247552969071,cytoplasmic,cytoplasm,OP_00002,,sense_only
5,MMSYN1_0005,JCVISYN3A_0005,,,418.3393471327885,284,303.1036308213878,297,0.7245400962132716,-0.1399375755726204,53.06981659159064,30.419760838994826,membrane,trans-membrane,OP_00003,,sense_only
6,MMSYN1_0006,JCVISYN3A_0006,gyrB,gyrB,884.9113699879914,192,970.4128973560604,179,1.09662157168263,0.040056784653961536,112.25834822123312,97.39153626319543,cytoplasmic,cytoplasm,"OP_00004,OP_00004",,sense_only
7,MMSYN1_0007,JCVISYN3A_0007,gyrA,gyrA,1335.243590606232,136,1746.401308850688,126,1.3079271236627175,0.11658354622611279,169.3867262169749,175.27045123207682,cytoplasmic,cytoplasm,"OP_00004,OP_00004",,sense_only
8,MMSYN1_0008,JCVISYN3A_0008,,rnsD; uptD,43.81613269320704,592,121.43892721628012,378,2.7715574093810247,0.4427238788942614,5.558439916585706,12.18772309804569,membrane,trans-membrane,OP_00005,,sense_only
9,MMSYN1_0009,JCVISYN3A_0009,,rnsC; uptD,131.83303424966948,461,243.67058423353012,317,1.8483272088849843,0.2667788567293419,16.724114038744904,24.45500529239814,membrane,trans-membrane,OP_00006,,sense_only
10,MMSYN1_0010,JCVISYN3A_0010,,rnsA; uptA,141.9936945120759,447,290.87799318810136,300,2.048527536293969,0.3114418061120301,18.01307808257942,29.19278453422089,cytoplasmic,peripheral membrane,OP_00006,,sense_only
11,MMSYN1_0011,JCVISYN3A_0011,,rnsB; uptB,181.73587872090752,409,430.2631401422268,265,2.3675189685740787,0.37429346725885937,23.05470383776432,43.18160685008163,extracellular,lipoprotein,OP_00006,,sense_only
12,MMSYN1_0012,JCVISYN3A_0012,metG,metRS,906.1757273582743,190,1276.2812277088406,155,1.4084257491971397,0.1487339563527105,114.95590835587846,128.08876490522755,cytoplasmic,cytoplasm,OP_00007,,sense_only
25,MMSYN1_0025,JCVISYN3A_0025,rpsR,rpsR,2531.712279387699,94,3369.0443631850144,77,1.3307374580494693,0.12409238172018175,321.16870490581783,338.1204095322903,cytoplasmic,cytoplasm,OP_00018,,sense_only
26,MMSYN1_0026,JCVISYN3A_0026,,priB,1218.770074497761,145,1767.8185910678587,123,1.4504939266714054,0.16151591471840207,154.6110944720312,177.41990949195332,cytoplasmic,cytoplasm,OP_00018,,sense_only
27,MMSYN1_0027,JCVISYN3A_0027,,rpsF,3076.5018288675437,85,5196.4970716421,52,1.689092794576665,0.22765350929012057,390.2797786550759,521.5252542225086,cytoplasmic,cytoplasm,OP_00018,,sense_only
