locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name_syn1,gene_name_syn3a,iPM_mean_syn1,iPM_mean_syn3a,iPM_fold_change,iPM_log10FC,ptn_localization,sense_covering_ops,antisense_covering_ops,coverage_type
620,MMSYN1_0620,JCVISYN3A_0620,,perR,1.183528146673736,372.8899740182828,315.0664182058339,2.4984021157569263,cytoplasmic,OP_00341,,sense_only
526,MMSYN1_0526,JCVISYN3A_0526,rpmF,rpmF,7.996638463847935,468.0413651752048,58.529764386770346,1.767376775852922,cytoplasmic,OP_00282,,sense_only
60,MMSYN1_0060,JCVISYN3A_0060,,,4.348790540902962,176.8375551060302,40.663617491522714,1.6092060114570343,membrane,OP_00036,,sense_only
730,MMSYN1_0730,JCVISYN3A_0730,,,1.1103781671429958,39.61975299351329,35.681314858211735,1.552440849772033,cytoplasmic,OP_00382,,sense_only
813,MMSYN1_0813,JCVISYN3A_0813,galE,galE,77.62633055978796,2067.739455366596,26.637088735941457,1.4254867574725147,cytoplasmic,OP_00420,,sense_only
876,MMSYN1_0876,JCVISYN3A_0876,,,12.644917704760855,322.84431951458066,25.531547697857192,1.4070771421158788,membrane,OP_00452,,sense_only
530,MMSYN1_0530,JCVISYN3A_0530,,,203.2850795450369,3132.934617428635,15.41153253568985,1.1878458274724633,cytoplasmic,OP_00284,,sense_only
609,MMSYN1_0609,JCVISYN3A_0609,,dnaB,1.6679444959067122,24.09895948860169,14.448298218401591,1.159816697066163,cytoplasmic,OP_00335,,sense_only
906,MMSYN1_0906,JCVISYN3A_0906,,,47.02117070151135,546.9099966444327,11.631143769605336,1.0656224239635133,cytoplasmic,OP_00479,,sense_only
115,MMSYN1_0115,JCVISYN3A_0115,,galU; gtaB,368.78095219597645,3744.997001959348,10.155071675093438,1.0066829930276515,cytoplasmic,OP_00065,OP_00066,both
