operon_id	chrom	strand	start0	end0	n_isoforms	n_reads_total	member_ids	length	tss	tts	sense_gene_count	sense_gene_loci	sense_gene_names	antisense_gene_count	antisense_gene_loci	antisense_gene_names	gene_count	gene_loci	gene_names	segmentation_type
OP_00001	CP002027.1	+	0	2659	9	12489	ISO_000007,ISO_000011,ISO_000013,ISO_000014,ISO_000020,ISO_000021,ISO_000022,ISO_000038,ISO_000060	2659	0	2659	2	MMSYN1_0001,MMSYN1_0002	dnaA_1,dnaN	0			2	MMSYN1_0001,MMSYN1_0002	dnaA_1,dnaN	isoform_operon
OP_00002	CP002027.1	+	2674	4007	1	2	ISO_000157	1333	2674	4007	2	MMSYN1_0003,MMSYN1_0004		0			2	MMSYN1_0003,MMSYN1_0004		rescue_multiple
OP_00003	CP002027.1	+	4270	5404	2	227	ISO_000186,ISO_000189	1134	4270	5404	1	MMSYN1_0005		0			1	MMSYN1_0005		isoform_operon
OP_00004	CP002027.1	+	5255	9976	9	1003	ISO_000193,ISO_000203,ISO_000216,ISO_000265,ISO_000460,ISO_000568,ISO_000574,ISO_000711,ISO_000740	4721	5255	9976	4	MMSYN1_0006,MMSYN1_0007,MMSYN1_0006,MMSYN1_0007	gyrB,gyrA,gyrB,gyrA	0			2	MMSYN1_0006,MMSYN1_0007	gyrB,gyrA	isoform_operon_merged
OP_00005	CP002027.1	-	9990	10968	0	332		978	10968	9990	1	MMSYN1_0008		0			1	MMSYN1_0008		rescue_single
OP_00006	CP002027.1	-	11647	16812	7	876	ISO_035697,ISO_035714,ISO_035719,ISO_035724,ISO_035906,ISO_035935,ISO_035937	5165	16812	11647	3	MMSYN1_0009,MMSYN1_0010,MMSYN1_0011	,,	0			3	MMSYN1_0009,MMSYN1_0010,MMSYN1_0011	,,	isoform_operon
OP_00007	CP002027.1	-	16955	18528	3	2706	ISO_036017,ISO_036019,ISO_036023	1573	18528	16955	1	MMSYN1_0012	metG	0			1	MMSYN1_0012	metG	isoform_operon
OP_00008	CP002027.1	+	18689	20919	1	86	ISO_000793	2230	18689	20919	2	MMSYN1_0013,MMSYN1_0014	,	0			2	MMSYN1_0013,MMSYN1_0014	,	isoform_operon
OP_00009	CP002027.1	+	21648	24088	3	1320	ISO_000923,ISO_000924,ISO_000936	2440	21648	24088	3	MMSYN1_0014,MMSYN1_0015,MMSYN1_0016	,,	0			3	MMSYN1_0014,MMSYN1_0015,MMSYN1_0016	,,	isoform_operon
OP_00010	CP002027.1	+	25110	25215	0	205		105	25110	25215	1	MMSYN1_0916		0			1	MMSYN1_0916		rescue_single
