locus_tag,gene_name,n_covering_iso,TIR_weighted,dG_mRNA_rRNA_med,dG_standby_med,dG_spacing_med,dG_mRNA_med
MMSYN1_0001,dnaA_1,21,15800.614099999999,-8.881,0.0,0.0039,-4.1
MMSYN1_0002,dnaN,5,3395.9214405850084,-8.681,-1.6,0.0039,-6.3
MMSYN1_0003,rnmV,0,,,,,
MMSYN1_0004,ksgA,0,,,,,
MMSYN1_0005,,0,,,,,
MMSYN1_0006,gyrB,25,23324.007547513815,-9.981,0.0,0.0039,-4.2
MMSYN1_0007,gyrA,12,27600.097217431194,-7.681,0.0,0.3399,-1.0
MMSYN1_0008,,4,58363.07281914893,-11.281,0.0,0.3399,-2.6
MMSYN1_0009,,0,,,,,
MMSYN1_0010,,8,25144.783147717844,-9.881,0.0,0.0,-3.9
MMSYN1_0011,,6,164019.74284410643,-13.381,0.0,0.0,-2.2
MMSYN1_0012,metG,5,6296.4818,-5.081,0.0,0.0039,-2.6
MMSYN1_0013,,4,3594.9625000000005,-6.231,-0.05,1.4049,-3.7
MMSYN1_0014,,0,,,,,
MMSYN1_0015,,4,2949.0516,-6.281,-0.9,0.0,-4.8
MMSYN1_0016,,0,,,,,
MMSYN1_0913,tetM,40,198.20170160664821,0.719,0.0,0.0,-4.3
MMSYN1_0915,lacZ,42,2710.758509439728,-8.381,0.0,2.1301,-5.9
MMSYN1_0921,tnpA_1,17,4506.7026,-9.981,0.0,0.3399,-8.0
MMSYN1_0020,,4,17815.2769,-6.481,0.0,0.0039,-1.4
MMSYN1_0025,rpsR,7,2679.2398,-6.181,0.0,0.3399,-5.5
MMSYN1_0026,,30,13464.259900000001,-5.081,0.0,0.0039,-0.7
MMSYN1_0027,,21,74422.72588399859,-13.581,0.0,2.1301,-2.8
MMSYN1_0028,,4,3966.2232000000004,-16.281,-3.2,5.2592,-6.5
MMSYN1_0029,,3,62224.935909644664,-13.981,0.0,0.0,-5.4
MMSYN1_0030,,8,19166.86211535168,-9.681,0.0,0.0,-4.3
MMSYN1_0031,hslO,36,2376.2546999999995,-7.081,0.0,0.3399,-6.7
MMSYN1_0032,,1,2939.4371,-7.781,-1.4,0.8082,-5.0
MMSYN1_0033,,0,,,,,
MMSYN1_0034,,0,,,,,
MMSYN1_0035,,1,27267.0443,-9.381,0.0,0.3399,-2.9
MMSYN1_0036,,48,2829.0495,-7.581,0.0,0.0039,-7.1
MMSYN1_0037,,28,7377.89931572915,-6.081,0.0,0.0,-3.2
MMSYN1_0038,,1,20938.8592,-10.281,0.0,0.0,-4.8
MMSYN1_0039,,0,,,,,
MMSYN1_0041,,29,2615.5545000000006,-6.181,0.0,0.0,-5.9
MMSYN1_0040,,0,,,,,
MMSYN1_0042,,3,7916.700895515695,-3.681,0.0,0.0039,0.0
MMSYN1_0043,,3,853.3425,-1.981,0.0,0.0,-4.5
MMSYN1_0044,,0,,,,,
MMSYN1_0045,tmk,0,,,,,
MMSYN1_0046,,8,1549.8805999999997,-6.181,0.0,0.8082,-6.4
MMSYN1_0047,dnaX,6,193892.65673522267,-12.281,0.0,0.0039,-1.2
MMSYN1_0048,,34,253.50889999999995,-7.581,0.0,2.9837,-9.0
MMSYN1_0050,guaC,2,50205.83347105263,-10.681,0.0,0.3399,-4.05
MMSYN1_0052,,5,16470.8418,-5.781,0.0,0.0,-0.9
MMSYN1_0054,,14,53872.854836296305,-13.681,0.0,0.0039,-5.8
MMSYN1_0055,mmyCVR,7,2376.2546999999995,-7.581,0.0,0.3399,-7.2
MMSYN1_0056,mmyC5VM,9,5766.343995555556,-8.481,0.0,0.3399,-5.9
MMSYN1_0057,,3,4882.0772,-4.881,0.0,0.3399,-2.7
MMSYN1_0058,,3,1851.8283407407407,-2.881,0.0,1.4049,-2.0
MMSYN1_0059,ald,15,31110.721753440146,-10.681,0.0,0.0039,-4.2
MMSYN1_0060,,7,103721.2701,-11.381,0.0,0.0,-1.9
MMSYN1_0061,serS,14,18926.775130775786,-10.881,0.0,0.8082,-4.8
MMSYN1_0062,,31,18534.549900000005,-8.281,0.0,1.4049,-1.7
MMSYN1_0063,,23,7389.064099999999,-4.881,0.0,0.0039,-2.0
MMSYN1_0064,lysS,23,1555.4284906250002,-10.281,0.0,9.1785,-2.7
MMSYN1_0065,trxA,10,41403.98227272728,-9.781,0.0,0.0,-2.7
MMSYN1_0066,,10,18532.39711531531,-11.081,0.0,0.0,-5.8
MMSYN1_0072,,0,,,,,
MMSYN1_0073,,1,6997.7831,-8.881,0.0,0.3399,-5.8
MMSYN1_0074,phnC,38,2670.8953495440733,-5.281,0.0,0.0,-5.0
MMSYN1_0075,,20,20086.82,-5.381,0.0,0.0039,0.0
MMSYN1_0076,asnS,22,10851.119273225153,-6.681,0.0,0.0,-2.7
MMSYN1_0077,,51,20186.40798548297,-10.181,0.0,0.0039,-4.9
MMSYN1_0078,,14,1042.2880000000002,-3.581,0.0,0.0,-5.6
MMSYN1_0079,,9,1836.8676532520324,-6.881,0.0,5.2592,-4.6
MMSYN1_0080,,5,515.6568,-6.881,0.0,5.2592,-5.4
MMSYN1_0081,trmE,2,4882.0772,-5.381,0.0,0.3399,-3.2
MMSYN1_0082,rpsT,3,124682.9683,-10.881,0.0,0.3399,-0.6
MMSYN1_0083,,3,3314.231,-5.281,0.0,0.8082,-3.6
MMSYN1_0084,,1,5152.882,-6.181,0.0,1.4049,-2.8
MMSYN1_0085,,1,5363.1886,-6.181,0.0,1.4049,-2.7
MMSYN1_0087,,4,9772.7349,-6.181,0.0,1.4049,-1.2
MMSYN1_0088,,0,,,,,
MMSYN1_0089,,3,8667.573,-6.181,0.0,1.4049,-1.5
MMSYN1_0923,,2,10171.5934,-6.181,0.0,1.4049,-1.1
MMSYN1_0092,,0,,,,,
MMSYN1_0093,,0,,,,,
MMSYN1_0095,secA,0,,,,,
MMSYN1_0096,,4,531.551261728395,0.219,0.0,1.4049,-2.3
MMSYN1_0097,,14,13184.335973132185,-7.381,0.0,0.8082,-2.2
MMSYN1_0098,mmyCVIM1,2,10069.6377,-7.181,0.0,2.1301,-1.4
MMSYN1_0099,mmyCVIM2,0,,,,,
MMSYN1_0100,mmyCVIR,0,,,,,
MMSYN1_0101,,26,4507.325778336557,-5.081,0.0,0.0,-3.5
MMSYN1_0103,coaE,3,3736.8131999999996,-5.281,0.0,0.8082,-3.3
MMSYN1_0104,rrmJ,1,1972.8829,-3.981,0.0,1.4049,-3.0
MMSYN1_0105,,39,18493.617110485437,-9.581,0.0,1.4049,-4.1
MMSYN1_0106,xseA,5,4579.1403,-3.581,0.0,0.0,-1.9
MMSYN1_0107,nusB,4,11941.6373,-7.481,0.0,0.0039,-3.4
MMSYN1_0108,,3,2414.4489,-6.981,-1.9,0.0,-5.0
MMSYN1_0109,,24,35220.8903,-8.881,0.0,0.0,-2.1
MMSYN1_0110,,13,14423.904549146757,-8.981,0.0,0.0,-4.0
MMSYN1_0112,,0,,,,,
MMSYN1_0113,,1,775.2693,-1.881,0.0,0.3399,-4.3
MMSYN1_0114,,4,3453.9933,-9.381,-2.7,1.4049,-4.3
MMSYN1_0115,,3,4128.0982,-10.681,0.0,5.2592,-4.0
MMSYN1_0116,,0,,,,,
MMSYN1_0117,plsY,9,2773.151500743494,-5.681,0.0,0.3399,-5.0
MMSYN1_0118,,6,802.6945844827586,-10.681,0.0,5.2592,-7.7
MMSYN1_0119,,1,18570.9622,-7.381,0.0,0.0,-2.2
MMSYN1_0120,ilvA,17,5155.058499999999,-7.481,0.0,0.0039,-5.5
MMSYN1_0121,,4,2722.3041,-4.881,0.0,0.0,-4.5
MMSYN1_0122,,0,,,,,
MMSYN1_0123,vlcD,26,1898.0881526073617,-1.981,0.0,0.0039,-2.5
MMSYN1_0124,,65,26.46689999999999,0.319,0.0,7.6826,-3.2
MMSYN1_0125,,9,107713.76922921144,-11.481,0.0,0.0,-1.9
MMSYN1_0126,gltX,15,5439.771126573427,-10.681,0.0,5.2592,-3.4
MMSYN1_0127,,7,999.8755000000002,-2.181,0.0,0.0039,-4.3
MMSYN1_0128,,34,8103.868468274112,-6.181,0.0,0.3399,-2.6
MMSYN1_0129,pyrG,8,35106.0625,-11.281,0.0,0.8082,-3.7
MMSYN1_0130,,2,239.50320000000002,-4.481,0.0,5.0763,-5.1
MMSYN1_0131,fba,11,30864.142200000002,-8.981,0.0,2.1301,-0.4
MMSYN1_0132,,11,5530.223827906976,-4.881,0.0,0.3399,-1.9
MMSYN1_0133,,3,8327.6917,-11.181,0.0,1.4049,-6.6
MMSYN1_0134,,3,2283.0746,-6.181,0.0,0.3399,-5.9
MMSYN1_0136,,0,,,,,
MMSYN1_0137,rpmE,17,59244.44600000001,-10.781,0.0,0.0,-2.7
MMSYN1_0138,,2,4622.855630769231,-13.030999999999999,-0.55,0.8082,-10.149999999999999
