operon_id	chrom	strand	locus_tag	locusNum	orf_length	deleted_bps	retained_bps	deleted_frac
OP_00162	CP002027.1	-	MMSYN1_0306	0306	777	577	200	0.7426
OP_00031	CP002027.1	-	MMSYN1_0048	0048	468	362	106	0.7735
OP_00107	CP002027.1	+	MMSYN1_0194	0194	960	881	79	0.9177
OP_00247	CP002027.1	+	MMSYN1_0477	0477	735	694	41	0.9442
OP_00431	CP002027.1	-	MMSYN1_0871	0871	708	675	33	0.9534
OP_00058	CP002027.1	-	MMSYN1_0110	0110	753	721	32	0.9575
OP_00187	CP002027.1	+	MMSYN1_0349	0349	990	967	23	0.9768
OP_00349	CP002027.1	-	MMSYN1_0683	0683	756	733	23	0.9696
OP_00034	CP002027.1	+	MMSYN1_0062	0062	315	296	19	0.9397
OP_00260	CP002027.1	-	MMSYN1_0496	0496	450	431	19	0.9578
OP_00028	CP002027.1	+	MMSYN1_0041	0041	846	829	17	0.9799
OP_00050	CP002027.1	-	MMSYN1_0093	0093	771	754	17	0.978
OP_00140	CP002027.1	-	MMSYN1_0268	0268	758	742	16	0.9789
OP_00419	CP002027.1	-	MMSYN1_0854	0854	510	494	16	0.9686
OP_00139	CP002027.1	-	MMSYN1_0261	0261	627	615	12	0.9809
OP_00221	CP002027.1	-	MMSYN1_0417	0417	456	445	11	0.9759
OP_00226	CP002027.1	+	MMSYN1_0436	0436	654	643	11	0.9832
