operon_id	strand	utr5_bp	utr3_bp
OP_00001	+	0	21
OP_00007	-	13	30
OP_00011	-	20	188
OP_00013	+	288	615
OP_00019	-	61	50
OP_00020	+	75	38
OP_00021	-	16	29
OP_00022	-	69	12
OP_00026	+	152	48
OP_00027	-	144	43
OP_00028	+	113	551
OP_00035	-	46	35
OP_00042	+	91	200
OP_00043	-	161	51
OP_00048	-	53	66
OP_00049	-	53	120
OP_00055	+	37	11
OP_00060	+	174	33
OP_00061	-	278	12
OP_00062	-	94	82
OP_00063	+	798	33
OP_00064	-	18	32
OP_00067	+	69	56
OP_00070	+	27	37
OP_00071	-	39	59
OP_00076	+	43	44
OP_00077	+	20	39
OP_00078	+	85	55
OP_00094	-	51	27
OP_00095	+	29	33
OP_00096	-	23	35
OP_00097	-	23	38
OP_00098	-	21	46
OP_00099	-	44	21
OP_00100	+	78	59
OP_00104	-	36	31
OP_00106	+	25	62
OP_00109	-	16	28
OP_00111	-	25	19
OP_00112	+	77	54
OP_00115	+	33	50
OP_00117	-	274	60
OP_00123	+	40	29
OP_00124	-	152	47
OP_00127	+	23	38
OP_00131	+	85	44
OP_00134	-	17	315
OP_00148	-	20	41
OP_00150	+	11	0
OP_00153	-	22	36
OP_00158	+	726	41
OP_00162	-	82	37
OP_00164	-	0	32
OP_00169	+	34	50
OP_00172	+	58	19
OP_00180	+	26	34
OP_00185	-	27	53
OP_00206	+	25	27
OP_00208	+	38	47
OP_00209	+	23	42
OP_00210	+	11	33
OP_00220	-	26	37
OP_00222	-	22	24
OP_00227	+	24	24
OP_00233	+	14	82
OP_00235	+	18	45
OP_00238	-	121	36
OP_00243	-	46	64
OP_00244	+	22	46
OP_00245	+	49	48
OP_00246	-	12	793
OP_00247	+	78	15
OP_00249	+	28	47
OP_00258	-	13	68
OP_00260	-	70	30
OP_00261	-	244	52
OP_00262	+	20	28
OP_00272	-	127	102
OP_00276	-	20	73
OP_00278	+	39	46
OP_00295	+	156	31
OP_00299	+	242	47
OP_00317	-	50	52
OP_00323	-	21	33
OP_00324	+	165	28
OP_00325	-	20	39
OP_00330	-	17	80
OP_00333	-	17	37
OP_00334	-	75	25
OP_00340	-	28	35
OP_00342	-	37	47
OP_00346	-	32	1220
OP_00349	-	16	31
OP_00350	+	19	26
OP_00355	-	100	38
OP_00356	-	31	32
OP_00359	+	11	37
OP_00361	-	34	72
OP_00363	+	43	42
OP_00364	+	20	49
OP_00365	-	47	53
OP_00366	+	120	117
OP_00370	+	15	119
OP_00371	-	21	52
OP_00376	+	59	26
OP_00392	-	101	62
OP_00393	-	383	62
OP_00396	-	25	39
OP_00410	+	48	75
OP_00418	-	36	80
OP_00422	+	253	34
OP_00423	-	57	73
OP_00435	-	110	37
OP_00436	-	34	42
OP_00439	-	75	26
OP_00443	+	45	123
OP_00456	+	14	46
OP_00459	-	36	29
