operon_id	category	strand	gene_a_locusNum	gene_b_locusNum	syn3A_chrom	syn3A_intergenic_bp	n_spanning_reads	n_bridging_reads	ont_depth_a	ont_depth_b	ill_depth_a	ill_depth_b	ill_gap_depth	bridge_threshold	gap_depth_threshold	bridge_pass	gap_depth_pass	pair_preserved_strict	pair_preserved_loose
OP_00001	pristine	+	0001	0002	CP016816.2	157	0	63	228.668	163.004	443.16	367.64	638.637	10.0	73.528	True	True	False	True
OP_00002	pristine	+	0003	0004	CP016816.2	0	0	55	77.122	48.442	156.223	116.491		9.688	23.298	True	True	False	True
OP_00004	pristine	+	0006	0007	CP016816.2	15	0	18	29.837	75.48	1232.231	1728.362	651.067	5.967	246.446	True	True	False	True
OP_00006	pristine	-	0011	0010	CP016816.2	11	0	43	78.95	34.428	420.778	595.464	153.364	6.886	84.156	True	True	False	True
OP_00006	pristine	-	0010	0009	CP016816.2	0	0	46	34.428	56.081	595.464	215.507		6.886	43.101	True	True	False	True
OP_00038	pristine	-	0066	0065	CP016816.2	10	0	1415	1515.893	3389.388	2267.514	5103.143	5993.1	10.0	453.503	True	True	False	True
OP_00039	pristine	-	0069	0068	CP016816.2	219	0	0	91.372	114.514	21428.891	10186.158	9060.046	10.0	2037.232	False	True	False	False
OP_00039	pristine	-	0068	0067	CP016816.2	61	0	0	114.514	37.917	10186.158	46151.98	250.426	7.583	2037.232	False	False	False	False
OP_00043	intra_operon	-	0080	0079	CP016816.2	94	0	8	190.635	80.62	1029.27	519.99	738.202	10.0	103.998	False	True	False	False
OP_00043	intra_operon	-	0079	0077	CP016816.2	35	0	25	80.62	32.16	519.99	411.564	492.657	6.432	82.313	True	True	False	True
OP_00043	intra_operon	-	0077	0076	CP016816.2	8	0	10	32.16	76.037	411.564	443.338	1526.75	6.432	82.313	True	True	False	True
OP_00078	pristine	+	0139	0140	CP016816.2	1	0	51	145.658	125.835	548.438	642.025	1445.0	10.0	109.688	True	True	False	True
OP_00078	pristine	+	0140	0141	CP016816.2	2	0	38	125.835	139.009	642.025	2048.587	776.0	10.0	128.405	True	True	False	True
OP_00078	pristine	+	0141	0142	CP016816.2	0	0	90	139.009	50.82	2048.587	157.736		10.0	31.547	True	True	False	True
OP_00079	pristine	+	0143	0144	CP016816.2	8	0	69	58.684	91.467	180.735	139.788	30.75	10.0	27.958	True	True	False	True
OP_00079	pristine	+	0144	0145	CP016816.2	114	0	49	91.467	668.029	139.788	413.411	193.228	10.0	27.958	True	True	False	True
OP_00095	pristine	+	0165	0166	CP016816.2	15	0	135	185.941	106.583	1593.407	1318.72	5229.6	10.0	263.744	True	True	False	True
OP_00096	pristine	+	0167	0168	CP016816.2	1	0	42	65.21	65.682	1075.585	1010.083	3622.0	10.0	202.017	True	True	False	True
OP_00113	pristine	-	0201	0200	CP016816.2	188	0	0	190.738	81.643	490.61	2116.625	461.553	10.0	98.122	False	True	False	False
