Locus Tag	Gene Name	Gene Product	Protein Length	Exp. Ptn Cnt	Essentiality	Primary Function	Secondary Function	Tertiary Function	Localization	Sim. Initial Ptn Cnt	Review Flag
JCVISYN3A_0001	dnaA	Chromosomal replication initiator protein	450.0	148	Essential	Genetic Information Processing			cytoplasm	148	
JCVISYN3A_0002	dnaN	DNA polymerase III subunit beta	375.0	213	Essential	Genetic Information Processing			cytoplasm	213	
JCVISYN3A_0003	rnmV	Ribonuclease M5	180.0	65	Quasiessential	Genetic Information Processing			cytoplasm	65	
JCVISYN3A_0004	ksgA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase	266.0	40	Nonessential	Genetic Information Processing			cytoplasm	40	
JCVISYN3A_0005		Uncharacterized protein	363.0	72	Nonessential	Unclear			trans-membrane	72	
JCVISYN3A_0006	gyrB	DNA gyrase subunit B	634.0	244	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	244	
JCVISYN3A_0007	gyrA	DNA gyrase subunit A	834.0	298	Essential	Genetic Information Processing	DNA Maintenance	Chromosome-related	cytoplasm	298	
JCVISYN3A_0008	rnsD; uptD	Nucleoside ABC transporter permease	325.0	5	Essential	Metabolism	Membrane Transport	Nucleic acids	trans-membrane	10	
JCVISYN3A_0009	rnsC; uptD	Nucleoside ABC transporter permease	855.0	175	Essential	Metabolism	Membrane Transport	Nucleic acids	trans-membrane	175	
JCVISYN3A_0010	rnsA; uptA	Nucleoside ABC transporter ATP-binding protein	538.0	145	Essential	Metabolism	Membrane Transport	Nucleic acids	peripheral membrane	145	
JCVISYN3A_0011	rnsB; uptB	Nucleoside ABC transporter substrate-binding protein	548.0	81	Essential	Metabolism	Membrane Transport	Nucleic acids	lipoprotein	81	
JCVISYN3A_0012	metRS	Methionine--tRNA ligase	509.0	248	Essential	Metabolism	Translation	tRNA loading	cytoplasm	251	PRIMARY_MISMATCH
JCVISYN3A_0918	hisB	Imidazoleglycerol-phosphate dehydratase	220.0	-	Nonessential	Metabolism			cytoplasm	10	
JCVISYN3A_0913	tetM	Tetracycline resistance ribosomal protection protein	639.0	-	Nonessential	Human Diseases			cytoplasm	10	
JCVISYN3A_0025	rpsR	30S ribosomal protein S18	75.0	209	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	209	
JCVISYN3A_0026	priB	Single-stranded DNA-binding protein	146.0	107	Essential	Genetic Information Processing			cytoplasm	107	
JCVISYN3A_0027	rpsF	30S ribosomal protein S6	137.0	-	Essential	Genetic Information Processing	Translation	Ribosome	cytoplasm	10	
JCVISYN3A_0029	acpD; azoR	FMN reductase/NADH-azoreductase	199.0	281	Essential	Metabolism			cytoplasm	281	
JCVISYN3A_0030		Uncharacterized ABC transporter ATP-binding protein	344.0	377	Essential	Metabolism			peripheral membrane	377	
JCVISYN3A_0033		Uncharacterized protein	1052.0	61	Essential	Unclear			unidentified	61	
JCVISYN3A_0034		Uncharacterized efflux ABC transporter permease	1795.0	9	Nonessential	Metabolism			trans-membrane	10	
JCVISYN3A_0039	ftsH	Membrane anchored AAA+ protease	648.0	148	Essential	Cellular Processes			trans-membrane	148	
JCVISYN3A_0040	tilS	tRNA lysidine(34) synthetase	401.0	39	Essential	Genetic Information Processing			cytoplasm	39	
JCVISYN3A_0042		Uncharacterized transcriptional regulator	275.0	121	Quasiessential	Genetic Information Processing			cytoplasm	121	
JCVISYN3A_0043	yabD	Uncharacterized methyltransferase	240.0	22	Nonessential	Unclear			cytoplasm	22	
JCVISYN3A_0044	holA	DNA polymerase III subunit delta	246.0	32	Essential	Genetic Information Processing			cytoplasm	32	
JCVISYN3A_0045	tmk	dTMP kinase	213.0	92	Essential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	92	
JCVISYN3A_0046	recR	Recombination protein	196.0	33	Quasiessential	Genetic Information Processing			cytoplasm	33	
JCVISYN3A_0047	dnaX	DNA polymerase III subunit gamma and tau	668.0	113	Essential	Genetic Information Processing			cytoplasm	113	
JCVISYN3A_0054	ahpC	Uncharacterized peroxiredoxin	149.0	157	Nonessential	Metabolism			cytoplasm	157	
JCVISYN3A_0060		Uncharacterized protein	274.0	10	Quasiessential	Unclear			trans-membrane	10	
JCVISYN3A_0061	serRS	Serine--tRNA ligase	422.0	246	Essential	Metabolism	Translation	tRNA loading	cytoplasm	249	PRIMARY_MISMATCH
JCVISYN3A_0063	dusB	Uncharacterized tRNA dihydrouridine synthase	324.0	71	Nonessential	Genetic Information Processing			cytoplasm	71	
JCVISYN3A_0064	lysRS	Lysine--tRNA ligase	500.0	214	Essential	Metabolism	Translation	tRNA loading	cytoplasm	217	PRIMARY_MISMATCH
JCVISYN3A_0065	trxA	Thioredoxin	102.0	426	Essential	Metabolism			cytoplasm	445	
JCVISYN3A_0066	dumP	dUMP phosphatase 	280.0	371	Quasiessential	Metabolism	Central Carbon Metabolism	Nucleotide metabolism	cytoplasm	371	
JCVISYN3A_0076	asnRS	Asparagine--tRNA ligase	454.0	736	Essential	Metabolism	Translation	tRNA loading	cytoplasm	739	PRIMARY_MISMATCH
JCVISYN3A_0077		Low specificity hydrolase 	279.0	-	Quasiessential	Unclear			cytoplasm	10	
JCVISYN3A_0079	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D	318.0	38	Essential	Genetic Information Processing			cytoplasm	38	
