chrom,feature,start0,end0,strand,locus_tag,gene_name,rna_type,gene_product,gene_len,SRR35996296_sense_avg_depth,SRR35996296_antisense_avg_depth,SRR35996296_sense_TPM,SRR35996296_antisense_TPM,SRR35996297_sense_avg_depth,SRR35996297_antisense_avg_depth,SRR35996297_sense_TPM,SRR35996297_antisense_TPM,SRR35996298_sense_avg_depth,SRR35996298_antisense_avg_depth,SRR35996298_sense_TPM,SRR35996298_antisense_TPM,sample_95_sense_TPM,sample_95_antisense_TPM,sample_enr_sense_TPM,sample_enr_antisense_TPM,avg_sense_TPM,avg_antisense_TPM,PacBio_sense_TPM,PacBio_antisense_TPM
CP002027.1,gene,0,1353,+,MMSYN1_0001,dnaA_1,mRNA,chromosomal replication initiator protein DnaA,1353,15.4715,0.0000,51.2640,0.0000,17.8817,0.5322,58.9341,1.7538,112.8418,0.3969,200.7050,0.7059,55.0991,0.8769,200.7050,0.7059,127.9020,0.7914,2661.9428,1.2756
CP002027.1,gene,1510,2638,+,MMSYN1_0002,dnaN,mRNA,DNA polymerase III_ beta subunit,1128,1.3351,0.0000,4.4238,0.0000,6.1844,0.0000,20.3823,0.0000,63.9681,0.6649,113.7762,1.1826,12.4031,0.0000,113.7762,1.1826,63.0896,0.5913,403.3993,4.5770
CP002027.1,gene,2674,3217,+,MMSYN1_0003,rnmV,mRNA,ribonuclease M5,543,0.4494,0.0000,1.4889,0.0000,1.2578,0.0000,4.1455,0.0000,17.7201,0.0000,31.5176,0.0000,2.8172,0.0000,31.5176,0.0000,17.1674,0.0000,28.9521,1.6972
CP002027.1,gene,3206,4007,+,MMSYN1_0004,ksgA,mRNA,dimethyladenosine transferase,801,2.6017,0.0000,8.6207,0.0000,1.9064,1.3733,6.2829,4.5260,3.6804,1.2459,6.5461,2.2161,7.4518,2.2630,6.5461,2.2161,6.9990,2.2395,17.7535,1.0425
CP002027.1,gene,4063,5155,+,MMSYN1_0005,,mRNA,hypothetical purine NTPase,1092,100.3645,0.0000,332.5516,0.0000,98.6850,0.0000,325.2428,0.0000,411.5046,0.4570,731.9185,0.8128,328.8972,0.0000,731.9185,0.8128,530.4079,0.4064,83.3375,0.0000
CP002027.1,gene,5514,7419,+,MMSYN1_0006,gyrB,mRNA,DNA gyrase_ B subunit,1905,161.6000,1.1176,535.4519,3.7031,160.9995,2.0310,530.6169,6.6936,212.1213,2.2425,377.2874,3.9886,533.0344,5.1983,377.2874,3.9886,455.1609,4.5935,577.4727,8.2436
CP002027.1,gene,7434,9939,+,MMSYN1_0007,gyrA,mRNA,DNA gyrase_ A subunit,2505,251.4707,0.8862,833.2329,2.9365,257.5194,0.7413,848.7240,2.4432,479.4196,2.3832,852.7148,4.2389,840.9785,2.6898,852.7148,4.2389,846.8466,3.4644,597.9989,2.5706
CP002027.1,gene,9990,10968,-,MMSYN1_0008,,mRNA,ribose/Galactose ABC transporter_ permease component II,978,72.0358,4.4898,238.6863,14.8766,80.6421,4.2904,265.7777,14.1401,239.9734,8.4162,426.8263,14.9693,252.2320,14.5084,426.8263,14.9693,339.5292,14.7388,93.7899,7.9844
CP002027.1,gene,10967,13535,-,MMSYN1_0009,,mRNA,ABC transporter_ permease protein,2568,8.9521,1.7862,29.6623,5.9185,11.7453,2.2874,38.7099,7.5387,68.3598,1.8614,121.5875,3.3107,34.1861,6.7286,121.5875,3.3107,77.8868,5.0197,512.5136,7.0861
CP002027.1,gene,13524,15141,-,MMSYN1_0010,,mRNA,ribose/Galactose ABC transporter_ ATP-binding component,1617,36.4960,2.4719,120.9272,8.1904,41.3976,0.9202,136.4370,3.0328,148.7805,3.5189,264.6269,6.2588,128.6821,5.6116,264.6269,6.2588,196.6545,5.9352,353.0329,4.5578
CP002027.1,gene,15152,16799,-,MMSYN1_0011,,mRNA,ribose/galactose ABC transporter_ substrate-binding component,1647,46.6157,1.3382,154.4582,4.4340,39.2684,1.8512,129.4194,6.1013,178.8707,1.8264,318.1465,3.2484,141.9388,5.2676,318.1465,3.2484,230.0427,4.2580,281.4179,1.6465
CP002027.1,gene,16985,18515,-,MMSYN1_0012,metG,mRNA,methionine--tRNA ligase,1530,43.4680,0.0000,144.0285,0.0000,47.3647,0.3791,156.1031,1.2494,235.5248,1.8248,418.9139,3.2457,150.0658,0.6247,418.9139,3.2457,284.4898,1.9352,738.1733,3.8679
CP002027.1,gene,18715,20302,+,MMSYN1_0013,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,1587,5.1645,1.1903,17.1121,3.9440,6.4468,1.0838,21.2470,3.5720,14.9937,5.2495,26.6684,9.3370,19.1796,3.7580,26.6684,9.3370,22.9240,6.5475,104.8640,20.7498
CP002027.1,gene,20316,21831,+,MMSYN1_0014,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,1515,8.4343,1.6502,27.9466,5.4677,13.2594,3.4904,43.6999,11.5036,27.8178,5.5901,49.4779,9.9428,35.8233,8.4857,49.4779,9.9428,42.6506,9.2142,164.2714,19.9318
CP002027.1,gene,21863,23393,+,MMSYN1_0015,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,1530,25.2850,0.7033,83.7802,2.3302,20.7673,1.4908,68.4443,4.9135,70.4562,4.2797,125.3162,7.6121,76.1122,3.6219,125.3162,7.6121,100.7142,5.6170,588.0913,12.6515
CP002027.1,gene,23410,25009,+,MMSYN1_0016,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,1599,42.2051,2.0826,139.8442,6.9004,52.0050,1.9700,171.3964,6.4926,113.5691,4.0225,201.9986,7.1546,155.6203,6.6965,201.9986,7.1546,178.8094,6.9256,193.6143,12.0861
CP002027.1,gene,25110,25215,+,MMSYN1_0916,,ncRNA,RNAI,105,19.9524,10.2667,66.1110,34.0180,26.5905,7.2571,87.6360,23.9179,21.7810,9.5524,38.7405,16.9902,76.8735,28.9679,38.7405,16.9902,57.8070,22.9791,46.6343,20.6343
CP002027.1,gene,25425,26286,-,MMSYN1_0914,bla,mRNA,beta-lactamase TEM (precursor),861,219.8641,23.3647,728.5065,77.4175,203.4053,15.9292,670.3768,52.4988,185.1301,16.8014,329.2798,29.8836,699.4417,64.9581,329.2798,29.8836,514.3607,47.4209,216.1497,53.3064
CP002027.1,gene,26356,27529,-,MMSYN1_0917,,mRNA,transposase_ Mutator family,1173,140.8627,23.5277,466.7402,77.9576,115.5584,24.5874,380.8537,81.0343,167.7553,27.6786,298.3763,49.2303,423.7969,79.4960,298.3763,49.2303,361.0866,64.3631,157.3803,171.5122
CP002027.1,gene,27638,28301,-,MMSYN1_0918,his3,mRNA,imidazoleglycerol-phosphate dehydratase,663,31.3635,530.6501,103.9211,1758.2771,24.5173,436.2821,80.8035,1437.8844,20.9050,864.8703,37.1824,1538.2929,92.3623,1598.0808,37.1824,1538.2929,64.7724,1568.1868,35.4350,7942.7454
