orfs	isoform_id	n_reads	strand	n_orfs	n_with_stop	n_without_stop
MMSYN1_0001✗	ISO_000007	12	+	1	0	1
MMSYN1_0001✗	ISO_000008	12	+	1	0	1
MMSYN1_0001✗	ISO_000011	10	+	1	0	1
MMSYN1_0001✗	ISO_000013	5230	+	1	0	1
MMSYN1_0001✗	ISO_000020	242	+	1	0	1
MMSYN1_0001✗	ISO_000021	304	+	1	0	1
MMSYN1_0001✗	ISO_000025	152	+	1	0	1
MMSYN1_0001✗	ISO_000027	211	+	1	0	1
MMSYN1_0001✗	ISO_000033	10	+	1	0	1
MMSYN1_0001✗	ISO_000034	17	+	1	0	1
MMSYN1_0001✗	ISO_000036	22	+	1	0	1
MMSYN1_0001✗	ISO_000040	2668	+	1	0	1
MMSYN1_0001✗	ISO_000041	926	+	1	0	1
MMSYN1_0001✗	ISO_000042	995	+	1	0	1
MMSYN1_0001✗	ISO_000043	39	+	1	0	1
MMSYN1_0001✗	ISO_000045	11	+	1	0	1
MMSYN1_0001✗	ISO_000046	231	+	1	0	1
MMSYN1_0001✗	ISO_000047	282	+	1	0	1
MMSYN1_0001✓	ISO_000048	11	+	1	1	0
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000063	11	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000071	11	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000080	11	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000082	13	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000084	32	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000085	69	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000089	27	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000107	35	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000118	19	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✓	ISO_000133	1025	+	2	2	0
MMSYN1_0001✓ MMSYN1_0002✓ MMSYN1_0003✗	ISO_000155	12	+	3	2	1
MMSYN1_0002✓	ISO_000305	12	+	1	1	0
MMSYN1_0002✓	ISO_000372	10	+	1	1	0
MMSYN1_0005✗	ISO_000491	11	+	1	0	1
MMSYN1_0005✗	ISO_000495	23	+	1	0	1
MMSYN1_0006✗	ISO_000575	109	+	1	0	1
MMSYN1_0006✗	ISO_000578	13	+	1	0	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000576	21	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000584	17	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✓	ISO_000585	12	+	2	2	0
MMSYN1_0006✗	ISO_000618	178	+	1	0	1
MMSYN1_0006✗	ISO_000615	148	+	1	0	1
MMSYN1_0006✗	ISO_000646	24	+	1	0	1
MMSYN1_0006✗	ISO_000654	25	+	1	0	1
MMSYN1_0006✗	ISO_000661	10	+	1	0	1
MMSYN1_0006✗	ISO_000664	19	+	1	0	1
MMSYN1_0006✗	ISO_000667	10	+	1	0	1
MMSYN1_0006✗	ISO_000668	17	+	1	0	1
MMSYN1_0006✗	ISO_000681	13	+	1	0	1
MMSYN1_0006✓	ISO_000686	11	+	1	1	0
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000690	10	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000700	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000703	21	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000707	15	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000710	11	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000712	11	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000732	11	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000733	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000735	79	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000737	60	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000741	10	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000747	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✓	ISO_000617	19	+	2	2	0
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000835	13	+	2	1	1
MMSYN1_0006✗	ISO_000836	12	+	1	0	1
MMSYN1_0006✗	ISO_000834	16	+	1	0	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000839	26	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✓	ISO_000841	14	+	2	2	0
MMSYN1_0006✗	ISO_000875	10	+	1	0	1
MMSYN1_0007✗	ISO_001106	15	+	1	0	1
MMSYN1_0007✗	ISO_001107	11	+	1	0	1
MMSYN1_0007✗	ISO_001438	10	+	1	0	1
MMSYN1_0007✗	ISO_001548	25	+	1	0	1
MMSYN1_0007✗	ISO_001549	25	+	1	0	1
MMSYN1_0007✓	ISO_001560	27	+	1	1	0
MMSYN1_0007✗	ISO_001706	16	+	1	0	1
MMSYN1_0007✗	ISO_001707	12	+	1	0	1
MMSYN1_0007✓	ISO_001971	11	+	1	1	0
MMSYN1_0007✗	ISO_001991	17	+	1	0	1
MMSYN1_0007✓	ISO_001992	36	+	1	1	0
MMSYN1_0007✗	ISO_001993	10	+	1	0	1
MMSYN1_0007✗	ISO_002017	27	+	1	0	1
MMSYN1_0007✗	ISO_002021	24	+	1	0	1
MMSYN1_0007✗	ISO_002004	12	+	1	0	1
MMSYN1_0007✗	ISO_002041	19	+	1	0	1
MMSYN1_0007✓	ISO_002013	99	+	1	1	0
MMSYN1_0007✓	ISO_002104	13	+	1	1	0
MMSYN1_0007✓	ISO_002112	14	+	1	1	0
MMSYN1_0007✓	ISO_002145	10	+	1	1	0
MMSYN1_0007✓	ISO_002167	16	+	1	1	0
MMSYN1_0008✓	ISO_116038	11	-	1	1	0
MMSYN1_0009✗	ISO_116489	11	-	1	0	1
MMSYN1_0009✗	ISO_116484	57	-	1	0	1
MMSYN1_0009✗	ISO_116490	74	-	1	0	1
MMSYN1_0009✗	ISO_116500	22	-	1	0	1
MMSYN1_0009✗	ISO_116503	26	-	1	0	1
MMSYN1_0009✗	ISO_116514	10	-	1	0	1
MMSYN1_0009✗	ISO_116516	14	-	1	0	1
MMSYN1_0009✗	ISO_116521	19	-	1	0	1
MMSYN1_0009✗	ISO_116528	16	-	1	0	1
MMSYN1_0009✗	ISO_116535	17	-	1	0	1
MMSYN1_0009✗	ISO_116537	14	-	1	0	1
MMSYN1_0009✗	ISO_116539	17	-	1	0	1
MMSYN1_0009✗	ISO_116541	23	-	1	0	1
MMSYN1_0009✗	ISO_116545	12	-	1	0	1
MMSYN1_0009✗	ISO_116548	22	-	1	0	1
MMSYN1_0009✗	ISO_116553	12	-	1	0	1
MMSYN1_0009✗	ISO_116559	15	-	1	0	1
MMSYN1_0009✗	ISO_116562	47	-	1	0	1
MMSYN1_0009✗	ISO_116568	17	-	1	0	1
MMSYN1_0009✗	ISO_116577	11	-	1	0	1
MMSYN1_0009✗	ISO_116578	20	-	1	0	1
MMSYN1_0009✗	ISO_116583	14	-	1	0	1
MMSYN1_0009✗	ISO_116586	60	-	1	0	1
MMSYN1_0009✗	ISO_116590	19	-	1	0	1
MMSYN1_0009✗	ISO_116596	14	-	1	0	1
MMSYN1_0009✗	ISO_116614	12	-	1	0	1
MMSYN1_0009✗	ISO_116615	10	-	1	0	1
MMSYN1_0009✗	ISO_116617	13	-	1	0	1
MMSYN1_0009✗	ISO_116620	12	-	1	0	1
MMSYN1_0009✗	ISO_116624	13	-	1	0	1
MMSYN1_0009✗	ISO_116628	26	-	1	0	1
MMSYN1_0009✗	ISO_116632	23	-	1	0	1
MMSYN1_0009✗	ISO_116641	20	-	1	0	1
MMSYN1_0009✗	ISO_116649	11	-	1	0	1
MMSYN1_0009✗	ISO_116652	14	-	1	0	1
MMSYN1_0009✗	ISO_116655	14	-	1	0	1
MMSYN1_0009✗	ISO_116661	17	-	1	0	1
MMSYN1_0009✗	ISO_116663	10	-	1	0	1
MMSYN1_0009✗	ISO_116664	29	-	1	0	1
MMSYN1_0009✗	ISO_116672	13	-	1	0	1
MMSYN1_0009✗	ISO_116690	17	-	1	0	1
MMSYN1_0009✗	ISO_116769	21	-	1	0	1
MMSYN1_0009✗	ISO_116785	15	-	1	0	1
MMSYN1_0009✗	ISO_116818	18	-	1	0	1
MMSYN1_0009✗	ISO_116826	11	-	1	0	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_116912	12	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_116980	19	-	2	1	1
MMSYN1_0010✓ MMSYN1_0009✗	ISO_117035	19	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✓ MMSYN1_0009✗	ISO_117363	126	-	3	2	1
MMSYN1_0009✗	ISO_116492	11	-	1	0	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_117375	39	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_117376	15	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_117377	20	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_117380	25	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_117360	14	-	2	1	1
MMSYN1_0011✓ MMSYN1_0010✗	ISO_117387	19	-	2	1	1
MMSYN1_0011✗	ISO_117367	11	-	1	0	1
MMSYN1_0011✗	ISO_117361	71	-	1	0	1
MMSYN1_0011✗	ISO_117400	83	-	1	0	1
MMSYN1_0011✗	ISO_117391	34	-	1	0	1
MMSYN1_0011✗	ISO_117362	217	-	1	0	1
MMSYN1_0012✓ MMSYN1_0011✗	ISO_117656	27	-	2	1	1
MMSYN1_0012✓	ISO_117648	21	-	1	1	0
MMSYN1_0012✓	ISO_117681	10	-	1	1	0
MMSYN1_0012✓	ISO_117641	313	-	1	1	0
MMSYN1_0012✓	ISO_117683	12	-	1	1	0
MMSYN1_0012✗	ISO_117685	20	-	1	0	1
MMSYN1_0012✗	ISO_117687	36	-	1	0	1
MMSYN1_0012✗	ISO_117642	305	-	1	0	1
MMSYN1_0012✗	ISO_117689	14	-	1	0	1
MMSYN1_0012✗	ISO_117643	12	-	1	0	1
MMSYN1_0012✗	ISO_117640	101	-	1	0	1
MMSYN1_0012✗	ISO_117700	1886	-	1	0	1
MMSYN1_0012✗	ISO_117726	19	-	1	0	1
MMSYN1_0012✗	ISO_117754	24	-	1	0	1
MMSYN1_0012✗	ISO_117644	10	-	1	0	1
MMSYN1_0012✗	ISO_117645	16	-	1	0	1
