scar_id	strand_relationship	junction_type	operon_L_id	operon_R_id	left_gene	right_gene	testable	note	syn3A_chrom	syn3A_intergenic_bp	n_spanning_reads	n_bridging_reads	ont_depth_a	ont_depth_b	ill_depth_a	ill_depth_b	ill_gap_depth	bridge_threshold	gap_depth_threshold	bridge_pass	gap_depth_pass	pair_preserved_strict	pair_preserved_loose	co_transcribed_strict	co_transcribed_loose
DEL_001	divergent	divergent	OP_00007	OP_00012	MMSYN1_0012	MMSYN1_0918	True		CP016816.2	200.0	0.0	3.0	218.276	11.52	210.107	655.799	380.28	2.304	42.021	True	True	False	True	False	True
DEL_002	convergent	convergent	OP_00013	OP_00019	MMSYN1_0913	MMSYN1_0025	False	opposite_strand																False	False
DEL_003	divergent	divergent	OP_00019	OP_00020	MMSYN1_0027	MMSYN1_0029	False	opposite_strand																False	False
DEL_004	tandem	decapitation	OP_00021	OP_00023	MMSYN1_0030	MMSYN1_0033	True		CP016816.2	260.0	0.0	2.0	509.645	54.457	2032.882	69.536	324.95	10.0	13.907	False	True	False	False	False	False
DEL_005	convergent	convergent	OP_00024	OP_00027	MMSYN1_0034	MMSYN1_0039	False	opposite_strand																False	False
DEL_006	tandem	clean_excision	OP_00027	OP_00029	MMSYN1_0039	MMSYN1_0040	True		CP016816.2	231.0	0.0	4.0	177.645	158.27	6743.234	132.204	402.139	10.0	26.441	False	True	False	False	False	False
DEL_007	tandem	readthrough_extension	OP_00030	OP_00031	MMSYN1_0047	MMSYN1_0049	True		CP016816.2	168.0	0.0	18.0	50.465	31.896	225.762	1035.719	484.0	6.379	45.152	True	True	False	True	False	True
DEL_009	tandem	clean_excision	OP_00031	OP_00032	MMSYN1_0051	MMSYN1_0054	True		CP016816.2	281.0	0.0	0.0	50.003	531.498	13.831	252.842	32.167	10.0	2.766	False	True	False	False	False	False
DEL_010	divergent	divergent	OP_00032	OP_00034	MMSYN1_0054	MMSYN1_0060	False	opposite_strand																False	False
DEL_012	tandem	readthrough_extension	OP_00038	OP_00040	MMSYN1_0071	MMSYN1_0076	True		CP016816.2	469.0	0.0	3.0	298.158	76.037	5728.237	443.338	52.65	10.0	88.668	False	False	False	False	False	False
DEL_014	tandem	fusion	OP_00043	OP_00050	MMSYN1_0082	MMSYN1_0094	True		CP016816.2	133.0	2.0	37.0	944.996	101.873	263.484	79.729	262.263	10.0	15.946	True	True	True	True	True	True
DEL_015	divergent	divergent	OP_00051	OP_00052	MMSYN1_0095	MMSYN1_0097	False	opposite_strand																False	False
DEL_016	convergent	convergent	OP_00052	OP_00056	MMSYN1_0097	MMSYN1_0105	False	opposite_strand																False	False
DEL_017	convergent	convergent	OP_00052	OP_00056	MMSYN1_0097	MMSYN1_0105	False	opposite_strand																False	False
DEL_018	divergent	divergent	OP_00058	OP_00060	MMSYN1_0109	MMSYN1_0113	False	opposite_strand																False	False
DEL_019	tandem	fusion	OP_00063	OP_00069	MMSYN1_0117	MMSYN1_0126	True		CP016816.2	195.0	0.0	0.0	240.034	112.84	448.514	156.628	114.492	10.0	31.326	False	True	False	False	False	False
DEL_020	tandem	readthrough_extension	OP_00069	OP_00070	MMSYN1_0129	MMSYN1_0131	True		CP016816.2	288.0	0.0	0.0	756.575	1199.215	738.899	3548.786	34.899	10.0	147.78	False	False	False	False	False	False
DEL_021	tandem	clean_excision	OP_00070	OP_00073	MMSYN1_0133	MMSYN1_0137	True		CP016816.2	859.0	0.0	0.0	228.23	209.086	173.043	647.961	27.555	10.0	34.609	False	False	False	False	False	False
DEL_022	tandem	clean_excision	OP_00070	OP_00073	MMSYN1_0133	MMSYN1_0137	True		CP016816.2	859.0	0.0	0.0	228.23	209.086	173.043	647.961	27.555	10.0	34.609	False	False	False	False	False	False
DEL_023	tandem	clean_excision	OP_00076	OP_00078	MMSYN1_0151	MMSYN1_0154	True		CP016816.2	207310.0	0.0	0.0	466.448	675.015	46405.762	3758.221	1104.669	10.0	751.644	False	True	False	False	False	False
