mpn_id	syn1_id	is_rbh	pident	align_len	mpn_len	syn1_len	mpn_cov_pct	syn1_cov_pct	evalue	bitscore	mpn_primary_id	mpn_locus_tag	mpn_gene	mpn_product	mpn_seqid	mpn_start_1b	mpn_end_1b	mpn_strand	syn1_primary_id	syn1_locus_tag	syn1_gene	syn1_product	syn1_seqid	syn1_start_1b	syn1_end_1b	syn1_strand	source
MPN_RS01810|nrdF|NC_000912.1	MMSYN1_0773|nrdF|CP002027.1	True	82.006	339	339	339	100.0	100.0	0.0	603.0	MPN_RS01810	MPN_RS01810	nrdF	class 1b ribonucleoside-diphosphate reductase subunit beta	NC_000912.1	382018	383037	+	MMSYN1_0773	MMSYN1_0773	nrdF	ribonucleoside-diphosphate reductase, beta subunit	CP002027.1	910221	911240	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01260|rpsL|NC_000912.1	MMSYN1_0148|rpsL|CP002027.1	True	72.464	138	139	139	99.28057553956835	99.28057553956835	1.0299999999999999e-69	201.0	MPN_RS01260	MPN_RS01260	rpsL	30S ribosomal protein S12	NC_000912.1	276697	277116	+	MMSYN1_0148	MMSYN1_0148	rpsL	ribosomal protein S12	CP002027.1	188952	189371	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01000||NC_000912.1	MMSYN1_0658|rpsN|CP002027.1	True	70.492	61	61	61	100.0	100.0	1.1e-28	92.4	MPN_RS01000	MPN_RS01000		type Z 30S ribosomal protein S14	NC_000912.1	224882	225067	+	MMSYN1_0658	MMSYN1_0658	rpsN	ribosomal protein S14p/S29e	CP002027.1	799274	799459	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01270|fusA|NC_000912.1	MMSYN1_0150|fusA|CP002027.1	True	69.591	684	688	689	99.4186046511628	99.27431059506532	0.0	1005.0	MPN_RS01270	MPN_RS01270	fusA	elongation factor G	NC_000912.1	277660	279726	+	MMSYN1_0150	MMSYN1_0150	fusA	translation elongation factor G	CP002027.1	189950	192019	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01815|nrdI|NC_000912.1	MMSYN1_0772|nrdI|CP002027.1	True	69.128	149	153	157	97.38562091503267	94.90445859872611	8.82e-77	221.0	MPN_RS01815	MPN_RS01815	nrdI	class Ib ribonucleoside-diphosphate reductase assembly flavoprotein NrdI	NC_000912.1	383040	383501	+	MMSYN1_0772	MMSYN1_0772	nrdI	NrdI protein	CP002027.1	909739	910212	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03755|tuf|NC_000912.1	MMSYN1_0151|tuf|CP002027.1	True	68.193	393	394	395	99.74619289340102	99.49367088607595	0.0	573.0	MPN_RS03755	MPN_RS03755	tuf	elongation factor Tu	NC_000912.1	788141	789325	-	MMSYN1_0151	MMSYN1_0151	tuf	translation elongation factor Tu	CP002027.1	192151	193338	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01835|rpmA|NC_000912.1	MMSYN1_0499|rpmA|CP002027.1	True	68.132	91	104	93	87.5	97.84946236559139	1.79e-40	124.0	MPN_RS01835	MPN_RS01835	rpmA	50S ribosomal protein L27	NC_000912.1	386427	386741	+	MMSYN1_0499	MMSYN1_0499	rpmA	ribosomal protein L27	CP002027.1	608185	608466	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03410|atpD|NC_000912.1	MMSYN1_0790|atpD_2|CP002027.1	True	68.094	467	475	475	98.3157894736842	98.3157894736842	0.0	646.0	MPN_RS03410	MPN_RS03410	atpD	F0F1 ATP synthase subunit beta	NC_000912.1	719548	720975	-	MMSYN1_0790	MMSYN1_0790	atpD_2	ATP synthase F1, beta subunit	CP002027.1	929889	931316	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS01820|nrdE|NC_000912.1	MMSYN1_0771|nrdE|CP002027.1	True	67.651	711	721	720	98.6130374479889	98.75	0.0	1013.0	MPN_RS01820	MPN_RS01820	nrdE	class 1b ribonucleoside-diphosphate reductase subunit alpha	NC_000912.1	383525	385690	+	MMSYN1_0771	MMSYN1_0771	nrdE	ribonucleoside-diphosphate reductase, alpha subunit	CP002027.1	907590	909752	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
MPN_RS03840|rpmH|NC_000912.1	MMSYN1_0910|rpmH|CP002027.1	True	67.442	43	48	44	89.58333333333333	97.72727272727273	2.52e-16	60.1	MPN_RS03840	MPN_RS03840	rpmH	50S ribosomal protein L34	NC_000912.1	805702	805848	-	MMSYN1_0910	MMSYN1_0910	rpmH	ribosomal protein L34	CP002027.1	1078382	1078516	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T21:02:54+00:00
