locus_tag,gene_name,gene_product,protein_localization,TPM_illumina,iPM_mean,protein_copy_number,CAI,TIR,protein_halflife_h
JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,cytoplasmic,242.522,743.394,74.60771967949213,0.675,15800.614,11.175
JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,cytoplasmic,201.193,2681.875,269.1554081195192,0.773,3189.768,
JCVISYN3A_0003,rnmV,Ribonuclease M5,cytoplasmic,85.494,485.666,48.74186250016163,0.796,231.688,
JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,cytoplasmic,63.75,169.635,17.0247552969071,0.694,8004.518,3.014
JCVISYN3A_0005,,Uncharacterized protein,membrane,263.534,303.104,30.419760838994826,0.59,20870.594,
JCVISYN3A_0006,gyrB,DNA gyrase subunit B,cytoplasmic,674.347,970.413,97.39153626319543,0.722,23572.338,3.222
JCVISYN3A_0007,gyrA,DNA gyrase subunit A,cytoplasmic,945.858,1746.401,175.27045123207682,0.736,29538.185,6.067
JCVISYN3A_0008,rnsD; uptD,Nucleoside ABC transporter permease,membrane,468.387,121.439,12.18772309804569,0.698,65741.742,
JCVISYN3A_0009,rnsC; uptD,Nucleoside ABC transporter permease,membrane,117.938,243.671,24.45500529239814,0.693,91811.451,
JCVISYN3A_0010,rnsA; uptA,Nucleoside ABC transporter ATP-binding protein,cytoplasmic,325.872,290.878,29.19278453422089,0.696,25575.102,5.213
JCVISYN3A_0011,rnsB; uptB,Nucleoside ABC transporter substrate-binding protein,lipoprotein,230.274,430.263,43.18160685008163,0.714,204741.848,
JCVISYN3A_0012,metRS,Methionine--tRNA ligase,cytoplasmic,114.982,1276.281,128.08876490522755,0.71,6296.482,5.68
JCVISYN3A_0918,hisB,Imidazoleglycerol-phosphate dehydratase,cytoplasmic,358.89,,,0.152,4055.052,
JCVISYN3A_0913,tetM,Tetracycline resistance ribosomal protection protein,cytoplasmic,5298.549,1027.386,103.10937019904964,0.3,29915.112,
JCVISYN3A_0025,rpsR,30S ribosomal protein S18,cytoplasmic,1630.577,3369.044,338.1204095322903,0.716,2679.24,
JCVISYN3A_0026,priB,Single-stranded DNA-binding protein,cytoplasmic,2814.474,1767.819,177.41990949195332,0.724,13464.26,
