orfs	isoform_id	n_reads	strand	n_orfs	n_with_stop	n_without_stop
MMSYN1_0001✗	ISO_000003	24	+	1	0	1
MMSYN1_0001✗	ISO_000006	11	+	1	0	1
MMSYN1_0001✗	ISO_000007	5248	+	1	0	1
MMSYN1_0001✗	ISO_000011	552	+	1	0	1
MMSYN1_0001✗	ISO_000013	156	+	1	0	1
MMSYN1_0001✗	ISO_000014	212	+	1	0	1
MMSYN1_0001✗	ISO_000016	12	+	1	0	1
MMSYN1_0001✗	ISO_000017	28	+	1	0	1
MMSYN1_0001✗	ISO_000018	28	+	1	0	1
MMSYN1_0001✗	ISO_000020	4220	+	1	0	1
MMSYN1_0001✗	ISO_000021	421	+	1	0	1
MMSYN1_0001✗	ISO_000022	537	+	1	0	1
MMSYN1_0001✓	ISO_000023	21	+	1	1	0
MMSYN1_0001✓	ISO_000025	12	+	1	1	0
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000028	10	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000029	22	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000030	10	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000031	10	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000032	15	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000034	10	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000036	22	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000037	13	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000038	101	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000041	28	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000043	14	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000044	10	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000046	15	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000049	40	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000052	10	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000054	32	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✗	ISO_000059	11	+	2	1	1
MMSYN1_0001✓ MMSYN1_0002✓	ISO_000060	1042	+	2	2	0
MMSYN1_0001✓ MMSYN1_0002✓ MMSYN1_0003✗	ISO_000073	12	+	3	2	1
MMSYN1_0002✓	ISO_000121	16	+	1	1	0
MMSYN1_0002✓	ISO_000130	10	+	1	1	0
MMSYN1_0002✓	ISO_000142	14	+	1	1	0
MMSYN1_0005✗	ISO_000169	12	+	1	0	1
MMSYN1_0005✗	ISO_000176	29	+	1	0	1
MMSYN1_0006✗	ISO_000193	109	+	1	0	1
MMSYN1_0006✗	ISO_000196	13	+	1	0	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000200	38	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✓	ISO_000201	12	+	2	2	0
MMSYN1_0006✗	ISO_000203	178	+	1	0	1
MMSYN1_0006✗	ISO_000208	10	+	1	0	1
MMSYN1_0006✗	ISO_000210	11	+	1	0	1
MMSYN1_0006✗	ISO_000211	12	+	1	0	1
MMSYN1_0006✗	ISO_000216	155	+	1	0	1
MMSYN1_0006✗	ISO_000217	14	+	1	0	1
MMSYN1_0006✗	ISO_000219	12	+	1	0	1
MMSYN1_0006✗	ISO_000220	39	+	1	0	1
MMSYN1_0006✗	ISO_000223	10	+	1	0	1
MMSYN1_0006✗	ISO_000224	26	+	1	0	1
MMSYN1_0006✗	ISO_000226	10	+	1	0	1
MMSYN1_0006✗	ISO_000227	13	+	1	0	1
MMSYN1_0006✗	ISO_000228	13	+	1	0	1
MMSYN1_0006✗	ISO_000230	25	+	1	0	1
MMSYN1_0006✗	ISO_000231	16	+	1	0	1
MMSYN1_0006✗	ISO_000232	21	+	1	0	1
MMSYN1_0006✗	ISO_000234	14	+	1	0	1
MMSYN1_0006✗	ISO_000235	12	+	1	0	1
MMSYN1_0006✗	ISO_000236	10	+	1	0	1
MMSYN1_0006✗	ISO_000237	12	+	1	0	1
MMSYN1_0006✗	ISO_000238	16	+	1	0	1
MMSYN1_0006✗	ISO_000239	17	+	1	0	1
MMSYN1_0006✓	ISO_000240	24	+	1	1	0
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000242	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000243	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000244	10	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000246	19	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000247	13	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000248	29	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000249	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000250	20	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000251	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000252	14	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000253	10	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000254	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000263	18	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000265	146	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000267	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000269	13	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000270	15	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000288	12	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✓	ISO_000308	21	+	2	2	0
MMSYN1_0006✗	ISO_000317	21	+	1	0	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000319	29	+	2	1	1
MMSYN1_0006✓ MMSYN1_0007✓	ISO_000321	11	+	2	2	0
MMSYN1_0006✗	ISO_000322	13	+	1	0	1
MMSYN1_0006✓ MMSYN1_0007✗	ISO_000324	17	+	2	1	1
MMSYN1_0007✗	ISO_000372	10	+	1	0	1
MMSYN1_0007✓	ISO_000373	13	+	1	1	0
MMSYN1_0007✗	ISO_000375	12	+	1	0	1
MMSYN1_0007✗	ISO_000384	10	+	1	0	1
MMSYN1_0007✗	ISO_000388	11	+	1	0	1
MMSYN1_0007✗	ISO_000406	13	+	1	0	1
MMSYN1_0007✗	ISO_000414	17	+	1	0	1
MMSYN1_0007✗	ISO_000437	22	+	1	0	1
MMSYN1_0007✗	ISO_000440	12	+	1	0	1
MMSYN1_0007✗	ISO_000460	51	+	1	0	1
MMSYN1_0007✓	ISO_000465	35	+	1	1	0
MMSYN1_0007✓	ISO_000485	13	+	1	1	0
MMSYN1_0007✗	ISO_000487	23	+	1	0	1
MMSYN1_0007✗	ISO_000499	22	+	1	0	1
MMSYN1_0007✗	ISO_000503	12	+	1	0	1
MMSYN1_0007✓	ISO_000537	11	+	1	1	0
MMSYN1_0007✓	ISO_000555	11	+	1	1	0
MMSYN1_0007✗	ISO_000568	71	+	1	0	1
MMSYN1_0007✗	ISO_000569	17	+	1	0	1
MMSYN1_0007✗	ISO_000573	21	+	1	0	1
MMSYN1_0007✓	ISO_000574	143	+	1	1	0
MMSYN1_0007✓	ISO_000585	14	+	1	1	0
MMSYN1_0007✗	ISO_000598	13	+	1	0	1
MMSYN1_0007✓	ISO_000601	17	+	1	1	0
MMSYN1_0007✓	ISO_000611	26	+	1	1	0
MMSYN1_0008✓	ISO_035531	10	-	1	1	0
MMSYN1_0008✓	ISO_035542	11	-	1	1	0
MMSYN1_0008✓	ISO_035545	10	-	1	1	0
MMSYN1_0008✓	ISO_035523	16	-	1	1	0
MMSYN1_0009✗	ISO_035698	21	-	1	0	1
MMSYN1_0009✗	ISO_035735	13	-	1	0	1
MMSYN1_0009✗	ISO_035739	28	-	1	0	1
MMSYN1_0009✗	ISO_035697	141	-	1	0	1
MMSYN1_0009✗	ISO_035699	34	-	1	0	1
MMSYN1_0009✗	ISO_035700	26	-	1	0	1
MMSYN1_0009✗	ISO_035706	45	-	1	0	1
MMSYN1_0009✗	ISO_035709	11	-	1	0	1
MMSYN1_0009✗	ISO_035710	27	-	1	0	1
MMSYN1_0009✗	ISO_035712	23	-	1	0	1
MMSYN1_0009✗	ISO_035714	51	-	1	0	1
MMSYN1_0009✗	ISO_035715	43	-	1	0	1
MMSYN1_0009✗	ISO_035717	12	-	1	0	1
MMSYN1_0009✗	ISO_035719	79	-	1	0	1
MMSYN1_0009✗	ISO_035721	13	-	1	0	1
MMSYN1_0009✗	ISO_035722	28	-	1	0	1
MMSYN1_0009✗	ISO_035724	70	-	1	0	1
MMSYN1_0009✗	ISO_035726	43	-	1	0	1
MMSYN1_0009✗	ISO_035728	12	-	1	0	1
MMSYN1_0009✗	ISO_035729	11	-	1	0	1
MMSYN1_0009✗	ISO_035732	20	-	1	0	1
MMSYN1_0009✗	ISO_035733	20	-	1	0	1
MMSYN1_0009✗	ISO_035734	15	-	1	0	1
MMSYN1_0009✗	ISO_035737	36	-	1	0	1
