operon_id	chrom	strand	start0	end0	length	sense_gene_names	deletion_class	n_overlapping_deletions	per_hit_classes	overlapping_deletions
OP_00001	CP002027.1	+	0	2659	2659	dnaA_1,dnaN	intact	0		
OP_00002	CP002027.1	+	2674	4007	1333		intact	0		
OP_00003	CP002027.1	+	4270	5404	1134		intact	0		
OP_00004	CP002027.1	+	5255	9976	4721	gyrB,gyrA,gyrB,gyrA	intact	0		
OP_00005	CP002027.1	-	9990	10968	978		intact	0		
OP_00006	CP002027.1	-	11647	16812	5165	,,	intact	0		
OP_00007	CP002027.1	-	16955	18528	1573	metG	intact	0		
OP_00008	CP002027.1	+	18689	20919	2230	,	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:18715-27638
OP_00009	CP002027.1	+	21648	24088	2440	,,	fully_deleted	1	fully_deleted	CP002027.1:18715-27638
OP_00010	CP002027.1	+	25110	25215	105		fully_deleted	1	fully_deleted	CP002027.1:18715-27638
OP_00011	CP002027.1	-	25237	27549	2312	bla,	fully_deleted	1	fully_deleted	CP002027.1:18715-27638
OP_00012	CP002027.1	+	27121	28928	1807		5'_truncation_UTR	1	5'_truncation_UTR	CP002027.1:18715-27638
OP_00013	CP002027.1	+	28981	37221	8240	tetM,lacZ,tnpA_1,tnpB_1	3'_truncation_gene	1	3'_truncation_gene	CP002027.1:31258-42889
OP_00014	CP002027.1	-	36581	38643	2062	,,	fully_deleted	1	fully_deleted	CP002027.1:31258-42889
OP_00015	CP002027.1	-	38920	39679	759		fully_deleted	1	fully_deleted	CP002027.1:31258-42889
OP_00016	CP002027.1	-	39701	40965	1264		fully_deleted	1	fully_deleted	CP002027.1:31258-42889
OP_00017	CP002027.1	-	41508	42891	1383		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:31258-42889
OP_00018	CP002027.1	-	43233	44871	1638	rpsR,,,	intra_truncated	1	intra_truncated	CP002027.1:44600-44810
OP_00019	CP002027.1	+	44922	45636	714		intact	0		
OP_00020	CP002027.1	-	45604	47601	1997	,hslO	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:46715-50834
OP_00021	CP002027.1	-	47661	50904	3243		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:46715-50834
OP_00022	CP002027.1	-	50957	54116	3159		intact	0		
OP_00023	CP002027.1	+	54194	59688	5494		intact	0		
OP_00024	CP002027.1	+	59774	60968	1194		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:59775-65040
OP_00025	CP002027.1	+	61124	64623	3499	,,	fully_deleted	1	fully_deleted	CP002027.1:59775-65040
OP_00026	CP002027.1	-	65113	67169	2056		intact	0		
OP_00027	CP002027.1	+	67151	68661	1510		intra_truncated	1	intra_truncated	CP002027.1:67264-68093
OP_00028	CP002027.1	-	69220	71427	2207	,,,	intact	0		
OP_00029	CP002027.1	-	71658	74877	3219	tmk,,dnaX	intact	0		
OP_00030	CP002027.1	-	74944	75412	468		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:74944-75306
OP_00031	CP002027.1	-	75392	75491	99	srpB	intact	0		
OP_00032	CP002027.1	-	75528	76491	963	guaC	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:75532-76503
OP_00033	CP002027.1	-	76905	77202	297		intact	0		
OP_00034	CP002027.1	-	77303	82773	5470	,,,mmyCVR,mmyC5VM	multi:5'_truncation_gene+intra_truncated	2	intra_truncated;5'_truncation_gene	CP002027.1:77335-79851;CP002027.1:80692-85410
OP_00035	CP002027.1	-	82875	84239	1364		fully_deleted	1	fully_deleted	CP002027.1:80692-85410
OP_00036	CP002027.1	+	84226	86713	2487	ald,,serS	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:80692-85410
OP_00037	CP002027.1	+	86587	90807	4220	serS,,,lysS	intra_truncated	1	intra_truncated	CP002027.1:87981-88277
OP_00038	CP002027.1	-	90830	92073	1243	trxA,	intact	0		
OP_00039	CP002027.1	-	92147	96980	4833	rrf,rrl,rrs	intact	0		
OP_00040	CP002027.1	-	97262	97346	84		intact	0		
OP_00041	CP002027.1	-	97348	97424	76		intact	0		
OP_00042	CP002027.1	+	97602	99669	2067		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:97604-104574
OP_00043	CP002027.1	-	99777	109544	9767	,phnC,,asnS,,asnS,,,,,,	multi:3'_truncation_gene+intra_truncated	2	3'_truncation_gene;intra_truncated	CP002027.1:97604-104574;CP002027.1:107091-108218
OP_00044	CP002027.1	+	109623	111274	1651	trmE	intact	0		
OP_00045	CP002027.1	-	111072	112299	1227	rpsT,	5'_truncation_gene	1	5'_truncation_gene	CP002027.1:111508-126973
OP_00046	CP002027.1	-	112955	114005	1050		fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00047	CP002027.1	-	114081	116424	2343	,	fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00048	CP002027.1	-	117049	118566	1517	,	fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00049	CP002027.1	-	118921	120356	1435		fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00050	CP002027.1	-	120711	122611	1900		fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00051	CP002027.1	-	122663	123385	722		fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00052	CP002027.1	-	123633	126102	2469		fully_deleted	1	fully_deleted	CP002027.1:111508-126973
OP_00053	CP002027.1	-	126219	127690	1471		3'_truncation_gene	1	3'_truncation_gene	CP002027.1:111508-126973
OP_00054	CP002027.1	-	127873	130671	2798	secA	intact	0		
OP_00055	CP002027.1	+	130682	133351	2669	,,mmyCVIM1	multi:3'_truncation_UTR+intra_truncated	2	intra_truncated;3'_truncation_UTR	CP002027.1:130729-131305;CP002027.1:132496-136059
OP_00056	CP002027.1	+	133500	134418	918	mmyCVIM2	fully_deleted	1	fully_deleted	CP002027.1:132496-136059
OP_00057	CP002027.1	+	135785	137738	1953	mmyCVIR,	multi:3'_truncation_gene+5'_truncation_UTR	2	5'_truncation_UTR;3'_truncation_gene	CP002027.1:132496-136059;CP002027.1:136259-140014
OP_00058	CP002027.1	+	138336	139220	884	,coaE	fully_deleted	1	fully_deleted	CP002027.1:136259-140014
