del_chrom	del_start0	del_end	del_length_bp	gff_chrom	gff_source	gff_feature	gff_start1	gff_end	gff_score	gff_strand	gff_frame	gff_attributes
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	18716	20302	.	+	.	ID=gene:MMSYN1_0013;Name=;locus_tag=MMSYN1_0013;product=mycoides cluster lipoprotein_ LppA/P72 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	20317	21831	.	+	.	ID=gene:MMSYN1_0014;Name=;locus_tag=MMSYN1_0014;product=mycoides cluster lipoprotein_ LppA/P72 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	21864	23393	.	+	.	ID=gene:MMSYN1_0015;Name=;locus_tag=MMSYN1_0015;product=mycoides cluster lipoprotein_ LppA/P72 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	23411	25009	.	+	.	ID=gene:MMSYN1_0016;Name=;locus_tag=MMSYN1_0016;product=mycoides cluster lipoprotein_ LppA/P72 family;rna_type=mRNA;gbkey=mRNA
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	25111	25215	.	+	.	ID=gene:MMSYN1_0916;Name=;locus_tag=MMSYN1_0916;product=RNAI;rna_type=ncRNA;gbkey=ncRNA
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	25426	26286	.	-	.	ID=gene:MMSYN1_0914;Name=bla;locus_tag=MMSYN1_0914;gene=bla;product=beta-lactamase TEM (precursor);rna_type=mRNA;gbkey=mRNA
CP002027.1	18715	27638	8923	CP002027.1	syn1_summary	gene	26357	27529	.	-	.	ID=gene:MMSYN1_0917;Name=;locus_tag=MMSYN1_0917;product=transposase_ Mutator family;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	35234	35776	.	+	.	ID=gene:MMSYN1_0921;Name=tnpA_1;locus_tag=MMSYN1_0921;gene=tnpA_1;product=IS1296 transposase protein A;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	35914	36645	.	+	.	ID=gene:MMSYN1_0922;Name=tnpB_1;locus_tag=MMSYN1_0922;gene=tnpB_1;product=IS1296 transposase protein B;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	36687	37673	.	-	.	ID=gene:MMSYN1_0019;Name=;locus_tag=MMSYN1_0019;product=mannitol-1-phosphate 5-dehydrogenase;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	37674	38471	.	-	.	ID=gene:MMSYN1_0020;Name=;locus_tag=MMSYN1_0020;product=transcriptional regulator_ RpiR family;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	38505	38921	.	-	.	ID=gene:MMSYN1_0021;Name=;locus_tag=MMSYN1_0021;product=PTS system_ mannitol-permease iia component;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	38921	39679	.	-	.	ID=gene:MMSYN1_0022;Name=;locus_tag=MMSYN1_0022;product=sorbitol-6-phosphate 2-dehydrogenase (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase);rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	39679	41238	.	-	.	ID=gene:MMSYN1_0023;Name=;locus_tag=MMSYN1_0023;product=PTS system_ mannitol-permease iibc component;rna_type=mRNA;gbkey=mRNA
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	41509	42891	.	-	.	ID=gene:MMSYN1_0024;Name=;locus_tag=MMSYN1_0024;product=PSEUDOGENE - divergent AAA domain family;rna_type=pseudo;gbkey=pseudo
CP002027.1	31258	42889	11631	CP002027.1	syn1_summary	gene	31535	34618	.	+	.	ID=gene:MMSYN1_0915;Name=lacZ;locus_tag=MMSYN1_0915;gene=lacZ;product=beta-galactosidase_ chain D;rna_type=mRNA;gbkey=mRNA
CP002027.1	44600	44810	210	CP002027.1	syn1_summary	gene	44601	44810	.	-	.	ID=gene:MMSYN1_0028;Name=;locus_tag=MMSYN1_0028;product=cold-shock DNA-binding domain_ putative;rna_type=mRNA;gbkey=mRNA
CP002027.1	46715	50834	4119	CP002027.1	syn1_summary	gene	46716	47582	.	-	.	ID=gene:MMSYN1_0031;Name=hslO;locus_tag=MMSYN1_0031;gene=hslO;product=chaperonin HslO;rna_type=mRNA;gbkey=mRNA
CP002027.1	46715	50834	4119	CP002027.1	syn1_summary	gene	47674	50835	.	-	.	ID=gene:MMSYN1_0032;Name=;locus_tag=MMSYN1_0032;product=GnsA/GnsB family;rna_type=mRNA;gbkey=mRNA
CP002027.1	59775	65040	5265	CP002027.1	syn1_summary	gene	59775	60968	.	+	.	ID=gene:MMSYN1_0035;Name=;locus_tag=MMSYN1_0035;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	59775	65040	5265	CP002027.1	syn1_summary	gene	61277	62263	.	+	.	ID=gene:MMSYN1_0036;Name=;locus_tag=MMSYN1_0036;product=D-lactate dehydrogenase;rna_type=mRNA;gbkey=mRNA
CP002027.1	59775	65040	5265	CP002027.1	syn1_summary	gene	62282	63406	.	+	.	ID=gene:MMSYN1_0037;Name=;locus_tag=MMSYN1_0037;product=malate permease;rna_type=mRNA;gbkey=mRNA
CP002027.1	59775	65040	5265	CP002027.1	syn1_summary	gene	63762	65045	.	+	.	ID=gene:MMSYN1_0038;Name=;locus_tag=MMSYN1_0038;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	67264	68093	829	CP002027.1	syn1_summary	gene	67265	68110	.	+	.	ID=gene:MMSYN1_0041;Name=;locus_tag=MMSYN1_0041;product=conserved hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	74944	75306	362	CP002027.1	syn1_summary	gene	74945	75412	.	-	.	ID=gene:MMSYN1_0048;Name=;locus_tag=MMSYN1_0048;product=cytosine deaminase;rna_type=mRNA;gbkey=mRNA
CP002027.1	75532	76503	971	CP002027.1	syn1_summary	gene	75529	76491	.	-	.	ID=gene:MMSYN1_0050;Name=guaC;locus_tag=MMSYN1_0050;gene=guaC;product=GMP reductase;rna_type=mRNA;gbkey=mRNA
CP002027.1	77335	79851	2516	CP002027.1	syn1_summary	gene	77327	77647	.	-	.	ID=gene:MMSYN1_0052;Name=;locus_tag=MMSYN1_0052;product=hypothetical protein;rna_type=mRNA;gbkey=mRNA
CP002027.1	77335	79851	2516	CP002027.1	syn1_summary	gene	77755	79851	.	-	.	ID=gene:MMSYN1_0053;Name=;locus_tag=MMSYN1_0053;product=PSEUDOGENE - putative liporotein;rna_type=pseudo;gbkey=pseudo
