locus_tag	gene_name	gene_product	RNA Type	Illumina_sense_TPM	ONT_sense_TPM	MW_g_per_mol	copies_per_cell	mRNA_pool_share_pct
JCVISYN3A_0001	dnaA	Chromosomal replication initiator protein	mRNA	242.5224	965.2886	435257.6651000072	0.06826047891258334	0.03568039350107137
JCVISYN3A_0002	dnaN	DNA polymerase III subunit beta	mRNA	201.1934	688.099	361828.0855000033	0.05662799740581052	0.029599986153107723
JCVISYN3A_0003	rnmV	Ribonuclease M5	mRNA	85.494	325.5572	174817.35759999946	0.024063185026011617	0.012578052839575212
JCVISYN3A_0004	ksgA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	mRNA	63.7503	204.4905	256738.42129999935	0.01794319208790966	0.009379075045485902
JCVISYN3A_0005		Uncharacterized protein	mRNA	263.5336	771.7033	350791.5356000031	0.07417430202553318	0.038771604390992094
JCVISYN3A_0006	gyrB	DNA gyrase subunit B	mRNA	674.3468	125.9514	613142.7001000178	0.18980199569676057	0.09921128596858796
JCVISYN3A_0007	gyrA	DNA gyrase subunit A	mRNA	945.8577	318.6286	805904.308000033	0.2662215926658922	0.13915652711674598
JCVISYN3A_0008	rnsD%3B uptD	Nucleoside ABC transporter permease	mRNA	468.3867	618.4668	313566.93400000164	0.1318323604676702	0.068910013123193
JCVISYN3A_0009	rnsC%3B uptD	Nucleoside ABC transporter permease	mRNA	117.9376	236.7392	822249.1377000348	0.03319477729809984	0.01735122189361459
JCVISYN3A_0010	rnsA%3B uptA	Nucleoside ABC transporter ATP-binding protein	mRNA	325.8715	145.3325	521004.60590001073	0.0917199592860779	0.04794288424815348
JCVISYN3A_0011	rnsB%3B uptB	Nucleoside ABC transporter substrate-binding protein	mRNA	230.2737	333.2766	530443.0181000124	0.06481295353737444	0.03387833960470314
JCVISYN3A_0012	metRS	Methionine--tRNA ligase	mRNA	114.9822	921.419	491183.228800009	0.03236294890048275	0.016916417376782057
JCVISYN3A_0918		Imidazoleglycerol-phosphate dehydratase	mRNA	358.8905	48.6315	213820.42859999923	0.10101350393685897	0.05280070733176091
JCVISYN3A_0913	tetM	Tetracycline resistance ribosomal protection protein	mRNA	5298.5489	596.5583	618066.162100016	1.4913322870619026	0.7795333945922885
JCVISYN3A_0025	rpsR	30S ribosomal protein S18	mRNA	1630.5773	3876.7004	73239.65719999989	0.4589431219631137	0.2398938807215931
JCVISYN3A_0026	priB	Single-stranded DNA-binding protein	mRNA	2814.4735	5530.8224	141825.9205999998	0.7921631527511462	0.4140711207638452
JCVISYN3A_0027	rpsF	30S ribosomal protein S6	mRNA	1455.7474	10435.3951	133584.40359999982	0.4097354087694498	0.2141725468252068
JCVISYN3A_0029		Uncharacterized FMN-dependent NADH-azoreductase	mRNA	590.1533	8580.6639	192472.51989999932	0.16610485006680398	0.08682456535955367
JCVISYN3A_0030		Uncharacterized ABC transporter ATP-binding protein	mRNA	1112.5081	2151.3924	332556.31980000273	0.3131270996004004	0.1636744761767542
JCVISYN3A_0033		Uncharacterized protein	mRNA	38.0542	229.8826	1012839.9721000544	0.010710754621574043	0.005598612047252006
JCVISYN3A_0034		Uncharacterized efflux ABC transporter permease	mRNA	35.0339	111.0095	1724100.5894001138	0.009860659436718232	0.00515425930914911
JCVISYN3A_0039	ftsH	Membrane anchored AAA+ protease	mRNA	3690.2792	749.9024	626834.1328000188	1.038667873619694	0.5429214537907379
JCVISYN3A_0040	tilS	tRNA lysidine(34) synthetase	mRNA	72.3495	668.1146	386227.15270000516	0.020363527324016042	0.010644207007706352
JCVISYN3A_0042		Uncharacterized transcriptional regulator	mRNA	96.5088	1739.2172	264693.01619999966	0.027163416275274868	0.014198572834163757
JCVISYN3A_0043	yabD	Uncharacterized methyltransferase	mRNA	79.6406	244.8793	232410.30889999916	0.022415684064175042	0.011716888611779467
JCVISYN3A_0044	holA	DNA polymerase III subunit delta	mRNA	47.1224	157.8421	237511.31699999917	0.013263094837880199	0.006932744252551044
JCVISYN3A_0045	tmk	dTMP kinase	mRNA	352.5082	131.1841	206992.6735999994	0.09921713851014467	0.05186173024988358
JCVISYN3A_0046	recR	Recombination protein	mRNA	167.754	165.7398	190011.4358999993	0.04721612675572031	0.024680312958220457
JCVISYN3A_0047	dnaX	DNA polymerase III subunit gamma and tau	mRNA	123.5496	213.03	643226.3832000234	0.03477433369230267	0.01817687085770208
JCVISYN3A_0049	ffs		ncRNA	566.8039	134.6435	31048.329000000012	0.038561746849990156	
JCVISYN3A_0051			mRNA	7.569	211.0813	197663.32519999932	0.0021303746164863255	0.0011135668227331133
JCVISYN3A_0054	ahpC	Uncharacterized peroxiredoxin	mRNA	138.3696	2243.639	144357.0779999996	0.038945578482410655	0.02035721969016406
JCVISYN3A_0060		Uncharacterized protein	mRNA	451.2923	9056.2471	264246.2389999997	0.12702096188872133	0.06639504989231325
JCVISYN3A_0061	serRS	Serine--tRNA ligase	mRNA	470.6553	1340.0512	408518.6757000051	0.13247088178554056	0.06924377421370065
JCVISYN3A_0063	dusB	Uncharacterized tRNA dihydrouridine synthase	mRNA	957.4588	200.6116	314469.32360000233	0.2694868442134308	0.14086330477128542
JCVISYN3A_0064	lysRS	Lysine--tRNA ligase	mRNA	589.9131	512.5726	483863.91510000825	0.16603724325178484	0.08678922664230959
JCVISYN3A_0065	trxA	Thioredoxin	mRNA	2792.7282	14307.7997	99396.76909999984	0.7860427094762249	0.4108719075744704
JCVISYN3A_0066		Low specificity hydrolase	mRNA	1240.9117	6399.1182	270933.87979999976	0.3492676426186939	0.18256547748201168
JCVISYN3A_0067	rrfA		rRNA	25256.9748	160.0628	35105.7277	4.873092005110101	
JCVISYN3A_0068	rrlA		rRNA	5574.4417	483.4041	942777.9780000267	14.71717760121305	
JCVISYN3A_0069	rrsA		rRNA	11727.1006	385.7133	496625.81890000805	11.742993365695428	
JCVISYN3A_0070	tRNA-Leu		tRNA	3262.7827	1611.8025	27073.9804	167.73284239987336	
JCVISYN3A_0071	tRNA-Lys		tRNA	3134.8152	1258.6293	24492.468700000005	130.97973853295485	
JCVISYN3A_0076	asnRS	Asparagine--tRNA ligase	mRNA	242.6199	320.9773	438854.3963000065	0.06828792131251826	0.03569473790128493
JCVISYN3A_0077		Uncharacterized hydrolase	mRNA	225.2313	135.7567	270152.7387999999	0.06339371705089399	0.03313649136227357
