isoform_id	chrom	strand	start0	end0	n_reads	pos5p_0	pos3p_0	intragenic_5p	intragenic_3p	category
ISO_000007	CP002027.1	+	0	656	12	0	655	True	True	both_intragenic
ISO_000008	CP002027.1	+	0	660	12	0	659	True	True	both_intragenic
ISO_000011	CP002027.1	+	0	817	10	0	816	True	True	both_intragenic
ISO_000013	CP002027.1	+	0	852	5230	0	851	True	True	both_intragenic
ISO_000020	CP002027.1	+	0	985	242	0	984	True	True	both_intragenic
ISO_000021	CP002027.1	+	0	994	304	0	993	True	True	both_intragenic
ISO_000025	CP002027.1	+	0	1074	152	0	1073	True	True	both_intragenic
ISO_000027	CP002027.1	+	0	1099	211	0	1098	True	True	both_intragenic
ISO_000033	CP002027.1	+	0	1182	10	0	1181	True	True	both_intragenic
ISO_000034	CP002027.1	+	0	1187	17	0	1186	True	True	both_intragenic
ISO_000036	CP002027.1	+	0	1216	22	0	1215	True	True	both_intragenic
ISO_000040	CP002027.1	+	0	1271	2668	0	1270	True	True	both_intragenic
ISO_000041	CP002027.1	+	0	1279	926	0	1278	True	True	both_intragenic
ISO_000042	CP002027.1	+	0	1289	995	0	1288	True	True	both_intragenic
ISO_000043	CP002027.1	+	0	1303	39	0	1302	True	True	both_intragenic
ISO_000045	CP002027.1	+	0	1324	11	0	1323	True	True	both_intragenic
ISO_000046	CP002027.1	+	0	1335	231	0	1334	True	True	both_intragenic
ISO_000047	CP002027.1	+	0	1346	282	0	1345	True	True	both_intragenic
ISO_000048	CP002027.1	+	0	1354	11	0	1353	True	False	5p_intragenic_only
ISO_000063	CP002027.1	+	0	1610	11	0	1609	True	True	both_intragenic
ISO_000071	CP002027.1	+	0	1727	11	0	1726	True	True	both_intragenic
ISO_000080	CP002027.1	+	0	1889	11	0	1888	True	True	both_intragenic
ISO_000082	CP002027.1	+	0	1927	13	0	1926	True	True	both_intragenic
ISO_000084	CP002027.1	+	0	1956	32	0	1955	True	True	both_intragenic
ISO_000085	CP002027.1	+	0	1964	69	0	1963	True	True	both_intragenic
ISO_000089	CP002027.1	+	0	2057	27	0	2056	True	True	both_intragenic
ISO_000107	CP002027.1	+	0	2300	35	0	2299	True	True	both_intragenic
ISO_000118	CP002027.1	+	0	2463	19	0	2462	True	True	both_intragenic
ISO_000133	CP002027.1	+	0	2659	1025	0	2658	True	False	5p_intragenic_only
ISO_000155	CP002027.1	+	0	3187	12	0	3186	True	True	both_intragenic
ISO_000305	CP002027.1	+	797	2658	12	797	2657	True	False	5p_intragenic_only
ISO_000372	CP002027.1	+	1491	2658	10	1491	2657	False	False	unprocessed
ISO_000379	CP002027.1	+	1558	2658	10	1558	2657	True	False	5p_intragenic_only
ISO_000398	CP002027.1	+	1879	2658	21	1879	2657	True	False	5p_intragenic_only
ISO_000491	CP002027.1	+	4024	4779	11	4024	4778	False	True	3p_intragenic_only
ISO_000495	CP002027.1	+	4024	5127	23	4024	5126	False	True	3p_intragenic_only
ISO_000538	CP002027.1	+	4270	5127	137	4270	5126	True	True	both_intragenic
ISO_000537	CP002027.1	+	4270	5404	73	4270	5403	True	False	5p_intragenic_only
ISO_000575	CP002027.1	+	5255	6192	109	5255	6191	False	True	3p_intragenic_only
ISO_000578	CP002027.1	+	5255	6670	13	5255	6669	False	True	3p_intragenic_only
ISO_000576	CP002027.1	+	5255	8210	21	5255	8209	False	True	3p_intragenic_only
ISO_000584	CP002027.1	+	5255	8224	17	5255	8223	False	True	3p_intragenic_only
ISO_000585	CP002027.1	+	5255	9976	12	5255	9975	False	False	unprocessed
ISO_000618	CP002027.1	+	5465	6192	178	5465	6191	False	True	3p_intragenic_only
ISO_000615	CP002027.1	+	5465	6670	148	5465	6669	False	True	3p_intragenic_only
ISO_000646	CP002027.1	+	5465	6810	24	5465	6809	False	True	3p_intragenic_only
ISO_000654	CP002027.1	+	5465	6944	25	5465	6943	False	True	3p_intragenic_only
ISO_000661	CP002027.1	+	5465	7054	10	5465	7053	False	True	3p_intragenic_only
ISO_000664	CP002027.1	+	5465	7113	19	5465	7112	False	True	3p_intragenic_only
ISO_000667	CP002027.1	+	5465	7156	10	5465	7155	False	True	3p_intragenic_only
ISO_000668	CP002027.1	+	5465	7175	17	5465	7174	False	True	3p_intragenic_only
ISO_000681	CP002027.1	+	5465	7367	13	5465	7366	False	True	3p_intragenic_only
ISO_000686	CP002027.1	+	5465	7427	11	5465	7426	False	False	unprocessed
ISO_000690	CP002027.1	+	5465	7489	10	5465	7488	False	True	3p_intragenic_only
ISO_000700	CP002027.1	+	5465	7623	12	5465	7622	False	True	3p_intragenic_only
ISO_000703	CP002027.1	+	5465	7665	21	5465	7664	False	True	3p_intragenic_only
ISO_000707	CP002027.1	+	5465	7725	15	5465	7724	False	True	3p_intragenic_only
ISO_000710	CP002027.1	+	5465	7769	11	5465	7768	False	True	3p_intragenic_only
ISO_000712	CP002027.1	+	5465	7797	11	5465	7796	False	True	3p_intragenic_only
ISO_000732	CP002027.1	+	5465	8146	11	5465	8145	False	True	3p_intragenic_only
ISO_000733	CP002027.1	+	5465	8159	12	5465	8158	False	True	3p_intragenic_only
ISO_000735	CP002027.1	+	5465	8210	79	5465	8209	False	True	3p_intragenic_only
ISO_000737	CP002027.1	+	5465	8224	60	5465	8223	False	True	3p_intragenic_only
ISO_000741	CP002027.1	+	5465	8295	10	5465	8294	False	True	3p_intragenic_only
ISO_000747	CP002027.1	+	5465	8390	12	5465	8389	False	True	3p_intragenic_only
ISO_000617	CP002027.1	+	5466	9976	19	5466	9975	False	False	unprocessed
ISO_000835	CP002027.1	+	5500	8224	13	5500	8223	False	True	3p_intragenic_only
ISO_000836	CP002027.1	+	5501	6196	12	5501	6195	False	True	3p_intragenic_only
