bsub_id	syn1_id	is_rbh	pident	align_len	bsub_len	syn1_len	bsub_cov_pct	syn1_cov_pct	evalue	bitscore	bsub_primary_id	bsub_locus_tag	bsub_gene	bsub_product	bsub_seqid	bsub_start_1b	bsub_end_1b	bsub_strand	syn1_primary_id	syn1_locus_tag	syn1_gene	syn1_product	syn1_seqid	syn1_start_1b	syn1_end_1b	syn1_strand	source
BSU_27940|rpmA|NC_000964.3	MMSYN1_0499|rpmA|CP002027.1	True	77.273	88	94	93	93.61702127659575	94.6236559139785	3.15e-47	141.0	BSU_27940	BSU_27940	rpmA	ribosomal protein L27 (BL24)	NC_000964.3	2854880	2855164	-	MMSYN1_0499	MMSYN1_0499	rpmA	ribosomal protein L27	CP002027.1	608185	608466	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01400|rpmJ|NC_000964.3	MMSYN1_0648|rpmJ|CP002027.1	True	75.676	37	37	37	100.0	100.0	1.86e-16	59.7	BSU_01400	BSU_01400	rpmJ	ribosomal protein L36 (ribosomal protein B)	NC_000964.3	147837	147950	+	MMSYN1_0648	MMSYN1_0648	rpmJ	ribosomal protein L36	CP002027.1	793304	793417	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01130|tufA|NC_000964.3	MMSYN1_0151|tuf|CP002027.1	True	74.365	394	396	395	99.4949494949495	99.74683544303798	0.0	615.0	BSU_01130	BSU_01130	tufA	elongation factor Tu	NC_000964.3	132882	134072	+	MMSYN1_0151	MMSYN1_0151	tuf	translation elongation factor Tu	CP002027.1	192151	193338	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01390|infA|NC_000964.3	MMSYN1_0649|infA|CP002027.1	True	74.286	70	72	74	97.22222222222223	94.5945945945946	3.5300000000000004e-36	112.0	BSU_01390	BSU_01390	infA	initiation factor IF-I	NC_000964.3	147585	147803	+	MMSYN1_0649	MMSYN1_0649	infA	translation initiation factor IF-1	CP002027.1	793486	793710	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01100|rpsL|NC_000964.3	MMSYN1_0148|rpsL|CP002027.1	True	73.913	138	138	139	100.0	99.28057553956835	1.0999999999999999e-74	214.0	BSU_01100	BSU_01100	rpsL	ribosomal protein S12 (BS12)	NC_000964.3	129702	130118	+	MMSYN1_0148	MMSYN1_0148	rpsL	ribosomal protein S12	CP002027.1	188952	189371	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01410|rpsM|NC_000964.3	MMSYN1_0647|rpsM|CP002027.1	True	72.727	121	121	121	100.0	100.0	5.67e-61	178.0	BSU_01410	BSU_01410	rpsM	ribosomal protein S13	NC_000964.3	147973	148338	+	MMSYN1_0647	MMSYN1_0647	rpsM	30S ribosomal protein S13	CP002027.1	792902	793267	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01120|fusA|NC_000964.3	MMSYN1_0150|fusA|CP002027.1	True	71.843	689	692	689	99.56647398843931	100.0	0.0	1018.0	BSU_01120	BSU_01120	fusA	elongation factor G	NC_000964.3	130684	132762	+	MMSYN1_0150	MMSYN1_0150	fusA	translation elongation factor G	CP002027.1	189950	192019	+	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01150|rpsJ|NC_000964.3	MMSYN1_0672|rpsJ|CP002027.1	True	71.569	102	102	102	100.0	100.0	1.86e-51	152.0	BSU_01150	BSU_01150	rpsJ	ribosomal protein S10 (BS13); transcription antitermination factor	NC_000964.3	135364	135672	+	MMSYN1_0672	MMSYN1_0672	rpsJ	ribosomal protein S10	CP002027.1	805791	806099	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01250|rpsQ|NC_000964.3	MMSYN1_0662|rpsQ|CP002027.1	True	70.238	84	87	85	96.55172413793103	98.82352941176471	1.07e-39	122.0	BSU_01250	BSU_01250	rpsQ	ribosomal protein S17 (BS16)	NC_000964.3	140147	140410	+	MMSYN1_0662	MMSYN1_0662	rpsQ	30S ribosomal protein S17	CP002027.1	800763	801020	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
BSU_01420|rpsK|NC_000964.3	MMSYN1_0646|rpsK|CP002027.1	True	68.519	108	131	129	82.44274809160305	83.72093023255815	4.06e-55	164.0	BSU_01420	BSU_01420	rpsK	ribosomal protein S11 (BS11)	NC_000964.3	148359	148754	+	MMSYN1_0646	MMSYN1_0646	rpsK	30S ribosomal protein S11	CP002027.1	792487	792876	-	blastp;blastp;evalue=1e-05;max_target_seqs=5;min_pident=25.0;min_qcov=50.0;min_scov=50.0;max_evalue=1e-05;min_bitscore=50.0;run_utc=2026-04-17T20:58:02+00:00
