operon_id	chrom	strand	start0	end0	n_isoforms	n_reads_total	member_ids	length	tss	tts	sense_gene_count	sense_gene_loci	sense_gene_names	antisense_gene_count	antisense_gene_loci	antisense_gene_names	gene_count	gene_loci	gene_names	segmentation_type
OP_00001	CP002027.1	+	0	2659	12	12335	ISO_000013,ISO_000020,ISO_000021,ISO_000025,ISO_000027,ISO_000040,ISO_000041,ISO_000042,ISO_000046,ISO_000047,ISO_000085,ISO_000133	2659	0	2659	2	MMSYN1_0001,MMSYN1_0002	dnaA_1,dnaN	0			2	MMSYN1_0001,MMSYN1_0002	dnaA_1,dnaN	isoform_operon
OP_00002	CP002027.1	+	2674	4007	1	1	ISO_000164	1333	2674	4007	2	MMSYN1_0003,MMSYN1_0004	,	0			2	MMSYN1_0003,MMSYN1_0004	,	rescue_multiple
OP_00003	CP002027.1	+	4270	5404	2	210	ISO_000538,ISO_000537	1134	4270	5404	1	MMSYN1_0005		0			1	MMSYN1_0005		isoform_operon
OP_00004	CP002027.1	+	5255	9976	8	810	ISO_000575,ISO_000618,ISO_000615,ISO_000735,ISO_000737,ISO_002013,ISO_002501,ISO_002603	4721	5255	9976	2	MMSYN1_0006,MMSYN1_0007	gyrB,gyrA	0			2	MMSYN1_0006,MMSYN1_0007	gyrB,gyrA	isoform_operon_merged
OP_00005	CP002027.1	-	9990	10968	0	328		978	10968	9990	1	MMSYN1_0008		0			1	MMSYN1_0008		rescue_single
OP_00006	CP002027.1	-	11647	16812	7	688	ISO_116484,ISO_116490,ISO_116586,ISO_117363,ISO_117361,ISO_117400,ISO_117362	5165	16812	11647	3	MMSYN1_0009,MMSYN1_0010,MMSYN1_0011	,,	0			3	MMSYN1_0009,MMSYN1_0010,MMSYN1_0011	,,	isoform_operon
OP_00007	CP002027.1	-	16955	18528	4	2605	ISO_117641,ISO_117642,ISO_117640,ISO_117700	1573	18528	16955	1	MMSYN1_0012	metG	0			1	MMSYN1_0012	metG	isoform_operon
OP_00008	CP002027.1	+	18689	20918	1	68	ISO_002791	2229	18689	20918	2	MMSYN1_0013,MMSYN1_0014	,	0			2	MMSYN1_0013,MMSYN1_0014	,	isoform_operon
OP_00009	CP002027.1	+	21648	24084	3	1174	ISO_003245,ISO_003252,ISO_003256	2436	21648	24084	3	MMSYN1_0014,MMSYN1_0015,MMSYN1_0016	,,	0			3	MMSYN1_0014,MMSYN1_0015,MMSYN1_0016	,,	isoform_operon
OP_00010	CP002027.1	+	25110	25215	0	202		105	25110	25215	1	MMSYN1_0916		0			1	MMSYN1_0916		rescue_single
OP_00011	CP002027.1	-	25237	27549	2	287	ISO_117959,ISO_118119	2312	27549	25237	2	MMSYN1_0914,MMSYN1_0917	bla,	0			2	MMSYN1_0914,MMSYN1_0917	bla,	isoform_operon
OP_00012	CP002027.1	+	27121	28701	9	31340	ISO_004136,ISO_004138,ISO_004161,ISO_004171,ISO_004173,ISO_004186,ISO_004187,ISO_004190,ISO_004193	1580	27121	28701	0			2	MMSYN1_0917,MMSYN1_0918	,his3	2			isoform_operon
OP_00013	CP002027.1	+	28981	35233	359	104384	ISO_004321,ISO_004299,ISO_004300,ISO_004334,ISO_004302,ISO_004303,ISO_004520,ISO_004549,ISO_004557,ISO_004558,ISO_004565,ISO_004550,ISO_004551,ISO_004697,ISO_004770,ISO_004780,ISO_004781,ISO_004794,ISO_004800,ISO_004849,ISO_004860,ISO_004882,ISO_004870,ISO_004871,ISO_004904,ISO_004914,ISO_004926,ISO_004934,ISO_004942,ISO_004946,ISO_004958,ISO_004964,ISO_004962,ISO_004982,ISO_005000,ISO_005007,ISO_005019,ISO_005011,ISO_005038,ISO_005044,ISO_005049,ISO_005059,ISO_005064,ISO_005075,ISO_005089,ISO_005092,ISO_005101,ISO_005109,ISO_005110,ISO_005125,ISO_005128,ISO_005145,ISO_005159,ISO_005160,ISO_005198,ISO_005200,ISO_005211,ISO_005217,ISO_005224,ISO_005229,ISO_005234,ISO_005248,ISO_005251,ISO_005253,ISO_005255,ISO_005269,ISO_005282,ISO_005294,ISO_005299,ISO_005315,ISO_005321,ISO_005329,ISO_005330,ISO_005341,ISO_005351,ISO_005359,ISO_005368,ISO_005373,ISO_005376,ISO_005381,ISO_005384,ISO_005393,ISO_005404,ISO_005414,ISO_005417,ISO_005450,ISO_005453,ISO_005459,ISO_005462,ISO_005472,ISO_005492,ISO_005495,ISO_005502,ISO_005511,ISO_005516,ISO_005520,ISO_005525,ISO_005535,ISO_005544,ISO_005550,ISO_005564,ISO_005575,ISO_005579,ISO_005589,ISO_005596,ISO_005604,ISO_005610,ISO_005617,ISO_005619,ISO_005626,ISO_005628,ISO_005632,ISO_005639,ISO_005640,ISO_005649,ISO_005652,ISO_005662,ISO_005678,ISO_005692,ISO_005700,ISO_005708,ISO_005715,ISO_005721,ISO_005727,ISO_005732,ISO_005746,ISO_005755,ISO_005783,ISO_005812,ISO_005824,ISO_005815,ISO_005849,ISO_005850,ISO_005867,ISO_005875,ISO_005928,ISO_005943,ISO_006036,ISO_006043,ISO_006408,ISO_006541,ISO_006366,ISO_006666,ISO_006742,ISO_006821,ISO_006854,ISO_006931,ISO_006932,ISO_006995,ISO_007016,ISO_007036,ISO_007044,ISO_007122,ISO_007135,ISO_007148,ISO_007162,ISO_007194,ISO_007216,ISO_007242,ISO_007257,ISO_007270,ISO_007280,ISO_007322,ISO_007335,ISO_007370,ISO_007387,ISO_007406,ISO_007432,ISO_007455,ISO_007460,ISO_007513,ISO_007531,ISO_007520,ISO_007550,ISO_007598,ISO_007577,ISO_007631,ISO_007652,ISO_007657,ISO_007666,ISO_007676,ISO_007693,ISO_007707,ISO_007723,ISO_007739,ISO_007753,ISO_007765,ISO_007787,ISO_007798,ISO_007811,ISO_007820,ISO_007844,ISO_007860,ISO_007874,ISO_007882,ISO_007896,ISO_007907,ISO_007913,ISO_007932,ISO_007939,ISO_007961,ISO_007958,ISO_007986,ISO_007999,ISO_008010,ISO_008019,ISO_008031,ISO_008046,ISO_008058,ISO_008067,ISO_008078,ISO_008083,ISO_008093,ISO_008101,ISO_008111,ISO_008118,ISO_008138,ISO_008154,ISO_008171,ISO_008180,ISO_008185,ISO_008193,ISO_008203,ISO_008210,ISO_008223,ISO_008232,ISO_008244,ISO_008256,ISO_008269,ISO_008271,ISO_008286,ISO_008296,ISO_008305,ISO_008314,ISO_008329,ISO_008342,ISO_008357,ISO_008370,ISO_008375,ISO_008384,ISO_008393,ISO_008411,ISO_008423,ISO_008429,ISO_008440,ISO_008452,ISO_008455,ISO_008463,ISO_008487,ISO_008497,ISO_008507,ISO_008520,ISO_008530,ISO_008538,ISO_008541,ISO_008554,ISO_008564,ISO_008570,ISO_008574,ISO_008583,ISO_008593,ISO_008602,ISO_008612,ISO_008624,ISO_008633,ISO_008640,ISO_008652,ISO_008656,ISO_008671,ISO_008679,ISO_008688,ISO_008691,ISO_008705,ISO_008716,ISO_008720,ISO_008727,ISO_008732,ISO_008734,ISO_008741,ISO_008744,ISO_008747,ISO_008757,ISO_008763,ISO_008769,ISO_008774,ISO_008778,ISO_008790,ISO_008794,ISO_008796,ISO_008804,ISO_008810,ISO_008812,ISO_008819,ISO_008828,ISO_008837,ISO_008845,ISO_008853,ISO_008857,ISO_008864,ISO_008871,ISO_008875,ISO_008886,ISO_008894,ISO_008896,ISO_008900,ISO_008906,ISO_008912,ISO_008918,ISO_008928,ISO_008933,ISO_008942,ISO_008948,ISO_008961,ISO_008964,ISO_008966,ISO_008969,ISO_008976,ISO_008981,ISO_008987,ISO_008993,ISO_009000,ISO_009001,ISO_009007,ISO_009013,ISO_009017,ISO_009019,ISO_009023,ISO_009031,ISO_009035,ISO_009043,ISO_009047,ISO_009049,ISO_009054,ISO_009060,ISO_009074,ISO_009077,ISO_009081,ISO_009084,ISO_009089,ISO_009094,ISO_009096,ISO_009100,ISO_009102,ISO_009106,ISO_009110,ISO_009112,ISO_009117,ISO_009120,ISO_009122,ISO_009124,ISO_009132,ISO_009137,ISO_009145,ISO_009149,ISO_009151,ISO_009156,ISO_009158,ISO_009162,ISO_009179	6252	28981	35233	2	MMSYN1_0913,MMSYN1_0915	tetM,lacZ	0			2	MMSYN1_0913,MMSYN1_0915	tetM,lacZ	isoform_operon
OP_00014	CP002027.1	+	35575	37220	1	211	ISO_009271	1645	35575	37220	2	MMSYN1_0921,MMSYN1_0922	tnpA_1,tnpB_1	1	MMSYN1_0019		3	MMSYN1_0921,MMSYN1_0922	tnpA_1,tnpB_1	isoform_operon
OP_00015	CP002027.1	-	36581	38643	4	405	ISO_118477,ISO_118476,ISO_118480,ISO_118481	2062	38643	36581	3	MMSYN1_0019,MMSYN1_0020,MMSYN1_0021	,,	1	MMSYN1_0922	tnpB_1	4	MMSYN1_0019,MMSYN1_0020,MMSYN1_0021	,,	isoform_operon
OP_00016	CP002027.1	-	38920	39679	0	148		759	39679	38920	1	MMSYN1_0022		0			1	MMSYN1_0022		rescue_single
OP_00017	CP002027.1	-	39701	40965	1	59	ISO_118608	1264	40965	39701	1	MMSYN1_0023		0			1	MMSYN1_0023		isoform_operon
OP_00018	CP002027.1	-	41508	42891	0	18		1383	42891	41508	1	MMSYN1_0024		0			1	MMSYN1_0024		rescue_single
