isoform_id	chrom	strand	start0	end0	n_reads	pos5p_0	pos3p_0	intragenic_5p	intragenic_3p	category
ISO_000003	CP002027.1	+	0	659	24	0	658	True	True	both_intragenic
ISO_000006	CP002027.1	+	0	818	11	0	817	True	True	both_intragenic
ISO_000007	CP002027.1	+	0	852	5248	0	851	True	True	both_intragenic
ISO_000011	CP002027.1	+	0	992	552	0	991	True	True	both_intragenic
ISO_000013	CP002027.1	+	0	1074	156	0	1073	True	True	both_intragenic
ISO_000014	CP002027.1	+	0	1099	212	0	1098	True	True	both_intragenic
ISO_000016	CP002027.1	+	0	1151	12	0	1150	True	True	both_intragenic
ISO_000017	CP002027.1	+	0	1187	28	0	1186	True	True	both_intragenic
ISO_000018	CP002027.1	+	0	1216	28	0	1215	True	True	both_intragenic
ISO_000020	CP002027.1	+	0	1271	4220	0	1270	True	True	both_intragenic
ISO_000021	CP002027.1	+	0	1290	421	0	1289	True	True	both_intragenic
ISO_000022	CP002027.1	+	0	1346	537	0	1345	True	True	both_intragenic
ISO_000023	CP002027.1	+	0	1405	21	0	1404	True	False	5p_intragenic_only
ISO_000025	CP002027.1	+	0	1483	12	0	1482	True	False	5p_intragenic_only
ISO_000028	CP002027.1	+	0	1573	10	0	1572	True	True	both_intragenic
ISO_000029	CP002027.1	+	0	1616	22	0	1615	True	True	both_intragenic
ISO_000030	CP002027.1	+	0	1667	10	0	1666	True	True	both_intragenic
ISO_000031	CP002027.1	+	0	1688	10	0	1687	True	True	both_intragenic
ISO_000032	CP002027.1	+	0	1727	15	0	1726	True	True	both_intragenic
ISO_000034	CP002027.1	+	0	1781	10	0	1780	True	True	both_intragenic
ISO_000036	CP002027.1	+	0	1889	22	0	1888	True	True	both_intragenic
ISO_000037	CP002027.1	+	0	1927	13	0	1926	True	True	both_intragenic
ISO_000038	CP002027.1	+	0	1964	101	0	1963	True	True	both_intragenic
ISO_000041	CP002027.1	+	0	2057	28	0	2056	True	True	both_intragenic
ISO_000043	CP002027.1	+	0	2111	14	0	2110	True	True	both_intragenic
ISO_000044	CP002027.1	+	0	2148	10	0	2147	True	True	both_intragenic
ISO_000046	CP002027.1	+	0	2201	15	0	2200	True	True	both_intragenic
ISO_000049	CP002027.1	+	0	2300	40	0	2299	True	True	both_intragenic
ISO_000052	CP002027.1	+	0	2388	10	0	2387	True	True	both_intragenic
ISO_000054	CP002027.1	+	0	2463	32	0	2462	True	True	both_intragenic
ISO_000059	CP002027.1	+	0	2627	11	0	2626	True	True	both_intragenic
ISO_000060	CP002027.1	+	0	2659	1042	0	2658	True	False	5p_intragenic_only
ISO_000073	CP002027.1	+	0	3187	12	0	3186	True	True	both_intragenic
ISO_000121	CP002027.1	+	798	2658	16	798	2657	True	False	5p_intragenic_only
ISO_000130	CP002027.1	+	1131	2659	10	1131	2658	True	False	5p_intragenic_only
ISO_000142	CP002027.1	+	1494	2658	14	1494	2657	False	False	unprocessed
ISO_000144	CP002027.1	+	1558	2658	12	1558	2657	True	False	5p_intragenic_only
ISO_000151	CP002027.1	+	1879	2658	19	1879	2657	True	False	5p_intragenic_only
ISO_000169	CP002027.1	+	4024	4779	12	4024	4778	False	True	3p_intragenic_only
ISO_000176	CP002027.1	+	4024	5127	29	4024	5126	False	True	3p_intragenic_only
ISO_000186	CP002027.1	+	4270	5127	146	4270	5126	True	True	both_intragenic
ISO_000188	CP002027.1	+	4270	5291	10	4270	5290	True	False	5p_intragenic_only
ISO_000189	CP002027.1	+	4270	5404	81	4270	5403	True	False	5p_intragenic_only
ISO_000193	CP002027.1	+	5255	6194	109	5255	6193	False	True	3p_intragenic_only
ISO_000196	CP002027.1	+	5255	6670	13	5255	6669	False	True	3p_intragenic_only
ISO_000200	CP002027.1	+	5255	8212	38	5255	8211	False	True	3p_intragenic_only
ISO_000201	CP002027.1	+	5255	9976	12	5255	9975	False	False	unprocessed
ISO_000203	CP002027.1	+	5465	6195	178	5465	6194	False	True	3p_intragenic_only
ISO_000208	CP002027.1	+	5465	6414	10	5465	6413	False	True	3p_intragenic_only
ISO_000210	CP002027.1	+	5465	6467	11	5465	6466	False	True	3p_intragenic_only
ISO_000211	CP002027.1	+	5465	6522	12	5465	6521	False	True	3p_intragenic_only
ISO_000216	CP002027.1	+	5465	6670	155	5465	6669	False	True	3p_intragenic_only
ISO_000217	CP002027.1	+	5465	6698	14	5465	6697	False	True	3p_intragenic_only
ISO_000219	CP002027.1	+	5465	6769	12	5465	6768	False	True	3p_intragenic_only
ISO_000220	CP002027.1	+	5465	6810	39	5465	6809	False	True	3p_intragenic_only
ISO_000223	CP002027.1	+	5465	6908	10	5465	6907	False	True	3p_intragenic_only
ISO_000224	CP002027.1	+	5465	6944	26	5465	6943	False	True	3p_intragenic_only
ISO_000226	CP002027.1	+	5465	7006	10	5465	7005	False	True	3p_intragenic_only
