scar_id	syn1_del_s	syn1_del_e	syn1_del_len	syn3A_junction	n_deleted_genes	left_gene	right_gene	operon_L_id	operon_R_id	operon_L_strand	operon_L_gene_deletion_pattern	operon_L_overlap_class	operon_L_facing_reg	operon_L_reg_lost	operon_R_strand	operon_R_gene_deletion_pattern	operon_R_overlap_class	operon_R_facing_reg	operon_R_reg_lost	same_operon	strand_relationship	junction_type
DEL_001	18715	27638	8923	18715	7	MMSYN1_0012	MMSYN1_0918	OP_00007	OP_00012	-	intact	intact	promoter	False	+	intact	5'_truncation_UTR	promoter	True	False	divergent	divergent
DEL_002	31258	42889	11631	22335	8	MMSYN1_0913	MMSYN1_0025	OP_00013	OP_00019	+	lagging_deleted	3'_truncation_gene	terminator	True	-	leading_deleted	intra_truncated	terminator	False	False	convergent	convergent
DEL_003	44600	44810	210	24085	1	MMSYN1_0027	MMSYN1_0029	OP_00019	OP_00020	-	leading_deleted	intra_truncated	promoter	False	+	intact	intact	promoter	False	False	divergent	divergent
DEL_004	46715	50834	4119	25990	1	MMSYN1_0030	MMSYN1_0033	OP_00021	OP_00023	-	leading_deleted	5'_truncation_gene	promoter	True	-	intact	intact	terminator	False	False	tandem	decapitation
DEL_005	59775	65040	5265	35021	2	MMSYN1_0034	MMSYN1_0039	OP_00024	OP_00027	+	intact	intact	terminator	False	-	intact	intact	terminator	False	False	convergent	convergent
DEL_006	67264	68093	829	37239	0	MMSYN1_0039	MMSYN1_0040	OP_00027	OP_00029	-	intact	intact	promoter	False	-	intact	intact	terminator	False	False	tandem	clean_excision
DEL_007	74944	75306	362	44090	0	MMSYN1_0047	MMSYN1_0049	OP_00030	OP_00031	-	intact	intact	promoter	False	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	terminator	True	False	tandem	readthrough_extension
DEL_008	75532	76503	971	44316	0	MMSYN1_0049	MMSYN1_0051	OP_00031	OP_00031	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	promoter	False	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	terminator	False	True	intra_operon	intra_operon
DEL_009	77335	79851	2516	45144	1	MMSYN1_0051	MMSYN1_0054	OP_00031	OP_00032	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	promoter	False	-	intra_deleted	multi:5'_truncation_gene+intra_truncated	terminator	False	False	tandem	clean_excision
DEL_010	80692	85410	4718	45985	4	MMSYN1_0054	MMSYN1_0060	OP_00032	OP_00034	-	intra_deleted	multi:5'_truncation_gene+intra_truncated	promoter	True	+	intra_deleted	multi:5'_truncation_gene+intra_truncated	promoter	True	False	divergent	divergent
DEL_011	87981	88277	296	48551	0	MMSYN1_0061	MMSYN1_0063	OP_00034	OP_00034	+	intra_deleted	multi:5'_truncation_gene+intra_truncated	terminator	False	+	intra_deleted	multi:5'_truncation_gene+intra_truncated	promoter	False	True	intra_operon	intra_operon
DEL_012	97604	104574	6970	57866	3	MMSYN1_0071	MMSYN1_0076	OP_00038	OP_00040	-	intact	intact	promoter	False	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	terminator	True	False	tandem	readthrough_extension
DEL_013	107091	108218	1127	60381	0	MMSYN1_0077	MMSYN1_0079	OP_00040	OP_00040	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	promoter	False	-	intra_deleted	multi:3'_truncation_gene+intra_truncated	terminator	False	True	intra_operon	intra_operon
DEL_014	111508	126973	15465	63669	8	MMSYN1_0082	MMSYN1_0094	OP_00043	OP_00050	-	leading_deleted	5'_truncation_gene	promoter	True	-	lagging_deleted	3'_truncation_gene	terminator	True	False	tandem	fusion
DEL_015	130729	131305	576	67419	1	MMSYN1_0095	MMSYN1_0097	OP_00051	OP_00052	-	intact	intact	promoter	False	+	intra_deleted	multi:3'_truncation_gene+intra_truncated	promoter	False	False	divergent	divergent
DEL_016	132496	136059	3563	68610	2	MMSYN1_0097	MMSYN1_0105	OP_00052	OP_00056	+	intra_deleted	multi:3'_truncation_gene+intra_truncated	terminator	True	-	lagging_deleted	3'_truncation_gene	terminator	False	False	convergent	convergent
DEL_017	136259	140014	3755	68808	3	MMSYN1_0097	MMSYN1_0105	OP_00052	OP_00056	+	intra_deleted	multi:3'_truncation_gene+intra_truncated	terminator	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	convergent	convergent
DEL_018	144073	147287	3214	72866	2	MMSYN1_0109	MMSYN1_0113	OP_00058	OP_00060	-	leading_deleted	5'_truncation_gene	promoter	True	+	intact	intact	promoter	False	False	divergent	divergent
DEL_019	152702	163934	11232	78270	8	MMSYN1_0117	MMSYN1_0126	OP_00063	OP_00069	+	lagging_deleted	3'_truncation_gene	terminator	True	+	intra_deleted	multi:3'_truncation_gene+5'_truncation_gene	promoter	True	False	tandem	fusion
DEL_020	169009	169984	975	83345	1	MMSYN1_0129	MMSYN1_0131	OP_00069	OP_00070	+	intra_deleted	multi:3'_truncation_gene+5'_truncation_gene	terminator	True	+	intact	intact	promoter	False	False	tandem	readthrough_extension
DEL_021	174618	176104	1486	87978	0	MMSYN1_0133	MMSYN1_0137	OP_00070	OP_00073	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_022	176703	177405	702	88575	0	MMSYN1_0133	MMSYN1_0137	OP_00070	OP_00073	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_023	193470	197590	4120	104637	2	MMSYN1_0151	MMSYN1_0154	OP_00076	OP_00078	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_024	199189	203734	4545	104637	3	MMSYN1_0154	MMSYN1_0158	OP_00078	OP_00082	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_025	204413	209414	5001	105316	3	MMSYN1_0158	MMSYN1_0163	OP_00082	OP_00087	+	intact	intact	terminator	False	-	intact	intact	terminator	False	False	convergent	convergent
DEL_026	222394	256770	34376	118296	24	MMSYN1_0169	MMSYN1_0195	OP_00092	OP_00108	+	intact	intact	terminator	False	-	intact	intact	terminator	False	False	convergent	convergent
DEL_027	266188	275868	9680	127713	8	MMSYN1_0203	MMSYN1_0213	OP_00110	OP_00115	+	intact	intact	terminator	False	+	intact	intact	promoter	False	False	tandem	clean_excision
DEL_028	279393	280162	769	131238	0	MMSYN1_0216	MMSYN1_0218	OP_00116	OP_00117	+	intact	intact	terminator	False	-	intra_deleted	multi:intra_truncated	terminator	False	False	convergent	convergent
DEL_029	281737	282901	1164	132807	1	MMSYN1_0218	MMSYN1_0220	OP_00117	OP_00118	-	intra_deleted	multi:intra_truncated	promoter	False	+	intact	intact	promoter	False	False	divergent	divergent
DEL_030	288391	292905	4514	138297	2	MMSYN1_0222	MMSYN1_0227	OP_00119	OP_00121	+	intact	intact	terminator	False	+	leading_deleted	5'_truncation_gene	promoter	True	False	tandem	decapitation
DEL_031	298422	300803	2381	143811	0	MMSYN1_0230	MMSYN1_0233	OP_00121	OP_00122	+	leading_deleted	5'_truncation_gene	terminator	False	+	leading_deleted	5'_truncation_gene	promoter	True	False	tandem	decapitation
DEL_032	303533	304560	1027	146534	0	MMSYN1_0235	MMSYN1_0238	OP_00122	OP_00124	+	leading_deleted	5'_truncation_gene	terminator	False	-	intact	3'_truncation_UTR	terminator	True	False	convergent	convergent
DEL_033	308606	323314	14708	150577	4	MMSYN1_0240	MMSYN1_0247	OP_00126	OP_00132	+	intact	intact	terminator	False	-	lagging_deleted	3'_truncation_gene	terminator	True	False	convergent	convergent
