"Locus Tag"	"Gene Name"	"Gene Product"	"Protein Length"	"Exp. Ptn Cnt"	"Essentiality"	"Primary Function"	"Secondary Function"	"Tertiary Function"	"Localization"	"Sim. Initial Ptn Cnt"	"Review Flag"	"Mismatch Solved"
"JCVISYN3A_0001"	"dnaA"	"Chromosomal replication initiator protein"	450	148	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication control"	"cytoplasm"	148	"AI"	
"JCVISYN3A_0002"	"dnaN"	"DNA polymerase III subunit beta"	375	213	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication complex"	"cytoplasm"	213	"AI"	
"JCVISYN3A_0003"	"rnmV"	"Ribonuclease M5"	180	65	"Quasiessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	65	"AI"	
"JCVISYN3A_0004"	"ksgA"	"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase"	266	40	"Nonessential"	"Genetic Information Processing"	"Translation"	"Ribosome biogenesis"	"cytoplasm"	40	"AI"	
"JCVISYN3A_0005"		"Uncharacterized protein"	363	72	"Nonessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	72	"AI"	
"JCVISYN3A_0006"	"gyrB"	"DNA gyrase subunit B"	634	244	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	244		
"JCVISYN3A_0007"	"gyrA"	"DNA gyrase subunit A"	834	298	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"Chromosome-related"	"cytoplasm"	298		
"JCVISYN3A_0008"	"rnsD; uptD"	"Nucleoside ABC transporter permease"	325	5	"Essential"	"Metabolism"	"Membrane Transport"	"Nucleic acids"	"trans-membrane"	10		
"JCVISYN3A_0009"	"rnsC; uptD"	"Nucleoside ABC transporter permease"	855	175	"Essential"	"Metabolism"	"Membrane Transport"	"Nucleic acids"	"trans-membrane"	175		
"JCVISYN3A_0010"	"rnsA; uptA"	"Nucleoside ABC transporter ATP-binding protein"	538	145	"Essential"	"Metabolism"	"Membrane Transport"	"Nucleic acids"	"peripheral membrane"	145		
"JCVISYN3A_0011"	"rnsB; uptB"	"Nucleoside ABC transporter substrate-binding protein"	548	81	"Essential"	"Metabolism"	"Membrane Transport"	"Nucleic acids"	"lipoprotein"	81		
"JCVISYN3A_0012"	"metRS"	"Methionine--tRNA ligase"	509	248	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	251	"PRIMARY_MISMATCH"	1
"JCVISYN3A_0918"	"hisB"	"Imidazoleglycerol-phosphate dehydratase"	220	"-"	"Nonessential"	"Metabolism"	"No Kegg ortholog"	"Function unknown"	"cytoplasm"	10	"PRIMARY_MISMATCH; AI"	1
"JCVISYN3A_0913"	"tetM"	"Tetracycline resistance ribosomal protection protein"	639	"-"	"Nonessential"	"Human Diseases"	"Drug resistance"	"Antimicrobial resistance genes"	"cytoplasm"	10	"AI"	
"JCVISYN3A_0025"	"rpsR"	"30S ribosomal protein S18"	75	209	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	209		
"JCVISYN3A_0026"	"priB"	"Single-stranded DNA-binding protein"	146	107	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication"	"cytoplasm"	107	"AI"	
"JCVISYN3A_0027"	"rpsF"	"30S ribosomal protein S6"	137	"-"	"Essential"	"Genetic Information Processing"	"Translation"	"Ribosome"	"cytoplasm"	10		
"JCVISYN3A_0029"	"acpD; azoR"	"FMN reductase/NADH-azoreductase"	199	281	"Essential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	281	"AI"	
"JCVISYN3A_0030"		"Uncharacterized ABC transporter ATP-binding protein"	344	377	"Essential"	"Metabolism"	"Membrane Transport"	"Other Transport"	"peripheral membrane"	377	"AI"	
"JCVISYN3A_0033"		"Uncharacterized protein"	1052	61	"Essential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"unidentified"	61	"AI"	
"JCVISYN3A_0034"		"Uncharacterized efflux ABC transporter permease"	1795	9	"Nonessential"	"Metabolism"	"Membrane Transport"	"Drug resistance"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0034"		"Uncharacterized efflux ABC transporter permease"	1795	9	"Nonessential"	"Metabolism"	"Membrane Transport"	"Other Transport"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0039"	"ftsH"	"Membrane anchored AAA+ protease"	648	148	"Essential"	"Cellular Processes"	"Folding, Sorting and Degradation"	"Peptidases"	"trans-membrane"	148	"PRIMARY_MISMATCH; AI"	1
"JCVISYN3A_0040"	"tilS"	"tRNA lysidine(34) synthetase"	401	39	"Essential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	39	"AI"	
"JCVISYN3A_0042"		"Uncharacterized transcriptional regulator"	275	121	"Quasiessential"	"Genetic Information Processing"	"Transcription"	"Transcription factors"	"cytoplasm"	121	"AI"	
"JCVISYN3A_0043"	"yabD"	"Uncharacterized methyltransferase"	240	22	"Nonessential"	"Unclear"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	22	"PRIMARY_MISMATCH; AI"	
"JCVISYN3A_0044"	"holA"	"DNA polymerase III subunit delta"	246	32	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication complex"	"cytoplasm"	32	"AI"	
"JCVISYN3A_0045"	"tmk"	"dTMP kinase"	213	92	"Essential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	92		
"JCVISYN3A_0046"	"recR"	"Recombination protein"	196	33	"Quasiessential"	"Genetic Information Processing"	"DNA Maintenance"	"Homologous recombination"	"cytoplasm"	33	"AI"	
"JCVISYN3A_0047"	"dnaX"	"DNA polymerase III subunit gamma and tau"	668	113	"Essential"	"Genetic Information Processing"	"DNA Maintenance"	"DNA replication complex"	"cytoplasm"	113	"AI"	
"JCVISYN3A_0054"	"ahpC"	"Uncharacterized peroxiredoxin"	149	157	"Nonessential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	157	"AI"	
"JCVISYN3A_0060"		"Uncharacterized protein"	274	10	"Quasiessential"	"Unclear"	"No Kegg ortholog"	"Function unknown"	"trans-membrane"	10	"AI"	
"JCVISYN3A_0061"	"serRS"	"Serine--tRNA ligase"	422	246	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	249	"PRIMARY_MISMATCH"	
"JCVISYN3A_0063"	"dusB"	"Uncharacterized tRNA dihydrouridine synthase"	324	71	"Nonessential"	"Genetic Information Processing"	"Translation"	"tRNA biogenesis"	"cytoplasm"	71	"AI"	
"JCVISYN3A_0064"	"lysRS"	"Lysine--tRNA ligase"	500	214	"Essential"	"Metabolism"	"Translation"	"tRNA loading"	"cytoplasm"	217	"PRIMARY_MISMATCH"	
"JCVISYN3A_0065"	"trxA"	"Thioredoxin"	102	426	"Essential"	"Metabolism"	"Other Enzymes"	"Other enzymes"	"cytoplasm"	445	"AI"	
"JCVISYN3A_0066"	"dumP"	"dUMP phosphatase "	280	371	"Quasiessential"	"Metabolism"	"Central Carbon Metabolism"	"Nucleotide metabolism"	"cytoplasm"	371		
