locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name,gene_product,TPM_mean_syn1,rank_syn1,TPM_mean_syn3a,rank_syn3a,TPM_fold_change,TPM_log10FC,strand_syn1,gene_len_syn1,sense_covering_ops,antisense_covering_ops,coverage_type
1,MMSYN1_0001,JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,127.902,471,982.0217,170,7.677922941001705,0.8852437490335766,+,1353,OP_00001,,sense_only
2,MMSYN1_0002,JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,63.0896,586,696.685,226,11.04278676675712,1.0430786861376382,+,1128,OP_00001,,sense_only
3,MMSYN1_0003,JCVISYN3A_0003,rnmV,Ribonuclease M5,17.1674,716,329.3847,354,19.18663862902944,1.2829988959062657,+,543,OP_00002,,sense_only
4,MMSYN1_0004,JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase,6.999,782,209.3973,416,29.918174024860697,1.4759350840077232,+,801,OP_00002,,sense_only
5,MMSYN1_0005,JCVISYN3A_0005,,Uncharacterized protein,530.4079,233,779.7282,205,1.47005389625607,0.16733325748118374,+,1092,OP_00003,,sense_only
6,MMSYN1_0006,JCVISYN3A_0006,gyrB,DNA gyrase subunit B,455.1609,257,127.0478,461,0.27912722731675765,-0.5541977984211132,+,1905,"OP_00004,OP_00004",,sense_only
7,MMSYN1_0007,JCVISYN3A_0007,gyrA,DNA gyrase subunit A,846.8466,174,323.4349,359,0.3819285570727922,-0.4180178679019859,+,2505,"OP_00004,OP_00004",,sense_only
8,MMSYN1_0008,JCVISYN3A_0008,rnsD%3B uptD,Nucleoside ABC transporter permease,339.5292,301,630.0661,243,1.8557051941335236,0.26850898334274315,-,978,OP_00005,,sense_only
9,MMSYN1_0009,JCVISYN3A_0009,rnsC%3B uptD,Nucleoside ABC transporter permease,77.8868,565,242.3196,403,3.1111767334131075,0.49292468232888553,-,2568,OP_00006,,sense_only
10,MMSYN1_0010,JCVISYN3A_0010,rnsA%3B uptA,Nucleoside ABC transporter ATP-binding protein,196.6545,391,146.8366,448,0.7466729721414969,-0.12686956885689007,-,1617,OP_00006,,sense_only
11,MMSYN1_0011,JCVISYN3A_0011,rnsB%3B uptB,Nucleoside ABC transporter substrate-binding protein,230.0427,366,338.1224,347,1.4698245151878326,0.16726548669719285,-,1647,OP_00006,,sense_only
12,MMSYN1_0012,JCVISYN3A_0012,metRS,Methionine--tRNA ligase,284.4898,331,931.337,181,3.273709637392975,0.515040156911542,-,1530,OP_00007,,sense_only
25,MMSYN1_0025,JCVISYN3A_0025,rpsR,30S ribosomal protein S18,1441.3138,133,3934.3492,40,2.7296964755350297,0.4361143590082671,-,228,OP_00018,,sense_only
26,MMSYN1_0026,JCVISYN3A_0026,priB,Single-stranded DNA-binding protein,1518.1848,126,5565.3743,29,3.6658082072748988,0.5641697392129135,-,441,OP_00018,,sense_only
27,MMSYN1_0027,JCVISYN3A_0027,rpsF,30S ribosomal protein S6,1879.5833,112,10551.1276,13,5.613546151426223,0.7492372975220032,-,414,OP_00018,,sense_only
