operon_id	chrom	strand	start0	end0	n_isoforms	n_reads_total	member_ids	length	tss	tts	sense_gene_count	sense_gene_loci	sense_gene_names	antisense_gene_count	antisense_gene_loci	antisense_gene_names	gene_count	gene_loci	gene_names	segmentation_type
OP3A_00001	CP016816.2	+	6	1242	33	387	ISO_000019,ISO_000002,ISO_000008,ISO_000001,ISO_000020,ISO_000003,ISO_000014,ISO_000004,ISO_000012,ISO_000013,ISO_000006,ISO_000010,ISO_000036,ISO_000039,ISO_000058,ISO_000070,ISO_000074,ISO_000088,ISO_000092,ISO_000100,ISO_000126,ISO_000158,ISO_000171,ISO_000160,ISO_000165,ISO_000164,ISO_000182,ISO_000336,ISO_000341,ISO_000381,ISO_000385,ISO_000391,ISO_000392	1236	6	1242	1	JCVISYN3A_0001	dnaA	0			1	JCVISYN3A_0001	dnaA	isoform_gene_combined
OP3A_00002	CP016816.2	+	1252	2434	24	162	ISO_000422,ISO_000421,ISO_000423,ISO_000424,ISO_000448,ISO_000447,ISO_000473,ISO_000520,ISO_000524,ISO_000526,ISO_000539,ISO_000598,ISO_000613,ISO_000629,ISO_000686,ISO_000689,ISO_000705,ISO_000715,ISO_000722,ISO_000726,ISO_000723,ISO_000735,ISO_000740,ISO_000745	1182	1252	2434	2	JCVISYN3A_0001,JCVISYN3A_0002	dnaA,dnaN	0			2	JCVISYN3A_0001,JCVISYN3A_0002	dnaA,dnaN	isoform_operon_merged
OP3A_00003	CP016816.2	+	2478	2704	2	11	ISO_000755,ISO_000748	226	2478	2704	2	JCVISYN3A_0002,JCVISYN3A_0003	dnaN,rnmV	0			2	JCVISYN3A_0002,JCVISYN3A_0003	dnaN,rnmV	isoform_operon
OP3A_00004	CP016816.2	+	2721	3326	3	15	ISO_000795,ISO_000844,ISO_000847	605	2721	3326	2	JCVISYN3A_0003,JCVISYN3A_0004	rnmV,ksgA	0			2	JCVISYN3A_0003,JCVISYN3A_0004	rnmV,ksgA	isoform_operon_merged
OP3A_00005	CP016816.2	+	3843	4169	1	5	ISO_000935	326	3843	4169	2	JCVISYN3A_0004,JCVISYN3A_0005	ksgA,JCVISYN3A_0005	0			2	JCVISYN3A_0004,JCVISYN3A_0005	ksgA,JCVISYN3A_0005	isoform_operon
OP3A_00006	CP016816.2	+	4035	5404	35	564	ISO_000971,ISO_001030,ISO_001034,ISO_001028,ISO_001041,ISO_001048,ISO_001053,ISO_001068,ISO_001073,ISO_001102,ISO_001098,ISO_001100,ISO_001137,ISO_001179,ISO_001189,ISO_001185,ISO_001184,ISO_001180,ISO_001199,ISO_001224,ISO_001227,ISO_001231,ISO_001235,ISO_001236,ISO_001239,ISO_001240,ISO_001254,ISO_001292,ISO_001294,ISO_001301,ISO_001308,ISO_001307,ISO_001312,ISO_001314,ISO_001316	1369	4035	5404	1	JCVISYN3A_0005	JCVISYN3A_0005	0			1	JCVISYN3A_0005	JCVISYN3A_0005	isoform_gene_combined
OP3A_00007	CP016816.2	+	5521	6688	4	33	ISO_001321,ISO_001325,ISO_001405,ISO_001414	1167	5521	6688	1	JCVISYN3A_0006	gyrB	0			1	JCVISYN3A_0006	gyrB	isoform_gene_combined
OP3A_00008	CP016816.2	+	7363	7622	1	6	ISO_001477	259	7363	7622	2	JCVISYN3A_0006,JCVISYN3A_0007	gyrB,gyrA	0			2	JCVISYN3A_0006,JCVISYN3A_0007	gyrB,gyrA	isoform_operon
OP3A_00009	CP016816.2	+	8701	9974	17	121	ISO_001598,ISO_001619,ISO_001680,ISO_001691,ISO_001700,ISO_001711,ISO_001721,ISO_001715,ISO_001748,ISO_001792,ISO_001809,ISO_001819,ISO_001820,ISO_001841,ISO_001849,ISO_001859,ISO_001858	1273	8701	9974	1	JCVISYN3A_0007	gyrA	0			1	JCVISYN3A_0007	gyrA	isoform_gene_combined
OP3A_00010	CP016816.2	-	9948	10835	20	209	ISO_066607,ISO_066610,ISO_066616,ISO_066619,ISO_066623,ISO_066626,ISO_066633,ISO_066636,ISO_066624,ISO_066638,ISO_066684,ISO_066739,ISO_066689,ISO_066701,ISO_066755,ISO_066735,ISO_066748,ISO_066694,ISO_066738,ISO_066758	887	10835	9948	1	JCVISYN3A_0008	rnsD%3B uptD	0			1	JCVISYN3A_0008	rnsD%3B uptD	isoform_gene_combined
