chrom,feature,start0,end0,strand,locus_tag,gene_name,rna_type,gene_product,protein_mw_Da,iPM_rep1,iPM_rep2,iPM_rep3,iPM_mean,iPM_CV,ptn_copy_number,TMRs,topo_regions,protein_length,signalP,ptn_localization
CP002027.1,gene,0,1353,+,MMSYN1_0001,dnaA_1,mRNA,chromosomal replication initiator protein DnaA,51702.77829999999,230.35132817881885,222.21534973804404,226.517839832132,226.36150591633165,0.017981156129980004,28.939652284715418,0.0,"[('inside', 1, 450)]",450.0,,cytoplasmic
CP002027.1,gene,1510,2638,+,MMSYN1_0002,dnaN,mRNA,DNA polymerase III_ beta subunit,42649.68890000005,1665.3972257115367,1648.9794914418922,1540.9866695245398,1618.4544622259898,0.04176170627807332,206.91463942097306,0.0,"[('inside', 1, 375)]",375.0,,cytoplasmic
CP002027.1,gene,2674,3217,+,MMSYN1_0003,rnmV,mRNA,ribonuclease M5,20634.56730000001,303.3514236241456,306.91782209807855,291.795305620968,300.688183781064,0.026290373563411018,38.44209928503915,0.0,"[('inside', 1, 180)]",180.0,,cytoplasmic
CP002027.1,gene,3206,4007,+,MMSYN1_0004,ksgA,mRNA,dimethyladenosine transferase,31176.850500000044,210.26663339152844,234.84596443251445,234.0691936852501,226.39393050309766,0.061715647763731646,28.943797672698615,0.0,"[('inside', 1, 266)]",266.0,,cytoplasmic
CP002027.1,gene,4063,5155,+,MMSYN1_0005,,mRNA,hypothetical purine NTPase,42663.142000000014,433.6676690798196,401.46702928969097,396.1258216821707,410.4201733505604,0.04948410613097721,52.471011178853026,4.0,"[('inside', 1, 38), ('TMhelix', 39, 59), ('outside', 60, 296), ('TMhelix', 297, 314), ('inside', 315, 326), ('TMhelix', 327, 336), ('outside', 337, 337), ('TMhelix', 338, 348), ('inside', 349, 363)]",363.0,,membrane
CP002027.1,gene,5514,7419,+,MMSYN1_0006,gyrB,mRNA,DNA gyrase_ B subunit,71583.4377000003,1068.5937311553314,962.2817097801205,1019.7384427737999,1016.8712945697506,0.052331079509234144,130.00400206753451,0.0,"[('inside', 1, 634)]",634.0,,cytoplasmic
CP002027.1,gene,7434,9939,+,MMSYN1_0007,gyrA,mRNA,DNA gyrase_ A subunit,94518.71860000053,1366.9598298594728,1385.3956757621472,1422.7351218137453,1391.6968758117885,0.02041862608945616,177.9243494103833,0.0,"[('inside', 1, 834)]",834.0,,cytoplasmic
CP002027.1,gene,9990,10968,-,MMSYN1_0008,,mRNA,ribose/Galactose ABC transporter_ permease component II,34308.35600000002,49.75783684032083,55.031199637665495,55.227093920303346,53.33871013276322,0.05816926665331097,6.819197099386436,9.0,"[('outside', 1, 12), ('TMhelix', 13, 28), ('inside', 29, 37), ('TMhelix', 38, 55), ('outside', 56, 70), ('TMhelix', 71, 86), ('inside', 87, 103), ('TMhelix', 104, 113), ('outside', 114, 157), ('TMhelix', 158, 170), ('inside', 171, 205), ('TMhelix', 206, 224), ('outside', 225, 240), ('TMhelix', 241, 250), ('inside', 251, 258), ('TMhelix', 259, 268), ('outside', 269, 289), ('TMhelix', 290, 305), ('inside', 306, 325)]",325.0,,membrane
CP002027.1,gene,10967,13535,-,MMSYN1_0009,,mRNA,ABC transporter_ permease protein,97527.94330000051,131.071447680195,142.3312587899788,133.4207471404887,135.60781787022083,0.04380259522218648,17.33706038209417,10.0,"[('inside', 1, 31), ('TMhelix', 32, 47), ('outside', 48, 77), ('TMhelix', 78, 92), ('inside', 93, 100), ('TMhelix', 101, 119), ('outside', 120, 129), ('TMhelix', 130, 153), ('inside', 154, 161), ('TMhelix', 162, 176), ('outside', 177, 208), ('TMhelix', 209, 227), ('inside', 228, 257), ('TMhelix', 258, 277), ('outside', 278, 292), ('TMhelix', 293, 302), ('inside', 303, 310), ('TMhelix', 311, 321), ('outside', 322, 337), ('TMhelix', 338, 358), ('inside', 359, 855)]",855.0,,membrane
CP002027.1,gene,13524,15141,-,MMSYN1_0010,,mRNA,ribose/Galactose ABC transporter_ ATP-binding component,59922.435599999975,148.22668315667565,154.69476254524557,156.39005826338197,153.10383465510108,0.028137462042740584,19.57387463225705,0.0,"[('inside', 1, 538)]",538.0,,cytoplasmic
CP002027.1,gene,15152,16799,-,MMSYN1_0011,,mRNA,ribose/galactose ABC transporter_ substrate-binding component,60711.92960000012,180.01830858755068,185.55656237133613,178.04538067168872,181.20675054352515,0.021489635778024718,23.166749713668665,0.0,"[('signal', 1, 23), ('outside', 24, 548)]",548.0,extracellular,extracellular
CP002027.1,gene,16985,18515,-,MMSYN1_0012,metG,mRNA,methionine--tRNA ligase,59376.20049999999,956.2604729086142,895.7248184555308,894.6292339367819,915.5381751003091,0.03852466178976773,117.04886099573453,0.0,"[('inside', 1, 509)]",509.0,,cytoplasmic
CP002027.1,gene,18715,20302,+,MMSYN1_0013,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,60108.319200000056,154.08388365682856,176.53414775415453,141.27246123740852,157.2968308827972,0.11347373547243968,20.109936858780227,0.0,"[('signal', 1, 24), ('outside', 25, 528)]",528.0,lipoprotein,lipoprotein
CP002027.1,gene,20316,21831,+,MMSYN1_0014,,mRNA,mycoides cluster lipoprotein_ LppA/P72 family,57741.29659999995,125.02790765699984,146.0463732689443,118.69594260314184,129.92340784302868,0.11019823797141504,16.610325290963015,0.0,"[('signal', 1, 25), ('outside', 26, 504)]",504.0,lipoprotein,lipoprotein
