"Primary"	"Secondary"	"Tertiary"
"Genetic Information Processing"	"Transcription"	"Transcription machinery"
		"Transcription factors"
	"Translation"	"Ribosome"
		"Translation factors"
		"tRNA biogenesis"
		"tRNA loading"
		"Ribosome biogenesis"
	"Folding, Sorting and Degradation"	"Protease inhibitors"
		"Chaperones and folding catalysts"
		"Protein export"
		"Peptidases"
		"RNA degradation"
	"DNA Maintenance"	"Viral proteins"
		"DNA replication"
		"DNA replication complex"
		"DNA replication control"
		"Chromosome-related"
		"Base excision repair"
		"Nucleotide excision repair"
		"Mismatch repair"
		"Homologous recombination"
		"DNA repair and recombination proteins"
"Environmental Information Processing"	"Signal Transduction"	"Stress response"
		"Quorum sensing"
		"Other signaling pathways"
		"Two-component system"
"Cellular Processes"	"Cytoskeleton"	"Cytoskeleton proteins"
	"Cell Motility"	"Bacterial chemotaxis"
		"Bacterial motility proteins"
	"Cell Growth"	"Biofilm formation"
		"Cell division"
	"Defense"	"Prokaryotic defense system"
"Metabolism"	"Membrane Transport"	"Inorganic"
		"Cofactor"
		"Amino acid and peptides"
		"Nucleic acids"
		"Carbohydrates"
		"Lipids"
		"Polyamines"
		"Drug resistance"
		"Bacteriocin"
		"Other Transport"
		"Generic"
		"Secretion system"
	"Central Carbon Metabolism"	"Glycolysis"
		"TCA cycle and anaplerotic enzymes"
		"Pentose phosphate metabolism"
		"Carbohydrate metabolism"
		"Nucleotide metabolism"
		"Pyruvate metabolism"
		"Butanoate metabolism"
		"Other central metabolism enzymes"
	"Energy Metabolism"	"Oxidative phosphorylation"
		"Methane metabolism"
		"Sulfur metabolism"
		"Other"
	"Biosynthesis"	"Lipid metabolism"
		"Amino acid metabolism"
		"Glycan metabolism"
		"Cofactor biosynthesis"
		"Biosynthesis of other secondary metabolites"
	"Other Enzymes"	"Other enzymes"
		"Protein kinases"
"Human Diseases"	"Drug resistance"	"Antimicrobial resistance genes"
	"Infectious Diseases"	"Virulence factors"
		"Bacterial invasion of epithelial cells"
		"Bacterial toxins"
"Unclear"	"Kegg ortholog defined"	"Function unknown"
		"General function prediction only"
	"No Kegg ortholog"	"Function unknown"
