locus_tag	name	chrom	start0	end0	strand	syn3A_locus_tag	syn3A_name	syn3A_start0	syn3A_end0	syn1_upstream_locus	syn1_upstream_dist	syn1_downstream_locus	syn1_downstream_dist	syn3A_upstream_locus	syn3A_upstream_dist	syn3A_downstream_locus	syn3A_downstream_dist	syn1_cw_neighbor	syn1_cw_dist	syn1_cw_strand	syn1_ccw_neighbor	syn1_ccw_dist	syn1_ccw_strand	syn3A_cw_neighbor	syn3A_cw_dist	syn3A_cw_strand	syn3A_ccw_neighbor	syn3A_ccw_dist	syn3A_ccw_strand	unaltered_ccw_bps	unaltered_cw_bps	cw_context_changed	ccw_context_changed	gene_impact_class
MMSYN1_0001	dnaA_1	CP002027.1	0	1353	+	JCVISYN3A_0001	dnaA	0.0	1353.0	MMSYN1_0904	4486	MMSYN1_0002	157	JCVISYN3A_0859	23253	JCVISYN3A_0002	157	MMSYN1_0002	157	+	MMSYN1_0910	293	-	JCVISYN3A_0002	157	+	JCVISYN3A_0910	293	-	4060	17362	False	False	unaffected
MMSYN1_0002	dnaN	CP002027.1	1510	2638	+	JCVISYN3A_0002	dnaN	1510.0	2638.0	MMSYN1_0001	157	MMSYN1_0003	36	JCVISYN3A_0001	157	JCVISYN3A_0003	36	MMSYN1_0003	36	+	MMSYN1_0001	157	+	JCVISYN3A_0003	36	+	JCVISYN3A_0001	157	+	5570	16077	False	False	unaffected
MMSYN1_0003	rnmV	CP002027.1	2674	3217	+	JCVISYN3A_0003	rnmV	2674.0	3217.0	MMSYN1_0002	36	MMSYN1_0004	-11	JCVISYN3A_0002	36	JCVISYN3A_0004	-11	MMSYN1_0004	-11	+	MMSYN1_0002	36	+	JCVISYN3A_0004	-11	+	JCVISYN3A_0002	36	+	6734	15498	False	False	unaffected
MMSYN1_0004	ksgA	CP002027.1	3206	4007	+	JCVISYN3A_0004	ksgA	3206.0	4007.0	MMSYN1_0003	-11	MMSYN1_0005	56	JCVISYN3A_0003	-11	JCVISYN3A_0005	56	MMSYN1_0005	56	+	MMSYN1_0003	-11	+	JCVISYN3A_0005	56	+	JCVISYN3A_0003	-11	+	7266	14708	False	False	unaffected
MMSYN1_0005		CP002027.1	4063	5155	+	JCVISYN3A_0005	JCVISYN3A_0005	4063.0	5155.0	MMSYN1_0004	56	MMSYN1_0006	359	JCVISYN3A_0004	56	JCVISYN3A_0006	359	MMSYN1_0006	359	+	MMSYN1_0004	56	+	JCVISYN3A_0006	359	+	JCVISYN3A_0004	56	+	8123	13560	False	False	unaffected
MMSYN1_0006	gyrB	CP002027.1	5514	7419	+	JCVISYN3A_0006	gyrB	5514.0	7419.0	MMSYN1_0005	359	MMSYN1_0007	15	JCVISYN3A_0005	359	JCVISYN3A_0007	15	MMSYN1_0007	15	+	MMSYN1_0005	359	+	JCVISYN3A_0007	15	+	JCVISYN3A_0005	359	+	9574	11296	False	False	unaffected
MMSYN1_0007	gyrA	CP002027.1	7434	9939	+	JCVISYN3A_0007	gyrA	7434.0	9939.0	MMSYN1_0006	15	MMSYN1_0013	8776	JCVISYN3A_0006	15	JCVISYN3A_0913	10476	MMSYN1_0008	51	-	MMSYN1_0006	15	+	JCVISYN3A_0008	51	-	JCVISYN3A_0006	15	+	11494	8776	False	False	unaffected
MMSYN1_0008		CP002027.1	9990	10968	-	JCVISYN3A_0008	rnsD%3B uptD	9990.0	10968.0	MMSYN1_0009	-1	MMSYN1_0910	10283	JCVISYN3A_0009	-1	JCVISYN3A_0910	10283	MMSYN1_0009	-1	-	MMSYN1_0007	51	+	JCVISYN3A_0009	-1	-	JCVISYN3A_0007	51	+	14050	7747	False	False	unaffected
MMSYN1_0009		CP002027.1	10967	13535	-	JCVISYN3A_0009	rnsC%3B uptD	10967.0	13535.0	MMSYN1_0010	-11	MMSYN1_0008	-1	JCVISYN3A_0010	-11	JCVISYN3A_0008	-1	MMSYN1_0010	-11	-	MMSYN1_0008	-1	-	JCVISYN3A_0010	-11	-	JCVISYN3A_0008	-1	-	15027	5180	False	False	unaffected
MMSYN1_0010		CP002027.1	13524	15141	-	JCVISYN3A_0010	rnsA%3B uptA	13524.0	15141.0	MMSYN1_0011	11	MMSYN1_0009	-11	JCVISYN3A_0011	11	JCVISYN3A_0009	-11	MMSYN1_0011	11	-	MMSYN1_0009	-11	-	JCVISYN3A_0011	11	-	JCVISYN3A_0009	-11	-	17584	3574	False	False	unaffected
