locus_tag,isoform_id,n_reads,utr_len,start_position,TIR,dG_total,dG_mRNA_rRNA,dG_standby,dG_spacing,dG_mRNA,dG_start_codon,RBS_distance_bp
MMSYN1_0001,ISO_000023,21,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000025,12,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000028,10,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000029,22,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000030,10,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000031,10,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000032,15,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000034,10,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000036,22,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000037,13,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000038,101,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000041,28,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000043,14,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000044,10,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000046,15,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000049,40,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000052,10,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000054,32,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000059,11,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000060,1042,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0001,ISO_000073,12,30,31,15800.6141,-5.9711,-8.881,0.0,0.0039,-4.1,-1.194,4
MMSYN1_0002,ISO_000060,1042,30,31,3189.7684,-1.9711,-8.681,-1.6,0.0039,-6.3,-1.194,4
MMSYN1_0002,ISO_000073,12,30,31,3189.7684,-1.9711,-8.681,-1.6,0.0039,-6.3,-1.194,4
MMSYN1_0002,ISO_000121,16,30,31,3189.7684,-1.9711,-8.681,-1.6,0.0039,-6.3,-1.194,4
MMSYN1_0002,ISO_000130,10,30,31,3189.7684,-1.9711,-8.681,-1.6,0.0039,-6.3,-1.194,4
MMSYN1_0002,ISO_000142,14,16,17,19299.156,-6.4711,-7.081,0.0,0.0039,-1.8,-1.194,4
MMSYN1_0006,ISO_000200,38,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000201,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000240,24,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000242,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000243,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000244,10,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000246,19,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000247,13,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000248,29,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000249,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000250,20,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000251,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000252,14,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000253,10,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000254,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000263,18,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000265,146,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000267,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000269,13,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000270,15,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000288,12,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000308,21,30,31,23572.3385,-6.9711,-9.981,0.0,0.0039,-4.2,-1.194,4
MMSYN1_0006,ISO_000319,29,12,13,22647.997,-6.8711,-8.481,0.0,0.0039,-2.8,-1.194,4
MMSYN1_0006,ISO_000321,11,12,13,22647.997,-6.8711,-8.481,0.0,0.0039,-2.8,-1.194,4
MMSYN1_0006,ISO_000324,17,11,12,17815.2769,-6.2711,-7.881,0.0,0.0039,-2.8,-1.194,4
MMSYN1_0007,ISO_000201,12,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000308,21,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000321,11,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000373,13,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000465,35,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000485,13,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000537,11,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000555,11,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000574,143,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000585,14,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000601,17,30,31,29538.1849,-7.5351,-7.681,0.0,0.3399,-1.0,-1.194,6
MMSYN1_0007,ISO_000611,26,11,12,5163.0052,-3.175,-1.981,0.0,0.0,0.0,-1.194,5
MMSYN1_0008,ISO_035531,10,30,31,65741.7423,-9.5351,-11.281,0.0,0.3399,-2.6,-1.194,6
MMSYN1_0008,ISO_035542,11,30,31,65741.7423,-9.5351,-11.281,0.0,0.3399,-2.6,-1.194,6
