locus_tag,gene_name,gene_product,essentiality,protein_length,exp_ptn_cnt_2019,localization,protein_mw_Da,iBAQ_rep1,iBAQ_rep2,iBAQ_rep3,iPM_rep1,iPM_rep2,iPM_rep3,iPM_mean,iPM_CV,copy_number_2026
JCVISYN3A_0001,dnaA,Chromosomal replication initiator protein,Essential,450,148,cytoplasm,51702.77829999999,7277890.0,7414971.9,8452846.6,710.7669916998601,730.4601860842482,788.9551213321142,743.3940997054075,0.05470458931801288,74.60771967949213
JCVISYN3A_0002,dnaN,DNA polymerase III subunit beta,Essential,375,213,cytoplasm,42649.68890000005,28390773.5,26733954.5,28277888.8,2772.6751397214175,2633.6026140352365,2639.3458020662574,2681.874518607637,0.029340693822435333,269.15540811951917
JCVISYN3A_0003,rnmV,Ribonuclease M5,Quasiessential,180,65,cytoplasm,20634.56730000001,4996651.2,5030800.5,5072283.1,487.97862319951196,495.59182677182207,473.4267540820311,485.665734684455,0.023188976605885675,48.74186250016163
JCVISYN3A_0004,ksgA,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase,Nonessential,266,40,cytoplasm,31176.850500000044,1733641.0,1786950.2,1752392.5,169.309346288215,176.03518842941057,163.56135428495617,169.63529633419392,0.036804261358589885,17.0247552969071
JCVISYN3A_0005,,Uncharacterized protein,Nonessential,363,72,trans-membrane,42663.142000000014,3109443.6,3133194.2,3181872.8,303.6717885860302,308.65573723483527,296.9833666432979,303.1036308213878,0.019323061389077932,30.419760838994826
JCVISYN3A_0006,gyrB,DNA gyrase subunit B,Essential,634,244,cytoplasm,71583.4377000003,10306394.4,9832511.0,10029234.2,1006.5341662157966,968.6156483931405,936.0888774592444,970.4128973560605,0.036331974974016606,97.39153626319545
JCVISYN3A_0007,gyrA,DNA gyrase subunit A,Essential,834,298,cytoplasm,94518.71860000053,18153747.0,17947204.8,18195352.3,1772.9155212939959,1768.0065055809737,1698.2818996770939,1746.4013088506879,0.02390335653268288,175.27045123207682
JCVISYN3A_0008,rnsD; uptD,Nucleoside ABC transporter permease,Essential,325,5,trans-membrane,34308.35600000002,1331471.6,1124452.0,1323307.6,130.03302655931864,110.77148076081112,123.51227432871065,121.43892721628013,0.08067204950780886,12.18772309804569
JCVISYN3A_0009,rnsC; uptD,Nucleoside ABC transporter permease,Essential,855,175,trans-membrane,97527.94330000051,2537248.3,2513791.5,2524039.0,247.79054662636892,247.63743297085202,235.5837731033695,243.67058423353015,0.02874291257073172,24.45500529239814
JCVISYN3A_0010,rnsA; uptA,Nucleoside ABC transporter ATP-binding protein,Essential,538,145,peripheral membrane,59922.435599999975,2963772.0,2980101.9,3102920.4,289.44533491496543,293.5743813707536,289.6142632785851,290.87799318810136,0.008033154083659517,29.192784534220895
JCVISYN3A_0011,rnsB; uptB,Nucleoside ABC transporter substrate-binding protein,Essential,548,81,lipoprotein,60711.92960000012,4604636.0,4455405.3,4309018.6,449.6939741591144,438.9087684228102,402.1866778447555,430.26314014222675,0.057884906524927136,43.18160685008163
JCVISYN3A_0012,metRS,Methionine--tRNA ligase,Essential,509,248,cytoplasm,59376.20049999999,13067806.5,13118540.5,13502818.7,1276.2168037880317,1292.3274240302578,1260.299455308232,1276.2812277088406,0.012547455219170962,128.08876490522755
JCVISYN3A_0918,hisB,Imidazoleglycerol-phosphate dehydratase,Nonessential,220,-,cytoplasm,23832.894100000012,,,,,,,,,
JCVISYN3A_0913,tetM,Tetracycline resistance ribosomal protection protein,Nonessential,639,-,cytoplasm,75498.97890000026,10619010.3,10528381.0,10798888.7,1037.0645895665955,1037.1668629554567,1007.9253709112025,1027.385607811085,0.016403906159343798,103.10937019904964
JCVISYN3A_0025,rpsR,30S ribosomal protein S18,Essential,75,209,cytoplasm,8914.630199999996,38088989.1,30448205.8,36297024.2,3719.8138745564665,2999.4991720197195,3387.8200429788576,3369.0443631850144,0.1070108255811204,338.1204095322903
JCVISYN3A_0026,priB,Single-stranded DNA-binding protein,Essential,146,107,cytoplasm,16621.248199999984,18154740.2,18477521.6,18322982.9,1773.0125183324446,1820.2488220234143,1710.1944328477173,1767.8185910678587,0.031230993474681206,177.41990949195332
JCVISYN3A_0027,rpsF,30S ribosomal protein S6,Essential,137,-,cytoplasm,16117.36649999999,49498273.1,59190799.0,52760525.8,4834.0574899627645,5830.975846586193,4924.457878377344,5196.4970716421,0.1060966061831178,521.5252542225086
JCVISYN3A_0029,acpD; azoR,FMN reductase/NADH-azoreductase,Essential,199,281,cytoplasm,22306.409999999993,94603269.1,92377469.5,95650942.4,9239.062555655462,9100.245351025802,8927.678974645427,9088.995627108898,0.017163207374415745,912.1800108235883
JCVISYN3A_0030,,Uncharacterized ABC transporter ATP-binding protein,Essential,344,377,peripheral membrane,38760.15700000001,27049031.9,27667978.1,26856070.1,2641.639133314264,2725.6147028016253,2506.63889301496,2624.6309097102835,0.04209134885595476,263.41038656534124
JCVISYN3A_0033,,Uncharacterized protein,Essential,1052,61,unidentified,121610.73620000106,1876077.5,1718071.6,2197361.2,183.21985642415513,169.2498525371434,205.09296503221535,185.8542246645046,0.09720622003814681,18.65250195086778
JCVISYN3A_0034,,Uncharacterized efflux ABC transporter permease,Nonessential,1795,9,trans-membrane,205628.36060000042,483308.4,311295.0,468034.5,47.20044649359535,30.666145023030506,43.68448088660635,40.51702413441074,0.2149802458163477,4.066326030923897
JCVISYN3A_0039,ftsH,Membrane anchored AAA+ protease,Essential,648,148,trans-membrane,71685.2864000003,27744765.4,25528144.2,27359512.7,2709.5852559981486,2514.816403109703,2553.6282252911137,2592.6766281329888,0.039761551158889054,260.2034253002154
JCVISYN3A_0040,tilS,tRNA lysidine(34) synthetase,Essential,401,39,cytoplasm,47537.470099999926,2420530.0,2403882.4,2516927.8,236.39170507101127,236.81011997208637,234.92004194577143,236.04062232962303,0.0042058235639957815,23.68925525602108
JCVISYN3A_0042,,Uncharacterized transcriptional regulator,Quasiessential,275,121,cytoplasm,31400.830400000024,25605591.0,22747839.9,24192718.4,2500.671057925719,2240.9243879088312,2258.0522259360146,2333.2158905901883,0.062263021950139934,234.1637056116967
JCVISYN3A_0043,yabD,Uncharacterized methyltransferase,Nonessential,240,22,cytoplasm,27853.097400000053,2415054.3,2599348.2,2472794.1,235.85694199868524,256.0657539200864,230.80077771609345,240.90782454495502,0.05549163887716352,24.177732173780846
JCVISYN3A_0044,holA,DNA polymerase III subunit delta,Essential,246,32,cytoplasm,28732.881400000057,2120823.1,2136680.4,2330139.1,207.12198930109847,210.48764359937303,217.48592673634982,211.69851987894046,0.024974237698247657,21.246259331289245
JCVISYN3A_0045,tmk,dTMP kinase,Essential,213,92,cytoplasm,24436.776400000017,13101485.8,13451391.1,13463879.8,1279.5059624237842,1325.117044071064,1256.6650530733639,1287.0960198560706,0.027077605047577304,129.17414745162154
JCVISYN3A_0046,recR,Recombination protein,Quasiessential,196,33,cytoplasm,22366.60670000001,1531304.7,1587687.0,1732968.8,149.54895374825077,156.40546681822784,161.74842329077265,155.90094795241706,0.03922595351326339,15.646363385464486
JCVISYN3A_0047,dnaX,DNA polymerase III subunit gamma and tau,Essential,668,113,cytoplasm,77055.12660000031,1962505.5,1923449.6,2042008.7,191.66051292743222,189.48195241841344,190.59297984536155,190.5784817304024,0.005716031552496832,19.126632761168857
JCVISYN3A_0054,ahpC,Uncharacterized peroxiredoxin,Nonessential,149,157,cytoplasm,17462.538900000003,35240633.0,27396499.5,34040845.6,3441.640187335727,2698.870932043183,3177.2372954923576,3105.9161382904226,0.12121570663587265,311.7126174197653
JCVISYN3A_0060,,Uncharacterized protein,Quasiessential,274,10,trans-membrane,31128.11110000001,2035190.7,1452427.3,2021436.0,198.75903199615993,143.08082756616275,188.672805755768,176.8375551060302,0.16775838060515422,17.747580651212793
JCVISYN3A_0061,serRS,Serine--tRNA ligase,Essential,422,246,cytoplasm,48760.477300000064,31378595.8,31838387.4,33164594.2,3064.469254211298,3136.4480807845516,3095.4514708679717,3098.7896019546074,0.011651431537973597,310.9973916392017
JCVISYN3A_0063,dusB,Uncharacterized tRNA dihydrouridine synthase,Nonessential,324,71,cytoplasm,36429.74319999998,2038696.5,1975902.6,2129717.8,199.10141240030197,194.64917741365275,198.77939880065531,197.50999620487002,0.012570340336209872,19.82228596728168
JCVISYN3A_0064,lysRS,Lysine--tRNA ligase,Essential,500,214,cytoplasm,58091.662900000105,8970727.5,9225689.3,9146721.5,876.0914219003319,908.8367176190455,853.7186479668942,879.5489291620906,0.031517544298602665,88.27234434242497
