locus_tag	gene_name	gene_product	chrom	start0	end0	strand	gene_len	ONT_sense_avg_depth	ONT_antisense_avg_depth	ONT_sense_TPM	ONT_antisense_TPM
JCVISYN3A_0001	dnaA	Chromosomal replication initiator protein	CP016816.2	0	1353	+	1353	230.1375	0.7251	982.0217	3.0939
JCVISYN3A_0002	dnaN	DNA polymerase III subunit beta	CP016816.2	1510	2638	+	1128	163.2686	1.3032	696.6850	5.5609
JCVISYN3A_0003	rnmV	Ribonuclease M5	CP016816.2	2674	3217	+	543	77.1915	0.3186	329.3847	1.3595
JCVISYN3A_0004	ksgA	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase	CP016816.2	3206	4007	+	801	49.0724	0.3159	209.3973	1.3478
JCVISYN3A_0005		Uncharacterized protein	CP016816.2	4063	5155	+	1092	182.7299	1.0375	779.7282	4.4273
JCVISYN3A_0006	gyrB	DNA gyrase subunit B	CP016816.2	5514	7419	+	1905	29.7738	0.2908	127.0478	1.2409
JCVISYN3A_0007	gyrA	DNA gyrase subunit A	CP016816.2	7434	9939	+	2505	75.7972	0.4954	323.4349	2.1140
JCVISYN3A_0008	rnsD%3B uptD	Nucleoside ABC transporter permease	CP016816.2	9990	10968	-	978	147.6564	2.2853	630.0661	9.7515
JCVISYN3A_0009	rnsC%3B uptD	Nucleoside ABC transporter permease	CP016816.2	10967	13535	-	2568	56.7878	0.4408	242.3196	1.8810
JCVISYN3A_0010	rnsA%3B uptA	Nucleoside ABC transporter ATP-binding protein	CP016816.2	13524	15141	-	1617	34.4113	0.3970	146.8366	1.6942
JCVISYN3A_0011	rnsB%3B uptB	Nucleoside ABC transporter substrate-binding protein	CP016816.2	15152	16799	-	1647	79.2392	0.4827	338.1224	2.0597
JCVISYN3A_0012	metRS	Methionine--tRNA ligase	CP016816.2	16985	18515	-	1530	218.2595	0.4908	931.3370	2.0945
JCVISYN3A_0918		Imidazoleglycerol-phosphate dehydratase	CP016816.2	18715	19378	-	663	11.2866	17.9035	48.1610	76.3961
JCVISYN3A_0913	tetM	Tetracycline resistance ribosomal protection protein	CP016816.2	20415	22335	+	1920	141.1458	87.2026	602.2846	372.1030
JCVISYN3A_0025	rpsR	30S ribosomal protein S18	CP016816.2	22768	22996	-	228	922.0175	2.2105	3934.3492	9.4326
JCVISYN3A_0026	priB	Single-stranded DNA-binding protein	CP016816.2	23015	23456	-	441	1304.2494	2.4150	5565.3743	10.3049
JCVISYN3A_0027	rpsF	30S ribosomal protein S6	CP016816.2	23467	23881	-	414	2472.6643	0.8382	10551.1276	3.5765
JCVISYN3A_0029		Uncharacterized FMN-dependent NADH-azoreductase	CP016816.2	24272	24872	+	600	2038.0817	57.9550	8696.7164	247.3003
JCVISYN3A_0030		Uncharacterized ABC transporter ATP-binding protein	CP016816.2	24908	25943	-	1035	511.2174	49.0589	2181.4203	209.3398
JCVISYN3A_0033		Uncharacterized protein	CP016816.2	26203	29362	-	3159	54.5850	2.9668	232.9201	12.6595
JCVISYN3A_0034		Uncharacterized efflux ABC transporter permease	CP016816.2	29508	34896	+	5388	26.6594	4.9248	113.7587	21.0148
JCVISYN3A_0039	ftsH	Membrane anchored AAA+ protease	CP016816.2	35061	37008	-	1947	177.8649	0.3955	758.9690	1.6876
JCVISYN3A_0040	tilS	tRNA lysidine(34) synthetase	CP016816.2	37239	38445	-	1206	158.6459	10.5904	676.9595	45.1903
JCVISYN3A_0042		Uncharacterized transcriptional regulator	CP016816.2	38447	39275	-	828	414.2307	4.6715	1767.5674	19.9338
JCVISYN3A_0043	yabD	Uncharacterized methyltransferase	CP016816.2	39326	40049	-	723	58.8105	0.4108	250.9509	1.7529
JCVISYN3A_0044	holA	DNA polymerase III subunit delta	CP016816.2	40048	40789	-	741	37.4737	1.0918	159.9043	4.6587
JCVISYN3A_0045	tmk	dTMP kinase	CP016816.2	40766	41408	-	642	31.0903	0.8474	132.6659	3.6157
JCVISYN3A_0046	recR	Recombination protein	CP016816.2	41410	42001	-	591	39.1624	0.4467	167.1104	1.9061
JCVISYN3A_0047	dnaX	DNA polymerase III subunit gamma and tau	CP016816.2	42002	44009	-	2007	50.6512	2.6522	216.1343	11.3173
JCVISYN3A_0049	ffs		CP016816.2	44177	44273	-	96	31.8229	2.3021	135.7919	9.8232
JCVISYN3A_0054	ahpC	Uncharacterized peroxiredoxin	CP016816.2	45292	45742	-	450	533.9933	10.4178	2278.6077	44.4538
JCVISYN3A_0060		Uncharacterized protein	CP016816.2	46273	47098	+	825	2154.5891	2.3867	9193.8662	10.1842
JCVISYN3A_0061	serRS	Serine--tRNA ligase	CP016816.2	47180	48449	+	1269	318.2072	1.7147	1357.8250	7.3170
JCVISYN3A_0063	dusB	Uncharacterized tRNA dihydrouridine synthase	CP016816.2	48558	49533	+	975	47.6831	5.8462	203.4689	24.9462
JCVISYN3A_0064	lysRS	Lysine--tRNA ligase	CP016816.2	49535	51038	+	1503	121.3812	114.6866	517.9470	489.3803
JCVISYN3A_0065	trxA	Thioredoxin	CP016816.2	51127	51436	-	309	3398.6731	7.0065	14502.5083	29.8974
JCVISYN3A_0066		Low specificity hydrolase	CP016816.2	51446	52289	-	843	1520.2349	9.6845	6487.0077	41.3246
JCVISYN3A_0067	rrfA		CP016816.2	52409	52518	-	109	29.2018	0.1376	124.6074	0.5872
JCVISYN3A_0068	rrlA		CP016816.2	52579	55493	-	2914	85.9379	0.7814	366.7063	3.3343
JCVISYN3A_0069	rrsA		CP016816.2	55712	57247	-	1535	48.5088	0.1915	206.9923	0.8173
JCVISYN3A_0070	tRNA-Leu		CP016816.2	57524	57608	-	84	360.2857	0.7262	1537.3784	3.0987
JCVISYN3A_0071	tRNA-Lys		CP016816.2	57610	57686	-	76	284.5921	1.4605	1214.3855	6.2322
JCVISYN3A_0076	asnRS	Asparagine--tRNA ligase	CP016816.2	58155	59520	-	1365	76.3238	3.2139	325.6820	13.7141
JCVISYN3A_0077		Uncharacterized hydrolase	CP016816.2	59528	60368	-	840	32.3500	2.4988	138.0410	10.6627
JCVISYN3A_0079	tsaD	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit D	CP016816.2	60403	61360	-	957	81.0449	0.4232	345.8275	1.8058
JCVISYN3A_0080		Uncharacterized protein	CP016816.2	61454	61676	-	222	189.6532	0.0000	809.2707	0.0000
JCVISYN3A_0081	mnmE%3B trmE	tRNA uridine(34) 5-carboxymethylaminomethyl synthesis GTPase	CP016816.2	61875	63234	+	1359	84.3929	1.3046	360.1138	5.5670
JCVISYN3A_0082	rpsT	30S ribosomal protein S20	CP016816.2	63284	63530	-	246	945.2398	22.3780	4033.4413	95.4896
JCVISYN3A_0094		Uncharacterized protein	CP016816.2	63663	64380	-	717	102.4575	6.1269	437.1971	26.1442
JCVISYN3A_0095	secA	Preprotein translocase subunit A	CP016816.2	64494	67329	-	2835	150.5580	1.4025	642.4475	5.9845
JCVISYN3A_0097	yycJ	Uncharacterized 5'-3' exonuclease	CP016816.2	67493	68405	+	912	314.7050	0.8191	1342.8807	3.4951
JCVISYN3A_0105	xseB	Exodeoxyribonuclease VII small subunit	CP016816.2	68808	69024	-	216	49.4167	89.1065	210.8663	380.2271
JCVISYN3A_0106	xseA	Exodeoxyribonuclease VII large subunit	CP016816.2	69013	70423	-	1410	17.9709	24.9277	76.6839	106.3690
JCVISYN3A_0107	nusB	Transcription antitermination factor	CP016816.2	70424	70823	-	399	29.8095	11.1253	127.2005	47.4729
JCVISYN3A_0108		Uncharacterized lipoprotein	CP016816.2	70834	71947	-	1113	26.9093	6.6406	114.8247	28.3362
JCVISYN3A_0109		Deoxyribonuclease IV	CP016816.2	71972	72842	-	870	21.7954	10.4000	93.0034	44.3779
JCVISYN3A_0113	bcsA	Glycolipid synthase A	CP016816.2	73087	74437	+	1350	296.0348	0.8215	1263.2128	3.5054
JCVISYN3A_0114	bcsB%3B cps	Glycolipid synthase B	CP016816.2	74510	75431	-	921	38.3312	7.7286	163.5632	32.9786
JCVISYN3A_0115	galU%3B gtaB	UTP--glucose-1-phosphate uridylyltransferase	CP016816.2	75878	76751	-	873	1606.6231	1.9668	6855.6359	8.3925
JCVISYN3A_0116		Uncharacterized protein	CP016816.2	76935	77376	-	441	66.8934	100.1610	285.4415	427.3979
JCVISYN3A_0117	plsY	Acyl-phosphate glycerol 3-phosphate acyltransferase	CP016816.2	77445	78207	+	762	239.7887	3.7165	1023.2045	15.8589
JCVISYN3A_0126	gluRS	Glutamate--tRNA ligase	CP016816.2	78402	79854	+	1452	113.0634	1.4518	482.4537	6.1949
JCVISYN3A_0127		Uncharacterized phosphohydrolase	CP016816.2	79856	81071	+	1215	93.0823	1.8848	397.1923	8.0425
JCVISYN3A_0128	rpoE	DNA-directed RNA polymerase subunit delta	CP016816.2	81096	81525	+	429	3895.9068	0.2471	16624.2583	1.0543
JCVISYN3A_0129	pyrG	CTP synthase	CP016816.2	81616	83215	+	1599	759.8906	0.2158	3242.5357	0.9207
