operon_id	chrom	strand	start0	end0	length	sense_gene_locusNums	n_overlapping_deletions	overlap_class	per_hit_classes	overlapping_truncations	fully_deleted_genes	partially_deleted_genes	retained_genes	gene_deletion_pattern
OP_00001	CP002027.1	+	0	2659	2659	0001,0002	0	intact					0001,0002	intact
OP_00002	CP002027.1	+	2674	4007	1333	0003,0004	0	intact					0003,0004	intact
OP_00003	CP002027.1	+	4270	5404	1134	0005	0	intact					0005	intact
OP_00004	CP002027.1	+	5255	9976	4721	0006,0007	0	intact					0006,0007	intact
OP_00005	CP002027.1	-	9990	10968	978	0008	0	intact					0008	intact
OP_00006	CP002027.1	-	11647	16812	5165	0011,0010,0009	0	intact					0011,0010,0009	intact
OP_00007	CP002027.1	-	16955	18528	1573	0012	0	intact					0012	intact
OP_00008	CP002027.1	+	18689	20919	2230	0013,0014	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:18715-27638	0013,0014			all_deleted
OP_00009	CP002027.1	+	21648	24088	2440	0014,0015,0016	1	fully_deleted	fully_deleted	CP002027.1:18715-27638	0014,0015,0016			all_deleted
OP_00010	CP002027.1	+	25110	25215	105	0916	1	fully_deleted	fully_deleted	CP002027.1:18715-27638	0916			all_deleted
OP_00011	CP002027.1	-	25237	27549	2312	0917,0914	1	fully_deleted	fully_deleted	CP002027.1:18715-27638	0917,0914			all_deleted
OP_00012	CP002027.1	+	27121	28928	1807		1	5'_truncation_UTR	5'_truncation_UTR	CP002027.1:18715-27638				intact
OP_00013	CP002027.1	+	28981	37221	8240	0913,0915,0921,0922	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:31258-42889	0915,0921,0922		0913	lagging_deleted
OP_00014	CP002027.1	-	36581	38643	2062	0021,0020,0019	1	fully_deleted	fully_deleted	CP002027.1:31258-42889	0021,0020,0019			all_deleted
OP_00015	CP002027.1	-	38920	39679	759	0022	1	fully_deleted	fully_deleted	CP002027.1:31258-42889	0022			all_deleted
OP_00016	CP002027.1	-	39701	40965	1264	0023	1	fully_deleted	fully_deleted	CP002027.1:31258-42889	0023			all_deleted
OP_00017	CP002027.1	-	41508	42891	1383	0024	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:31258-42889		0024(1.00, 2bps)		all_deleted
OP_00018	CP002027.1	-	43233	44871	1638	0028,0027,0026,0025	1	intra_truncated	intra_truncated	CP002027.1:44600-44810	0028		0027,0026,0025	leading_deleted
OP_00019	CP002027.1	+	44922	45636	714	0029	0	intact					0029	intact
OP_00020	CP002027.1	-	45604	47601	1997	0031,0030	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:46715-50834	0031		0030	leading_deleted
OP_00021	CP002027.1	-	47661	50904	3243	0032	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:46715-50834		0032(1.00, 1bps)		all_deleted
OP_00022	CP002027.1	-	50957	54116	3159	0033	0	intact					0033	intact
OP_00023	CP002027.1	+	54194	59688	5494	0034	0	intact					0034	intact
OP_00024	CP002027.1	+	59774	60968	1194	0035	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:59775-65040		0035(1.00, 1bps)		all_deleted
OP_00025	CP002027.1	+	61124	64623	3499	0036,0037,0038	1	fully_deleted	fully_deleted	CP002027.1:59775-65040	0036,0037	0038(1.00, 5bps)		all_deleted
OP_00026	CP002027.1	-	65113	67169	2056	0039	0	intact					0039	intact
OP_00027	CP002027.1	+	67151	68661	1510	0041	1	intra_truncated	intra_truncated	CP002027.1:67264-68093		0041(0.98, 17bps)		all_deleted
OP_00028	CP002027.1	-	69220	71427	2207	0044,0043,0042,0040	0	intact					0044,0043,0042,0040	intact
OP_00029	CP002027.1	-	71658	74877	3219	0047,0046,0045	0	intact					0047,0046,0045	intact
OP_00030	CP002027.1	-	74944	75412	468	0048	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:74944-75306		0048(0.77, 106bps)		all_deleted
OP_00031	CP002027.1	-	75392	75491	99	0049	0	intact					0049	intact
OP_00032	CP002027.1	-	75528	76491	963	0050	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:75532-76503		0050(1.00, 4bps)		all_deleted
OP_00033	CP002027.1	-	76905	77202	297	0051	0	intact					0051	intact
OP_00034	CP002027.1	-	77303	82773	5470	0056,0055,0054,0053,0052	2	multi:5'_truncation_gene+intra_truncated	intra_truncated;5'_truncation_gene	CP002027.1:77335-79851;CP002027.1:80692-85410	0056,0053	0055(1.00, 5bps),0052(0.97, 9bps)	0054	intra_deleted
OP_00035	CP002027.1	-	82875	84239	1364		1	fully_deleted	fully_deleted	CP002027.1:80692-85410				all_deleted
OP_00036	CP002027.1	+	84226	86713	2487	0059,0060,0061	1	5'_truncation_gene	5'_truncation_gene	CP002027.1:80692-85410	0059		0060,0061	leading_deleted
OP_00037	CP002027.1	+	86587	90807	4220	0061,0062,0063,0064	1	intra_truncated	intra_truncated	CP002027.1:87981-88277		0062(0.94, 19bps)	0061,0063,0064	intra_deleted
OP_00038	CP002027.1	-	90830	92073	1243	0066,0065	0	intact					0066,0065	intact
OP_00039	CP002027.1	-	92147	96980	4833	0069,0068,0067	0	intact					0069,0068,0067	intact
OP_00040	CP002027.1	-	97262	97346	84	0070	0	intact					0070	intact
OP_00041	CP002027.1	-	97348	97424	76	0071	0	intact					0071	intact
OP_00042	CP002027.1	+	97602	99669	2067	0072	1	3'_truncation_gene	3'_truncation_gene	CP002027.1:97604-104574		0072(1.00, 2bps)		all_deleted
OP_00043	CP002027.1	-	99777	109544	9767	0080,0079,0078,0077,0076,0075,0074,0073	2	multi:3'_truncation_gene+intra_truncated	3'_truncation_gene;intra_truncated	CP002027.1:97604-104574;CP002027.1:107091-108218	0075,0074,0073	0078(1.00, 4bps)	0080,0079,0077,0076	intra_deleted
OP_00044	CP002027.1	+	109623	111274	1651	0081	0	intact					0081	intact
