locus_tag,TIR,start_position
JCVISYN3A_0001,15800.6141,31
JCVISYN3A_0002,3189.7684,31
JCVISYN3A_0003,231.6879,31
JCVISYN3A_0004,8004.5178,31
JCVISYN3A_0005,20870.5939,31
JCVISYN3A_0006,23572.3385,31
JCVISYN3A_0007,29538.1849,31
JCVISYN3A_0008,65741.7423,31
JCVISYN3A_0009,91811.4513,31
JCVISYN3A_0010,25575.1016,31
JCVISYN3A_0011,204741.8485,31
JCVISYN3A_0012,6296.4818,31
JCVISYN3A_0918,4055.0515,31
JCVISYN3A_0913,29915.1125,31
JCVISYN3A_0025,2679.2398,31
JCVISYN3A_0026,13464.2599,31
JCVISYN3A_0027,74414.4638,31
JCVISYN3A_0029,72362.2387,31
JCVISYN3A_0030,20117.7843,31
JCVISYN3A_0033,4218.77,31
JCVISYN3A_0034,339.5302,31
JCVISYN3A_0039,31189.8122,31
JCVISYN3A_0040,1084.8273,31
JCVISYN3A_0042,4758.6949,31
JCVISYN3A_0043,853.3425,31
JCVISYN3A_0044,2833.4105,31
JCVISYN3A_0045,11960.0456,31
JCVISYN3A_0046,1549.8806,31
JCVISYN3A_0047,174199.2095,31
JCVISYN3A_0054,59153.26,31
JCVISYN3A_0060,103721.2701,31
JCVISYN3A_0061,12407.5918,31
JCVISYN3A_0063,7389.0641,31
JCVISYN3A_0064,1233.7382,31
JCVISYN3A_0065,39711.7422,31
JCVISYN3A_0066,19328.9061,31
JCVISYN3A_0076,11491.0566,31
JCVISYN3A_0077,19299.156,31
JCVISYN3A_0079,710.1396,31
JCVISYN3A_0080,515.6568,31
JCVISYN3A_0081,4882.0772,31
JCVISYN3A_0082,124682.9683,31
JCVISYN3A_0094,17784.5683,31
JCVISYN3A_0095,24534.4055,31
JCVISYN3A_0097,7677.3803,31
JCVISYN3A_0105,11936.5953,31
JCVISYN3A_0106,4579.1403,31
JCVISYN3A_0107,11941.6373,31
JCVISYN3A_0108,2414.4489,31
JCVISYN3A_0109,14035.3845,31
JCVISYN3A_0113,6723.3792,31
JCVISYN3A_0114,3453.9933,31
JCVISYN3A_0115,4128.0982,31
JCVISYN3A_0116,7702.4921,31
JCVISYN3A_0117,2679.2398,31
JCVISYN3A_0126,5917.0583,31
JCVISYN3A_0127,999.8755,31
JCVISYN3A_0128,2788.5887,31
JCVISYN3A_0129,35106.0625,31
JCVISYN3A_0131,30864.1422,31
JCVISYN3A_0132,1592.8111,31
JCVISYN3A_0133,8327.6917,31
JCVISYN3A_0137,59244.446,31
JCVISYN3A_0138,3449.496,31
JCVISYN3A_0139,1712.17,31
JCVISYN3A_0140,154233.36,31
JCVISYN3A_0141,3545.0444,31
JCVISYN3A_0142,853.3425,31
JCVISYN3A_0143,6306.188,31
JCVISYN3A_0144,4882.0772,31
JCVISYN3A_0145,4048.0618,31
JCVISYN3A_0146,4160.19,31
JCVISYN3A_0147,4385.235,31
JCVISYN3A_0148,246119.4449,31
JCVISYN3A_0149,77149.4244,31
JCVISYN3A_0150,19023.1412,31
JCVISYN3A_0151,10030.3551,31
JCVISYN3A_0163,9562.6948,31
JCVISYN3A_0164,3059.4055,31
JCVISYN3A_0165,39711.7422,31
JCVISYN3A_0166,140580.7137,31
JCVISYN3A_0167,24534.4055,31
JCVISYN3A_0168,7385.9443,31
JCVISYN3A_0169,158505.5065,31
JCVISYN3A_0195,18534.5499,31
JCVISYN3A_0196,16273.7743,31
JCVISYN3A_0197,11040.4581,31
JCVISYN3A_0198,29024.5307,31
JCVISYN3A_0199,19291.0077,31
JCVISYN3A_0200,36601.9515,31
JCVISYN3A_0201,8684.601,31
JCVISYN3A_0202,5365.4539,31
JCVISYN3A_0203,15574.6351,31
JCVISYN3A_0213,2376.2547,31
JCVISYN3A_0214,103.3906,31
JCVISYN3A_0215,276.7174,31
JCVISYN3A_0216,5408.8465,31
JCVISYN3A_0218,50484.2795,31
JCVISYN3A_0220,2689.7327,31
JCVISYN3A_0221,12652.909,31
JCVISYN3A_0222,14.7206,31
JCVISYN3A_0227,10175.8898,31
JCVISYN3A_0228,5155.0585,31
JCVISYN3A_0229,1896.321,31
JCVISYN3A_0230,16210.2888,31
JCVISYN3A_0233,11473.3701,31
JCVISYN3A_0234,59244.446,31
JCVISYN3A_0235,942.9067,25
JCVISYN3A_0238,81463.2337,31
JCVISYN3A_0239,4882.0772,31
JCVISYN3A_0240,3194.6855,31
JCVISYN3A_0247,1869.1999,31
JCVISYN3A_0248,5593.0448,31
JCVISYN3A_0249,383.4123,31
JCVISYN3A_0250,9776.8629,31
JCVISYN3A_0253,27662.6734,31
JCVISYN3A_0254,27614.9906,31
JCVISYN3A_0257,8004.5178,31
JCVISYN3A_0259,4160.19,31
JCVISYN3A_0260,57.3593,31
JCVISYN3A_0262,1821.1913,31
JCVISYN3A_0263,8896.0599,31
JCVISYN3A_0264,14377.1281,31
JCVISYN3A_0270,32512.8163,31
JCVISYN3A_0271,16445.4907,31
JCVISYN3A_0281,29966.7669,31
JCVISYN3A_0282,7283.3863,31
JCVISYN3A_0283,1376.984,31
JCVISYN3A_0285,2512.9908,31
JCVISYN3A_0286,26197.8224,31
JCVISYN3A_0287,2718.1141,31
JCVISYN3A_0288,7400.4545,31
JCVISYN3A_0289,39650.6199,31
JCVISYN3A_0290,756.8412,31
JCVISYN3A_0291,12913.9876,31
JCVISYN3A_0294,14848.4755,31
JCVISYN3A_0296,1552.5568,31
JCVISYN3A_0297,24524.0467,31
JCVISYN3A_0298,1083.1576,31
JCVISYN3A_0299,367.8105,31
JCVISYN3A_0300,3590.2816,31
JCVISYN3A_0301,3602.025,31
JCVISYN3A_0302,853.3425,31
JCVISYN3A_0303,10439.7279,31
JCVISYN3A_0304,4506.7026,31
JCVISYN3A_0305,39711.7422,31
JCVISYN3A_0308,18542.3787,31
JCVISYN3A_0314,1549.8806,31
JCVISYN3A_0315,1725.4804,31
JCVISYN3A_0316,15574.6351,31
JCVISYN3A_0317,6997.7831,31
JCVISYN3A_0325,90.1378,31
JCVISYN3A_0326,5812.3561,31
JCVISYN3A_0327,3630.9586,31
JCVISYN3A_0328,6818.0517,31
JCVISYN3A_0329,1945.4883,31
JCVISYN3A_0330,8344.052,31
JCVISYN3A_0332,3272.472,31
JCVISYN3A_0338,1084.8273,31
JCVISYN3A_0344,126274.009,31
JCVISYN3A_0345,3189.7684,31
JCVISYN3A_0346,2615.5545,31
JCVISYN3A_0347,2902.4004,31
JCVISYN3A_0348,4399.5786,31
JCVISYN3A_0350,7376.3274,31
JCVISYN3A_0352,278.4088,31
JCVISYN3A_0353,14608.2161,31
JCVISYN3A_0359,785.1623,31
JCVISYN3A_0360,2316.2007,31
JCVISYN3A_0361,42.8452,31
JCVISYN3A_0362,204426.7201,31
JCVISYN3A_0363,285.1877,31
JCVISYN3A_0364,3736.8132,31
JCVISYN3A_0365,75070.0415,31
JCVISYN3A_0366,1223.1486,31
JCVISYN3A_0371,10607.5289,31
JCVISYN3A_0372,413993.2305,31
JCVISYN3A_0373,12251.2573,31
JCVISYN3A_0375,11491.0566,31
JCVISYN3A_0376,1444.7741,31
JCVISYN3A_0377,9791.9341,31
JCVISYN3A_0378,2447.7271,31
JCVISYN3A_0379,922.9968,31
