S1	E1	S2	E2	LEN1	LEN2	%IDY	LENR	LENQ	COVR	COVQ	TAGR	TAGQ
1	18715	1	18715	18715	18715	100.00	1078809	543379	1.73	3.44	CP002027.1	CP016816.2
27639	31258	18716	22335	3620	3620	99.94	1078809	543379	0.34	0.67	CP002027.1	CP016816.2
42890	44600	22375	24085	1711	1711	100.00	1078809	543379	0.16	0.31	CP002027.1	CP016816.2
44811	46715	24086	25990	1905	1905	100.00	1078809	543379	0.18	0.35	CP002027.1	CP016816.2
50835	59775	26081	35021	8941	8941	100.00	1078809	543379	0.83	1.65	CP002027.1	CP016816.2
65041	67264	35016	37239	2224	2224	99.96	1078809	543379	0.21	0.41	CP002027.1	CP016816.2
68094	74944	37240	44090	6851	6851	100.00	1078809	543379	0.64	1.26	CP002027.1	CP016816.2
75307	75532	44091	44316	226	226	100.00	1078809	543379	0.02	0.04	CP002027.1	CP016816.2
76504	77335	44313	45144	832	832	100.00	1078809	543379	0.08	0.15	CP002027.1	CP016816.2
79852	80692	45145	45985	841	841	99.88	1078809	543379	0.08	0.15	CP002027.1	CP016816.2
85411	87981	45981	48551	2571	2571	100.00	1078809	543379	0.24	0.47	CP002027.1	CP016816.2
88278	97604	48540	57866	9327	9327	99.98	1078809	543379	0.86	1.72	CP002027.1	CP016816.2
104575	107091	57865	60381	2517	2517	100.00	1078809	543379	0.23	0.46	CP002027.1	CP016816.2
108219	111508	60380	63669	3290	3290	100.00	1078809	543379	0.30	0.61	CP002027.1	CP016816.2
126974	130729	63664	67419	3756	3756	100.00	1078809	543379	0.35	0.69	CP002027.1	CP016816.2
131306	132496	67420	68610	1191	1191	100.00	1078809	543379	0.11	0.22	CP002027.1	CP016816.2
136060	136259	68609	68808	200	200	100.00	1078809	543379	0.02	0.04	CP002027.1	CP016816.2
140015	144073	68808	72866	4059	4059	99.93	1078809	543379	0.38	0.75	CP002027.1	CP016816.2
147288	152702	72856	78270	5415	5415	100.00	1078809	543379	0.50	1.00	CP002027.1	CP016816.2
163935	169009	78271	83345	5075	5075	100.00	1078809	543379	0.47	0.93	CP002027.1	CP016816.2
169985	174618	83346	87978	4634	4633	99.98	1078809	543379	0.43	0.85	CP002027.1	CP016816.2
176105	176703	87977	88575	599	599	100.00	1078809	543379	0.06	0.11	CP002027.1	CP016816.2
177406	193470	88573	104637	16065	16065	100.00	1078809	543379	1.49	2.96	CP002027.1	CP016816.2
