syn1_locus_tag,syn1_gene,mpn_locus_tag,mpn_old_locus_tag,mpn_gene,pident,evalue,bitscore,halflife_h,halflife_clipped,ptn_localization,halflife_factor,halflife_h_syn1
MMSYN1_0803,rpoC,MPN_RS02945,MPN515,rpoC,48.131,0.0,1179.0,26.694888125405,False,cytoplasmic,0.6290625000000001,16.792753061387586
MMSYN1_0824,uvrA,MPN_RS03520,MPN619,uvrA,54.574,0.0,1053.0,29.1109606190232,False,cytoplasmic,0.6290625000000001,18.312613664404285
MMSYN1_0771,nrdE,MPN_RS01820,MPN324,nrdE,67.651,0.0,1013.0,300.0,True,cytoplasmic,0.6290625000000001,188.71875000000003
MMSYN1_0150,fusA,MPN_RS01270,MPN227,fusA,69.591,0.0,1005.0,21.6428860375265,False,cytoplasmic,0.6290625000000001,13.614727997981516
MMSYN1_0303,polC,MPN_RS00185,MPN034,polC,41.079,0.0,878.0,47.4521566954905,False,cytoplasmic,0.6290625000000001,29.850372321256998
MMSYN1_0804,rpoB,MPN_RS02950,MPN516,rpoB,46.285,0.0,860.0,29.7284281617245,False,cytoplasmic,0.6290625000000001,18.701039340484822
MMSYN1_0545,,MPN_RS03060,MPN531,clpB,50.925,0.0,711.0,300.0,True,cytoplasmic,0.6290625000000001,188.71875000000003
MMSYN1_0634,leuS,MPN_RS02160,MPN384,leuS,44.87,0.0,701.0,48.1613772342268,False,cytoplasmic,0.6290625000000001,30.2965163664058
MMSYN1_0006,gyrB,MPN_RS00015,MPN003,gyrB,53.168,0.0,672.0,20.4306240780262,False,cytoplasmic,0.6290625000000001,12.852139459083357
MMSYN1_0542,dnaK,MPN_RS02455,MPN434,dnaK,57.264,0.0,668.0,300.0,True,cytoplasmic,0.6290625000000001,188.71875000000003
MMSYN1_0095,secA,MPN_RS01185,MPN210,secA,44.713,0.0,655.0,33.4207952360469,False,cytoplasmic,0.6290625000000001,21.023769003175754
MMSYN1_0007,gyrA,MPN_RS00020,MPN004,gyrA,43.672,0.0,652.0,38.4668974383523,False,cytoplasmic,0.6290625000000001,24.198082669813495
MMSYN1_0790,atpD_2,MPN_RS03410,MPN598,atpD,68.094,0.0,646.0,300.0,True,cytoplasmic,0.6290625000000001,188.71875000000003
MMSYN1_0394,lon,MPN_RS01860,MPN332,lon,54.529,0.0,643.0,13.5099418177634,False,cytoplasmic,0.6290625000000001,8.49859777473679
MMSYN1_0825,uvrB,MPN_RS01190,MPN211,uvrB,47.432,0.0,609.0,21.491840367786,False,cytoplasmic,0.6290625000000001,13.519710831360383
MMSYN1_0792,atpA,MPN_RS03420,MPN600,atpA,54.894,0.0,604.0,300.0,True,cytoplasmic,0.6290625000000001,188.71875000000003
MMSYN1_0773,nrdF,MPN_RS01810,MPN322,nrdF,82.006,0.0,603.0,300.0,True,cytoplasmic,0.6290625000000001,188.71875000000003
MMSYN1_0260,valS,MPN_RS02740,MPN480,valS,37.384,0.0,597.0,33.2638282000195,False,cytoplasmic,0.6290625000000001,20.92502692707477
MMSYN1_0519,ileS,MPN_RS02980,MPN520,ileS,39.307,0.0,579.0,70.7911893719619,False,cytoplasmic,0.6290625000000001,44.53208256429979
MMSYN1_0151,tuf,MPN_RS03755,MPN665,tuf,68.193,0.0,573.0,127.814124918983,False,cytoplasmic,0.6290625000000001,80.40307295684775
MMSYN1_0452,parE,MPN_RS00695,MPN122,parE,46.13,0.0,567.0,8.75133357363505,False,cytoplasmic,0.6290625000000001,5.505135776164799
MMSYN1_0233,ptsP,MPN_RS03560,MPN627,ptsP,49.303,0.0,565.0,115.207485919059,False,cytoplasmic,0.6290625000000001,72.47270911095806
